date,S&P 500 Forward 12M P/E Ratio Period Chg,S&P 500 Trailing 12M P/E Ratio Period Chg,S&P 500 Current Year Earnings Growth Estimate Period Chg,S&P 500 Next-Quarter Earnings Growth Estimate Period Chg
2026-05-15,1.9,-2.41,0.5,0.6
2026-06-05,-1.4,1.06,1.3,4.6
2026-06-12,-4.74,-4.2,0.4,0.2
2026-06-26,0.0,-0.36,0.8,1.4
2026-07-10,1.99,2.56,0.2,-0.1
2026-07-17,-0.98,-1.43,0.3,0.4
2026-07-24,-0.99,-0.36,2.8,0.3
2026-07-31,-2.49,-1.09,1.8,0.1
2026-08-07,2.04,3.68,0.9,0.0
2026-08-28,-2.0,-6.38,1.2,0.8
2026-09-04,-0.51,0.38,0.3,-2.1
