date,"S&P 500 Reported Earnings (TTM, $/share) Period Chg"
1871-02-28,-2.92
1871-03-31,-1.46
1871-04-30,3.75
1871-05-31,2.28
1871-06-30,1.58
1871-07-31,0.0
1871-08-31,1.65
1871-09-30,-2.43
1871-10-31,-1.48
1871-11-30,0.0
1871-12-31,-2.25
1872-01-31,0.67
1872-02-29,0.57
1872-03-31,-0.85
1872-04-30,-1.62
1872-05-31,0.58
1872-06-30,1.45
1872-07-31,2.09
1872-08-31,-0.19
1872-09-30,-0.09
1872-10-31,2.8
1872-11-30,-2.36
1872-12-31,2.05
1873-01-31,0.64
1873-02-28,-1.63
1873-03-31,0.55
1873-04-30,0.55
1873-05-31,2.82
1873-06-30,3.63
1873-07-31,0.6
1873-08-31,0.51
1873-09-30,0.59
1873-10-31,2.94
1873-11-30,3.76
1873-12-31,-1.89
1874-01-31,-1.52
1874-02-28,0.0
1874-03-31,0.0
1874-04-30,1.55
1874-05-31,0.8
1874-06-30,2.39
1874-07-31,-0.7
1874-08-31,0.7
1874-09-30,0.0
1874-10-31,1.63
1874-11-30,0.92
1874-12-31,0.0
1875-01-31,-1.82
1875-02-28,-1.85
1875-03-31,-1.89
1875-04-30,-2.72
1875-05-31,0.49
1875-06-30,-0.33
1875-07-31,-1.97
1875-08-31,-3.02
1875-09-30,-1.21
1875-10-31,-2.1
1875-11-30,-1.43
1875-12-31,-1.36
1876-01-31,-1.1
1876-02-29,-1.86
1876-03-31,-1.9
1876-04-30,-1.06
1876-05-31,1.56
1876-06-30,0.67
1876-07-31,-2.1
1876-08-31,-2.93
1876-09-30,-3.12
1876-10-31,-4.05
1876-11-30,-3.03
1876-12-31,-4.12
1877-01-31,-1.16
1877-02-28,3.29
1877-03-31,5.24
1877-04-30,-2.16
1877-05-31,-1.22
1877-06-30,6.27
1877-07-31,-0.32
1877-08-31,4.44
1877-09-30,1.62
1877-10-31,0.6
1877-11-30,2.57
1877-12-31,0.58
1878-01-31,3.26
1878-02-28,1.39
1878-03-31,2.38
1878-04-30,1.34
1878-05-31,3.62
1878-06-30,2.56
1878-07-31,-0.91
1878-08-31,-0.76
1878-09-30,0.25
1878-10-31,1.35
1878-11-30,1.5
1878-12-31,2.54
1879-01-31,0.64
1879-02-28,0.79
1879-03-31,2.92
1879-04-30,2.99
1879-05-31,1.78
1879-06-30,2.85
1879-07-31,0.57
1879-08-31,1.69
1879-09-30,-1.87
1879-10-31,-3.75
1879-11-30,-3.53
1879-12-31,-1.37
1880-01-31,-0.62
1880-02-29,2.41
1880-03-31,1.29
1880-04-30,6.37
1880-05-31,5.21
1880-06-30,4.22
1880-07-31,2.12
1880-08-31,2.08
1880-09-30,1.05
1880-10-31,1.95
1880-11-30,0.84
1880-12-31,0.95
1881-01-31,0.12
1881-02-28,-1.76
1881-03-31,-0.9
1881-04-30,-1.93
1881-05-31,0.18
1881-06-30,-0.86
1881-07-31,-1.98
1881-08-31,-2.78
1881-09-30,-4.61
1881-10-31,-1.91
1881-11-30,0.07
1881-12-31,-0.97
1882-01-31,-0.14
1882-02-28,-1.19
1882-03-31,-0.21
1882-04-30,-1.0
1882-05-31,-1.22
1882-06-30,-1.02
1882-07-31,0.66
1882-08-31,-1.02
1882-09-30,2.51
1882-10-31,0.79
1882-11-30,0.71
1882-12-31,0.78
1883-01-31,-0.56
1883-02-28,-1.56
1883-03-31,0.43
1883-04-30,0.29
1883-05-31,0.43
1883-06-30,2.42
1883-07-31,1.46
1883-08-31,-0.62
1883-09-30,0.34
1883-10-31,-0.62
1883-11-30,0.48
1883-12-31,-1.72
1884-01-31,-1.89
1884-02-29,-1.92
1884-03-31,-1.89
1884-04-30,0.07
1884-05-31,0.07
1884-06-30,-2.07
1884-07-31,-1.06
1884-08-31,-2.14
1884-09-30,-1.17
1884-10-31,-1.1
1884-11-30,-0.08
1884-12-31,-1.36
1885-01-31,-1.05
1885-02-28,-2.13
1885-03-31,1.17
1885-04-30,-2.31
1885-05-31,1.18
1885-06-30,1.25
1885-07-31,-2.23
1885-08-31,-1.18
1885-09-30,-0.09
1885-10-31,-1.11
1885-11-30,-2.33
1885-12-31,-3.54
1886-01-31,4.31
1886-02-28,1.76
1886-03-31,2.94
1886-04-30,3.11
1886-05-31,4.23
1886-06-30,2.89
1886-07-31,0.46
1886-08-31,0.38
1886-09-30,1.58
1886-10-31,1.63
1886-11-30,1.53
1886-12-31,0.36
1887-01-31,-1.65
1887-02-28,-0.51
1887-03-31,0.8
1887-04-30,0.73
1887-05-31,0.72
1887-06-30,2.0
1887-07-31,1.89
1887-08-31,-0.48
1887-09-30,1.87
1887-10-31,-0.41
1887-11-30,-0.55
1887-12-31,-1.58
1888-01-31,-3.34
1888-02-29,-1.37
1888-03-31,-2.41
1888-04-30,-1.27
1888-05-31,-1.52
1888-06-30,-1.39
1888-07-31,-3.9
1888-08-31,-2.76
1888-09-30,-2.84
1888-10-31,-3.96
1888-11-30,-4.21
1888-12-31,-3.08
1889-01-31,4.92
1889-02-28,2.48
1889-03-31,2.51
1889-04-30,1.22
1889-05-31,3.8
1889-06-30,1.17
1889-07-31,1.15
