date,S&P 500 Index Period Chg
2016-04-08,0.28
2016-04-11,-0.27
2016-04-12,0.97
2016-04-13,1.0
2016-04-14,0.02
2016-04-15,-0.1
2016-04-18,0.65
2016-04-19,0.31
2016-04-20,0.08
2016-04-21,-0.52
2016-04-22,0.0
2016-04-25,-0.18
2016-04-26,0.19
2016-04-27,0.16
2016-04-28,-0.92
2016-04-29,-0.51
2016-05-02,0.78
2016-05-03,-0.87
2016-05-04,-0.59
2016-05-05,-0.02
2016-05-06,0.32
2016-05-09,0.08
2016-05-10,1.25
2016-05-11,-0.96
2016-05-12,-0.02
2016-05-13,-0.85
2016-05-16,0.98
2016-05-17,-0.94
2016-05-18,0.02
2016-05-19,-0.37
2016-05-20,0.6
2016-05-23,-0.21
2016-05-24,1.37
2016-05-25,0.7
2016-05-26,-0.02
2016-05-27,0.43
2016-05-31,-0.1
2016-06-01,0.11
2016-06-02,0.28
2016-06-03,-0.29
2016-06-06,0.49
2016-06-07,0.13
2016-06-08,0.33
2016-06-09,-0.17
2016-06-10,-0.92
2016-06-13,-0.81
2016-06-14,-0.18
2016-06-15,-0.18
2016-06-16,0.31
2016-06-17,-0.33
2016-06-20,0.58
2016-06-21,0.27
2016-06-22,-0.17
2016-06-23,1.34
2016-06-24,-3.59
2016-06-27,-1.81
2016-06-28,1.78
2016-06-29,1.7
2016-06-30,1.36
2016-07-01,0.19
2016-07-05,-0.68
2016-07-06,0.54
2016-07-07,-0.09
2016-07-08,1.53
2016-07-11,0.34
2016-07-12,0.7
2016-07-13,0.01
2016-07-14,0.53
2016-07-15,-0.09
2016-07-18,0.24
2016-07-19,-0.14
2016-07-20,0.43
2016-07-21,-0.36
2016-07-22,0.46
2016-07-25,-0.3
2016-07-26,0.03
2016-07-27,-0.12
2016-07-28,0.16
2016-07-29,0.16
2016-08-01,-0.13
2016-08-02,-0.64
2016-08-03,0.31
2016-08-04,0.02
2016-08-05,0.86
2016-08-08,-0.09
2016-08-09,0.04
2016-08-10,-0.29
2016-08-11,0.47
2016-08-12,-0.08
2016-08-15,0.28
2016-08-16,-0.55
2016-08-17,0.19
2016-08-18,0.22
2016-08-19,-0.14
2016-08-22,-0.06
2016-08-23,0.2
2016-08-24,-0.52
2016-08-25,-0.14
2016-08-26,-0.16
2016-08-29,0.52
2016-08-30,-0.2
2016-08-31,-0.24
2016-09-01,0.0
2016-09-02,0.42
2016-09-06,0.3
2016-09-07,-0.01
2016-09-08,-0.22
2016-09-09,-2.45
2016-09-12,1.47
2016-09-13,-1.48
2016-09-14,-0.06
2016-09-15,1.01
2016-09-16,-0.38
2016-09-19,0.0
2016-09-20,0.03
2016-09-21,1.09
2016-09-22,0.65
2016-09-23,-0.57
2016-09-26,-0.86
2016-09-27,0.64
2016-09-28,0.53
2016-09-29,-0.93
2016-09-30,0.8
2016-10-03,-0.33
2016-10-04,-0.5
2016-10-05,0.43
2016-10-06,0.05
2016-10-07,-0.33
2016-10-10,0.46
2016-10-11,-1.24
2016-10-12,0.11
2016-10-13,-0.31
2016-10-14,0.02
2016-10-17,-0.3
2016-10-18,0.62
2016-10-19,0.22
2016-10-20,-0.14
2016-10-21,-0.01
2016-10-24,0.47
2016-10-25,-0.38
2016-10-26,-0.17
2016-10-27,-0.3
2016-10-28,-0.31
2016-10-31,-0.01
2016-11-01,-0.68
2016-11-02,-0.65
2016-11-03,-0.44
2016-11-04,-0.17
2016-11-07,2.22
2016-11-08,0.38
2016-11-09,1.11
2016-11-10,0.2
2016-11-11,-0.14
2016-11-14,-0.01
2016-11-15,0.75
2016-11-16,-0.16
2016-11-17,0.47
2016-11-18,-0.24
2016-11-21,0.75
2016-11-22,0.22
2016-11-23,0.08
2016-11-25,0.39
2016-11-28,-0.53
2016-11-29,0.13
2016-11-30,-0.27
2016-12-01,-0.35
2016-12-02,0.04
2016-12-05,0.58
2016-12-06,0.34
2016-12-07,1.32
2016-12-08,0.22
2016-12-09,0.59
2016-12-12,-0.11
2016-12-13,0.65
2016-12-14,-0.81
2016-12-15,0.39
2016-12-16,-0.18
2016-12-19,0.2
2016-12-20,0.36
2016-12-21,-0.25
2016-12-22,-0.19
2016-12-23,0.13
2016-12-27,0.22
2016-12-28,-0.84
2016-12-29,-0.03
2016-12-30,-0.46
2017-01-03,0.85
2017-01-04,0.57
2017-01-05,-0.08
2017-01-06,0.35
2017-01-09,-0.35
2017-01-10,0.0
2017-01-11,0.28
2017-01-12,-0.21
2017-01-13,0.18
2017-01-17,-0.3
2017-01-18,0.18
2017-01-19,-0.36
2017-01-20,0.34
2017-01-23,-0.27
2017-01-24,0.66
2017-01-25,0.8
2017-01-26,-0.07
2017-01-27,-0.09
2017-01-30,-0.6
2017-01-31,-0.09
2017-02-01,0.03
2017-02-02,0.06
2017-02-03,0.73
2017-02-06,-0.21
2017-02-07,0.02
2017-02-08,0.07
2017-02-09,0.58
2017-02-10,0.36
2017-02-13,0.52
2017-02-14,0.4
2017-02-15,0.5
2017-02-16,-0.09
2017-02-17,0.17
2017-02-21,0.6
2017-02-22,-0.11
2017-02-23,0.04
2017-02-24,0.15
2017-02-27,0.1
2017-02-28,-0.26
2017-03-01,1.37
2017-03-02,-0.59
2017-03-03,0.05
2017-03-06,-0.33
2017-03-07,-0.29
2017-03-08,-0.23
2017-03-09,0.08
2017-03-10,0.33
2017-03-13,0.04
2017-03-14,-0.34
2017-03-15,0.84
2017-03-16,-0.16
2017-03-17,-0.13
2017-03-20,-0.2
2017-03-21,-1.24
2017-03-22,0.19
2017-03-23,-0.11
2017-03-24,-0.08
2017-03-27,-0.1
2017-03-28,0.73
2017-03-29,0.11
2017-03-30,0.29
2017-03-31,-0.23
2017-04-03,-0.16
2017-04-04,0.06
2017-04-05,-0.31
2017-04-06,0.19
2017-04-07,-0.08
2017-04-10,0.07
2017-04-11,-0.14
2017-04-12,-0.38
2017-04-13,-0.68
2017-04-17,0.86
2017-04-18,-0.29
2017-04-19,-0.17
2017-04-20,0.76
2017-04-21,-0.3
2017-04-24,1.08
2017-04-25,0.61
2017-04-26,-0.05
2017-04-27,0.06
2017-04-28,-0.19
2017-05-01,0.17
2017-05-02,0.12
2017-05-03,-0.13
2017-05-04,0.06
2017-05-05,0.41
2017-05-08,0.0
2017-05-09,-0.1
2017-05-10,0.11
2017-05-11,-0.22
2017-05-12,-0.15
2017-05-15,0.48
2017-05-16,-0.07
2017-05-17,-1.82
2017-05-18,0.37
2017-05-19,0.68
2017-05-22,0.52
2017-05-23,0.18
2017-05-24,0.25
2017-05-25,0.44
2017-05-26,0.03
2017-05-30,-0.12
2017-05-31,-0.05
2017-06-01,0.76
2017-06-02,0.37
2017-06-05,-0.12
2017-06-06,-0.28
2017-06-07,0.16
2017-06-08,0.03
2017-06-09,-0.08
2017-06-12,-0.1
2017-06-13,0.45
2017-06-14,-0.1
2017-06-15,-0.22
2017-06-16,0.03
2017-06-19,0.83
2017-06-20,-0.67
2017-06-21,-0.06
2017-06-22,-0.05
2017-06-23,0.16
2017-06-26,0.03
2017-06-27,-0.81
2017-06-28,0.88
2017-06-29,-0.86
2017-06-30,0.15
2017-07-03,0.23
2017-07-05,0.15
2017-07-06,-0.94
2017-07-07,0.64
2017-07-10,0.09
2017-07-11,-0.08
2017-07-12,0.73
2017-07-13,0.19
2017-07-14,0.47
