date,"Typical Home Value (Zillow ZHVI, SA) Period Chg","Typical Rent (Zillow ZORI, All Homes + Multifamily) Period Chg","For-Sale Inventory (Zillow, smoothed) Period Chg",Sales Count Nowcast (Zillow) Period Chg
2000-02-29,0.18,,,
2000-03-31,0.22,,,
2000-04-30,0.47,,,
2000-05-31,0.53,,,
2000-06-30,0.57,,,
2000-07-31,0.6,,,
2000-08-31,0.64,,,
2000-09-30,0.67,,,
2000-10-31,0.66,,,
2000-11-30,0.66,,,
2000-12-31,0.65,,,
2001-01-31,0.59,,,
2001-02-28,0.52,,,
2001-03-31,0.5,,,
2001-04-30,0.54,,,
2001-05-31,0.58,,,
2001-06-30,0.59,,,
2001-07-31,0.61,,,
2001-08-31,0.63,,,
2001-09-30,0.63,,,
2001-10-31,0.62,,,
2001-11-30,0.58,,,
2001-12-31,0.54,,,
2002-01-31,0.47,,,
2002-02-28,0.45,,,
2002-03-31,0.46,,,
2002-04-30,0.5,,,
2002-05-31,0.54,,,
2002-06-30,0.59,,,
2002-07-31,0.64,,,
2002-08-31,0.68,,,
2002-09-30,0.68,,,
2002-10-31,0.68,,,
2002-11-30,0.64,,,
2002-12-31,0.62,,,
2003-01-31,0.56,,,
2003-02-28,0.53,,,
2003-03-31,0.53,,,
2003-04-30,0.57,,,
2003-05-31,0.62,,,
2003-06-30,0.64,,,
2003-07-31,0.67,,,
2003-08-31,0.71,,,
2003-09-30,0.75,,,
2003-10-31,0.75,,,
2003-11-30,0.69,,,
2003-12-31,0.64,,,
2004-01-31,0.61,,,
2004-02-29,0.65,,,
2004-03-31,0.71,,,
2004-04-30,0.79,,,
2004-05-31,0.88,,,
2004-06-30,0.95,,,
2004-07-31,1.02,,,
2004-08-31,1.02,,,
2004-09-30,1.0,,,
2004-10-31,0.95,,,
2004-11-30,0.88,,,
2004-12-31,0.86,,,
2005-01-31,0.82,,,
2005-02-28,0.83,,,
2005-03-31,0.85,,,
2005-04-30,0.95,,,
2005-05-31,1.0,,,
2005-06-30,1.04,,,
