date,Total Building Permits Period %,Single-Family Permits Period %,2-4 Unit Permits Period %,5+ Unit Permits Period %,Permits - Northeast Period %,Permits - Midwest Period %,Permits - South Period %,Permits - West Period %
1960-02-01,-0.3663,2.6005,5.9701,-16.7598,-5.6911,1.1858,-7.855,12.5954
1960-03-01,-12.2243,-16.0138,-15.493,11.4094,-28.4483,-26.1719,-10.4918,10.8475
1960-04-01,6.3874,6.7215,-5.0,9.0361,13.8554,29.1005,4.7619,-9.1743
1960-05-01,3.5433,-2.5707,10.5263,27.6243,18.5185,-1.6393,5.5944,-3.7037
1960-06-01,-8.9354,-1.1873,7.9365,-38.961,-21.4286,-11.25,-5.6291,-0.6993
1960-07-01,4.2797,-2.2697,13.2353,34.7518,24.4318,5.1643,-5.9649,1.4085
1960-08-01,-0.5005,0.0,-15.5844,3.6842,-5.0228,2.6786,0.7463,-0.6944
1960-09-01,-1.006,-3.8251,-3.0769,10.1523,-1.4423,-4.3478,-2.2222,3.1469
1960-10-01,-1.2195,0.9943,-7.9365,-6.4516,-4.3902,5.4545,-0.3788,-4.7458
1960-11-01,0.7202,-0.5626,22.4138,-0.9852,4.5918,-3.8793,4.1825,-1.4235
1960-12-01,-2.8601,-2.6874,-8.4507,-1.4925,-17.561,6.7265,2.1898,-4.6931
1961-01-01,1.8927,2.1802,-9.2308,4.5455,1.7751,-0.8403,-1.7857,8.3333
1961-02-01,-0.8256,-4.2674,6.7797,8.6957,2.3256,6.3559,-6.1818,-3.4965
1961-03-01,4.0583,3.8633,-6.3492,7.5556,14.2045,-8.7649,9.3023,4.3478
1961-04-01,0.2,-1.7167,16.9492,1.6529,1.99,-6.9869,3.5461,1.3889
1961-05-01,2.495,2.7656,-4.3478,3.6585,6.8293,4.2254,-0.6849,1.3699
1961-06-01,4.187,1.4164,4.5455,11.7647,0.9132,-0.9009,5.1724,9.4595
1961-07-01,1.215,3.4916,-7.2464,-2.4561,7.2398,3.6364,0.9836,-4.321
1961-08-01,7.0175,0.8097,10.9375,22.6619,27.0042,-1.3158,3.5714,1.2903
1961-09-01,-5.2632,-1.2048,1.4085,-15.5425,-24.9169,4.4444,-1.2539,2.5478
1961-10-01,2.2769,3.794,5.5556,-2.4306,3.9823,-2.9787,3.1746,4.0373
1961-11-01,2.5824,0.2611,-2.6316,10.3203,7.234,1.3158,-3.3846,5.9701
1961-12-01,0.7812,0.7812,-2.7027,1.6129,9.127,-1.7316,2.2293,-4.7887
1962-01-01,-3.3592,-7.3643,13.8889,2.5397,-2.1818,-12.3348,0.6231,-2.071
1962-02-01,6.4171,3.3473,-1.2195,15.1703,2.2305,27.1357,4.9536,-1.2085
1962-03-01,-5.0251,-4.7233,2.4691,-7.2581,-11.6364,-11.8577,-2.6549,3.3639
1962-04-01,8.9065,5.6657,0.0,17.6812,19.3416,5.8296,-0.9091,13.0178
