date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
1939-02-01,2.02,,
1939-03-01,5.42,,
1939-04-01,1.96,,
1939-05-01,1.04,,
1939-06-01,0.16,,
1939-07-01,-3.4,,
1939-08-01,1.23,,
1939-09-01,-2.67,,
1939-10-01,-1.41,,
1939-11-01,-1.18,,
1939-12-01,-2.56,,
1940-01-01,-1.84,,
1940-02-01,5.08,,
1940-03-01,3.06,,
1940-04-01,5.11,,
1940-05-01,1.72,,
1940-06-01,-0.62,,
1940-07-01,-1.4,,
1940-08-01,1.1,,
1940-09-01,7.23,,
1940-10-01,9.21,,
1940-11-01,8.03,,
1940-12-01,9.22,,
1941-01-01,3.15,,
1941-02-01,-0.71,,
1941-03-01,-4.45,,
1941-04-01,1.9,,
1941-05-01,0.68,,
1941-06-01,0.39,,
1941-07-01,5.03,,
1941-08-01,1.97,,
1941-09-01,1.09,,
1941-10-01,-0.21,,
1941-11-01,-1.03,,
1941-12-01,-0.63,,
1942-01-01,0.58,,
1942-02-01,-0.73,,
1942-03-01,7.47,,
1942-04-01,6.27,,
1942-05-01,4.65,,
1942-06-01,4.8,,
1942-07-01,4.79,,
1942-08-01,-0.64,,
1942-09-01,-1.82,,
1942-10-01,-3.33,,
1942-11-01,-3.91,,
1942-12-01,-5.49,,
1943-01-01,-3.37,,
1943-02-01,-2.03,,
1943-03-01,-3.36,,
1943-04-01,-5.12,,
1943-05-01,-6.31,,
1943-06-01,-5.64,,
1943-07-01,-7.5,,
1943-08-01,-5.47,,
1943-09-01,-5.3,,
1943-10-01,-1.69,,
1943-11-01,-1.05,,
1943-12-01,-0.3,,
1944-01-01,0.53,,
1944-02-01,-1.74,,
1944-03-01,-4.85,,
1944-04-01,-5.25,,
1944-05-01,-1.96,,
1944-06-01,-2.26,,
1944-07-01,-1.78,,
1944-08-01,-1.99,,
1944-09-01,-4.16,,
1944-10-01,4.73,,
1944-11-01,0.92,,
1944-12-01,1.64,,
1945-01-01,2.7,,
1945-02-01,4.2,,
1945-03-01,-1.01,,
1945-04-01,-2.63,,
1945-05-01,-0.87,,
1945-06-01,-0.44,,
1945-07-01,0.97,,
1945-08-01,1.31,,
1945-09-01,-1.38,,
1945-10-01,7.7,,
1945-11-01,4.87,,
1945-12-01,3.49,,
1946-01-01,6.36,,
1946-02-01,5.63,,
1946-03-01,5.33,,
1946-04-01,3.67,,
1946-05-01,2.44,,
1946-06-01,1.07,,
1946-07-01,3.77,,
1946-08-01,2.67,,
1946-09-01,1.55,,
1946-10-01,2.12,,
1946-11-01,1.39,,
1946-12-01,1.58,,
1947-01-01,-0.21,,
1947-02-01,1.71,,
1947-03-01,0.61,,
1947-04-01,1.01,,
1947-05-01,1.15,,
1947-06-01,3.03,,
1947-07-01,0.05,,
1947-08-01,0.87,,
1947-09-01,-0.05,,
1947-10-01,0.72,,
1947-11-01,-0.38,,
1947-12-01,1.38,,
1948-01-01,2.3,,
1948-02-01,-3.4,,
1948-03-01,2.76,,
1948-04-01,1.8,,
1948-05-01,1.95,,
1948-06-01,1.56,,
1948-07-01,0.18,,
1948-08-01,-0.66,,
1948-09-01,-0.22,,
1948-10-01,-0.04,,
1948-11-01,0.75,,
