date,Total Residential Construction Spending Period %,Private Residential Construction Spending Period %
1993-02-01,,0.28
1993-03-01,,-2.31
1993-04-01,,4.26
1993-05-01,,0.27
1993-06-01,,2.18
1993-07-01,,2.75
1993-08-01,,1.67
1993-09-01,,1.04
1993-10-01,,0.15
1993-11-01,,5.8
1993-12-01,,3.7
1994-01-01,,1.26
1994-02-01,,-0.85
1994-03-01,,-0.6
1994-04-01,,4.08
1994-05-01,,-0.28
1994-06-01,,-0.01
1994-07-01,,0.59
1994-08-01,,-0.95
1994-09-01,,-0.21
1994-10-01,,-3.18
1994-11-01,,2.11
1994-12-01,,0.64
1995-01-01,,-0.09
1995-02-01,,-2.87
1995-03-01,,-2.67
1995-04-01,,-1.11
1995-05-01,,-1.52
1995-06-01,,-1.39
1995-07-01,,2.35
1995-08-01,,0.86
1995-09-01,,1.17
1995-10-01,,-0.48
1995-11-01,,1.9
1995-12-01,,1.58
1996-01-01,,2.29
1996-02-01,,1.14
1996-03-01,,2.57
1996-04-01,,1.15
1996-05-01,,2.56
1996-06-01,,1.46
1996-07-01,,0.18
1996-08-01,,0.03
1996-09-01,,0.78
1996-10-01,,-1.59
1996-11-01,,-0.68
1996-12-01,,-2.48
1997-01-01,,0.84
1997-02-01,,1.26
1997-03-01,,2.31
1997-04-01,,-2.67
1997-05-01,,2.75
1997-06-01,,-0.86
1997-07-01,,-0.27
1997-08-01,,0.9
1997-09-01,,2.49
1997-10-01,,0.91
1997-11-01,,-0.07
1997-12-01,,-1.32
1998-01-01,,2.71
1998-02-01,,1.0
1998-03-01,,4.39
1998-04-01,,-1.06
1998-05-01,,1.55
1998-06-01,,1.28
1998-07-01,,0.03
1998-08-01,,0.94
1998-09-01,,1.95
1998-10-01,,0.91
1998-11-01,,-0.07
1998-12-01,,-1.7
1999-01-01,,1.1
1999-02-01,,0.64
1999-03-01,,2.89
1999-04-01,,-0.22
1999-05-01,,1.33
1999-06-01,,0.81
1999-07-01,,-0.64
1999-08-01,,1.85
1999-09-01,,2.5
1999-10-01,,2.23
1999-11-01,,1.64
1999-12-01,,-0.3
2000-01-01,,1.75
2000-02-01,,-0.32
2000-03-01,,0.43
2000-04-01,,0.77
2000-05-01,,-1.76
2000-06-01,,-0.51
2000-07-01,,-3.09
2000-08-01,,0.06
2000-09-01,,0.43
2000-10-01,,1.49
2000-11-01,,0.93
2000-12-01,,-0.91
2001-01-01,,1.2
2001-02-01,,1.54
2001-03-01,,-1.02
2001-04-01,,3.42
2001-05-01,,-0.4
2001-06-01,,1.49
2001-07-01,,0.16
2001-08-01,,0.68
2001-09-01,,-0.05
2001-10-01,,0.58
2001-11-01,,1.31
2001-12-01,,0.13
2002-01-01,,0.36
2002-02-01,2.21,2.15
2002-03-01,-0.13,-0.09
2002-04-01,3.41,3.52
2002-05-01,-1.26,-1.19
2002-06-01,2.04,1.95
2002-07-01,0.7,0.67
2002-08-01,-1.49,-1.42
2002-09-01,-0.99,-1.02
2002-10-01,0.51,0.57
2002-11-01,1.12,1.09
2002-12-01,2.52,2.57
2003-01-01,1.49,1.46
2003-02-01,-0.08,-0.07
2003-03-01,-1.06,-1.01
2003-04-01,1.74,1.74
2003-05-01,0.18,0.15
2003-06-01,2.32,2.32
2003-07-01,4.1,4.17
2003-08-01,1.02,0.92
2003-09-01,1.15,1.25
2003-10-01,2.43,2.44
2003-11-01,3.2,3.28
2003-12-01,3.71,3.73
2004-01-01,-0.98,-0.94
2004-02-01,0.28,0.36
2004-03-01,1.34,1.29
2004-04-01,1.19,1.09
2004-05-01,1.98,1.98
2004-06-01,0.98,1.01
2004-07-01,2.94,2.93
2004-08-01,1.53,1.51
2004-09-01,-0.9,-0.93
2004-10-01,0.73,0.88
2004-11-01,-0.09,-0.14
2004-12-01,2.86,2.89
2005-01-01,1.63,1.65
2005-02-01,2.21,2.22
2005-03-01,0.54,0.53
2005-04-01,1.13,1.14
2005-05-01,0.86,0.9
2005-06-01,2.23,2.19
2005-07-01,1.9,1.91
2005-08-01,0.78,0.79
2005-09-01,2.07,2.16
2005-10-01,1.79,1.73
2005-11-01,0.96,1.03
2005-12-01,0.8,0.77
2006-01-01,0.76,0.77
2006-02-01,0.47,0.43
2006-03-01,-1.46,-1.51
2006-04-01,-2.6,-2.68
2006-05-01,-2.57,-2.55
2006-06-01,-2.94,-2.96
2006-07-01,-2.77,-2.69
2006-08-01,-2.29,-2.34
2006-09-01,-1.77,-1.81
2006-10-01,-2.07,-2.17
2006-11-01,-2.19,-2.22
2006-12-01,-0.64,-0.72
2007-01-01,-1.39,-1.37
2007-02-01,-1.07,-1.1
2007-03-01,-0.67,-0.71
2007-04-01,-0.73,-0.8
2007-05-01,-1.74,-1.82
2007-06-01,-1.53,-1.59
2007-07-01,-1.95,-1.97
2007-08-01,-2.91,-3.02
2007-09-01,-3.24,-3.17
2007-10-01,-3.79,-3.84
2007-11-01,-3.49,-3.56
2007-12-01,-3.52,-3.56
2008-01-01,-3.37,-3.45
2008-02-01,-3.96,-3.96
2008-03-01,1.09,1.11
2008-04-01,-1.17,-1.32
2008-05-01,-0.88,-0.89
2008-06-01,-1.88,-1.94
2008-07-01,-2.42,-2.57
2008-08-01,-3.32,-3.36
2008-09-01,-3.38,-3.46
2008-10-01,-3.27,-3.26
2008-11-01,-4.91,-5.09
2008-12-01,-5.92,-5.93
2009-01-01,-3.26,-3.44
2009-02-01,-5.29,-5.61
2009-03-01,-4.92,-4.96
2009-04-01,-4.3,-4.2
2009-05-01,-2.72,-2.78
2009-06-01,0.34,0.07
2009-07-01,3.02,2.86
2009-08-01,2.43,2.71
2009-09-01,1.44,1.34
2009-10-01,0.28,0.32
2009-11-01,0.28,0.39
2009-12-01,0.23,-0.05
2010-01-01,-0.34,-0.38
2010-02-01,-0.01,0.12
2010-03-01,-0.16,-0.47
2010-04-01,0.52,0.26
2010-05-01,-0.59,-0.66
2010-06-01,-0.69,-0.94
2010-07-01,-2.39,-2.46
2010-08-01,-2.2,-2.32
2010-09-01,-0.14,-0.36
2010-10-01,-0.42,-0.56
2010-11-01,0.33,0.4
2010-12-01,0.05,0.66
2011-01-01,0.82,0.64
2011-02-01,-0.48,-0.2
2011-03-01,0.57,0.63
2011-04-01,1.08,1.25
2011-05-01,0.29,0.35
2011-06-01,0.65,0.84
2011-07-01,0.57,0.91
2011-08-01,0.86,0.84
2011-09-01,-0.64,-0.68
2011-10-01,0.78,1.07
2011-11-01,-2.27,-2.19
2011-12-01,0.27,0.28
2012-01-01,1.62,1.57
2012-02-01,-1.97,-1.73
2012-03-01,1.79,1.93
2012-04-01,2.46,2.49
2012-05-01,1.81,2.02
2012-06-01,2.17,2.22
2012-07-01,1.45,1.45
2012-08-01,2.06,2.06
2012-09-01,2.32,2.47
2012-10-01,2.78,2.82
2012-11-01,0.87,0.79
2012-12-01,0.75,0.87
2013-01-01,1.57,1.57
2013-02-01,1.53,1.74
2013-03-01,1.3,0.97
2013-04-01,1.27,1.43
2013-05-01,1.6,1.63
2013-06-01,0.82,0.95
2013-07-01,1.11,1.11
2013-08-01,2.17,2.22
2013-09-01,1.11,1.28
2013-10-01,1.86,1.85
2013-11-01,2.05,2.03
2013-12-01,1.98,2.1
2014-01-01,1.98,2.11
2014-02-01,-1.22,-1.22
2014-03-01,1.47,1.5
2014-04-01,1.56,1.63
2014-05-01,0.36,0.35
2014-06-01,-0.99,-1.09
2014-07-01,0.01,0.0
2014-08-01,0.08,0.09
2014-09-01,2.48,2.46
2014-10-01,1.05,1.11
2014-11-01,1.39,1.35
2014-12-01,2.53,2.57
2015-01-01,1.35,0.88
2015-02-01,1.16,1.22
2015-03-01,0.09,-0.05
2015-04-01,1.3,1.27
2015-05-01,1.87,1.91
