date,CPI - New York Period %,CPI - Philadelphia Period %,CPI - Boston Period %,CPI - Chicago Period %,CPI - Detroit Period %,CPI - Dallas Period %,CPI - Houston Period %,CPI - Atlanta Period %,CPI - Miami Period %,CPI - San Francisco Period %,CPI - Seattle Period %,CPI - West Region (Size Class A) Period %
1915-12-01,2.0202,0.9804,1.9048,2.0,4.1237,,0.0,,,0.0,-1.087,
1916-12-01,11.8812,12.6214,13.0841,13.7255,15.8416,,14.7368,,,8.6957,6.5934,
1917-12-01,22.1239,21.5517,17.3554,16.3793,22.2222,,21.1009,,,16.0,21.6495,
1918-12-01,21.7391,20.5674,21.831,20.7407,18.8811,,20.4545,19.7368,,21.5517,30.5085,
1919-06-01,1.7857,2.9412,0.578,1.8405,4.7059,,3.1447,3.8462,,4.2553,3.8961,
1919-12-01,12.8655,9.7143,12.069,13.8554,11.7978,,12.8049,10.0529,,10.8844,13.75,
1920-06-01,8.2902,10.9375,10.2564,10.0529,15.0754,,6.4865,10.5769,,7.362,7.6923,
1920-12-01,-6.6986,-6.5728,-6.0465,-9.1346,-7.4236,,-4.0609,-9.5652,,-5.7143,-8.6735,
1921-05-01,-8.2051,-9.0452,-10.8911,-5.291,-10.3774,,-10.582,-8.6538,,-7.8788,-6.1453,
1921-09-01,-0.5587,-1.105,0.0,-0.5587,-2.6316,,-1.7751,-2.6316,,-1.3158,-2.9762,
1921-12-01,0.5618,-1.1173,-1.1111,-1.6854,-3.2432,,-1.2048,-2.7027,,0.0,-1.8405,
1922-03-01,-4.4693,-2.2599,-5.0562,,-3.352,,-3.0488,-3.3333,,-2.0,-1.875,
1922-05-01,,,,-3.4286,,,,,,,,
1922-06-01,0.5848,0.0,-0.5917,0.5917,0.578,,-0.6289,0.5747,,-0.6803,-0.6369,
1922-09-01,-0.5814,-2.3121,0.5952,0.0,-0.5747,,-0.6329,-0.5714,,-0.6849,-0.641,
1922-12-01,1.7544,2.3669,2.3669,0.5882,1.1561,,1.2739,-0.5747,,0.6897,0.0,
1923-03-01,-0.5747,0.0,-1.1561,0.5848,1.1429,,-1.2579,0.578,,-1.3699,-2.5806,
1923-06-01,0.578,1.7341,0.0,0.5814,1.6949,,1.2739,1.1494,,1.3889,2.649,
1923-09-01,1.1494,1.1364,2.924,2.3121,2.2222,,0.6289,1.1364,,1.3699,0.6452,
1923-12-01,1.1364,0.0,1.1364,0.0,-1.087,,0.625,-1.6854,,1.3514,0.0,
1924-03-01,-2.2472,-1.1236,-2.809,-0.565,-0.5495,,-1.2422,-1.1429,,-2.6667,-0.641,
1924-06-01,0.0,0.5682,-0.578,0.5682,0.0,,-1.8868,0.0,,0.0,0.6452,
1924-09-01,0.0,-0.565,1.7442,0.565,-1.105,,1.2821,0.0,,0.6849,-0.641,
1924-12-01,1.7241,2.2727,0.5714,0.5618,0.0,,1.2658,0.0,,0.6803,0.6452,
1925-06-01,0.0,2.2222,-0.5682,1.676,2.2346,,0.625,3.4682,,2.027,2.5641,
1925-12-01,4.5198,2.7174,5.7143,2.1978,1.6393,,1.8634,2.2346,,1.3245,0.0,
1926-06-01,-2.1622,-0.5291,-2.1622,-1.6129,-1.0753,,-2.439,-1.6393,,-1.9608,-1.25,
1926-12-01,0.0,-0.5319,0.5525,0.0,-1.087,,0.0,-1.1111,,0.0,-0.6329,
1927-06-01,-0.5525,-1.0695,-1.0989,0.0,0.0,,-1.875,1.6854,,0.0,0.6369,
1927-12-01,0.5556,-1.0811,0.0,-2.7322,-2.7473,,0.6369,-4.9724,,-0.6667,-2.5316,
1928-06-01,-2.2099,-1.0929,-2.7778,-1.1236,-1.6949,,-1.8987,1.1628,,-0.6711,-0.6494,
1928-12-01,0.565,-1.6575,1.7143,0.5682,0.0,,0.6452,-0.5747,,1.3514,0.6536,
1929-06-01,0.0,0.0,-1.6854,-0.565,1.1494,,0.0,-1.1561,,-1.3333,0.6494,
1929-12-01,0.5618,0.5618,1.7143,0.5682,-0.5682,,1.2821,0.0,,0.6757,0.0,
1930-06-01,-2.7933,-2.2346,-2.2472,-1.6949,-1.7143,,-2.5316,-3.5088,,-2.0134,0.0,
1930-12-01,-2.2989,-4.0,-2.8736,-4.5977,-7.5581,,-4.5455,-4.2424,,-3.4247,-7.0968,
1931-06-01,-5.8824,-5.3571,-7.1006,-6.0241,-6.9182,,-6.1224,-6.3291,,-5.6738,-3.4722,
1931-12-01,-3.75,-3.7736,-2.5478,-4.4872,-6.0811,,-2.8986,-5.4054,,-3.0075,-3.5971,
1932-06-01,-4.5455,-7.1895,-7.8431,-8.7248,-7.1942,,-8.209,-4.2857,,-5.4264,-5.9701,
1932-12-01,-3.4014,-4.9296,-2.1277,-5.1471,-6.2016,,-4.878,-5.9701,,-1.6393,-3.9683,
1933-06-01,-3.5211,-2.2222,-2.8986,-3.876,-3.3058,,-0.8547,-0.7937,,-2.5,-0.8264,
1933-12-01,2.1898,4.5455,3.7313,2.4194,5.1282,,4.3103,3.2,,3.4188,0.8333,
1934-06-01,2.1429,2.8986,1.4388,0.0,4.065,,0.8264,1.5504,,0.8264,0.8264,
1934-11-01,0.6993,-0.7042,0.7092,0.7874,0.0,,3.2787,2.2901,,2.459,1.6393,
1935-03-01,0.0,0.7092,2.1127,3.9062,3.9062,,1.5873,0.0,,0.8,2.4194,
1935-07-01,-0.6944,0.0,-2.069,0.7519,0.7519,,-1.5625,0.0,,-2.381,-1.5748,
1935-10-01,0.6993,1.4085,0.7042,0.0,0.0,,0.7937,2.2388,,0.0,0.0,
1936-01-01,1.3889,0.6944,0.6993,0.0,1.4925,,0.7874,0.7299,,0.813,1.6,
1936-04-01,-1.3699,-0.6897,-0.6944,-0.7463,0.0,,-1.5625,-2.1739,,-1.6129,-1.5748,
1936-07-01,0.6944,0.6944,1.3986,2.2556,2.9412,,2.381,1.4815,,1.6393,1.6,
1936-09-01,1.3793,0.6897,0.0,1.4706,0.7143,,0.7752,1.4599,,0.0,1.5748,
1936-12-01,-1.3605,0.0,-1.3793,-0.7246,-0.7092,,0.0,0.0,,0.0,0.0,
1937-03-01,2.069,1.3699,2.0979,1.4599,2.8571,,2.3077,0.7194,,3.2258,3.1008,
1937-06-01,0.0,0.6757,1.3699,2.1583,2.7778,,0.0,0.7143,,0.0,0.0,
1937-09-01,2.7027,1.3423,2.027,1.4085,0.6757,,1.5038,1.4184,,0.7812,1.5038,
1937-12-01,-1.3158,-2.649,-2.649,-1.3889,0.6711,,0.0,-1.3986,,0.7752,-0.7407,
1938-03-01,-3.3333,-1.3605,-2.7211,-2.1127,-2.6667,,-1.4815,-2.1277,,-1.5385,-0.7463,
1938-06-01,0.0,0.6897,0.0,0.7194,-0.6849,,-0.7519,-1.4493,,0.0,-0.7519,
1938-09-01,0.6897,-0.6849,0.0,0.0,-1.3793,,0.7576,1.4706,,0.0,0.0,
1938-12-01,0.0,-0.6897,-0.6993,-1.4286,-0.6993,,0.0,0.0,,0.0,0.0,
1939-03-01,-0.6849,-1.3889,-0.7042,-0.7246,-1.4085,,-1.5038,-1.4493,,-0.7813,-0.7576,
1939-06-01,-1.3793,0.0,-0.7092,-0.7299,-0.7143,,0.0,-0.7353,,-1.5748,0.0,
1939-09-01,3.4965,2.1127,2.1429,1.4706,1.4388,,1.5267,2.2222,,2.4,1.5267,
1939-12-01,-1.3514,-1.3793,-1.3986,-0.7246,-0.7092,,-0.7519,-1.4493,,-1.5625,-1.5038,
1940-03-01,0.6849,0.0,1.4184,0.0,0.7143,,0.0,0.7353,,0.0,0.7634,
1940-06-01,0.6803,0.6993,0.6993,1.4599,0.7092,,0.0,-1.4599,,0.0,0.0,
1940-09-01,-0.6757,-0.6944,-0.6944,-0.7194,-0.7042,,0.0,0.7407,,0.7937,0.0,
