date,CPI All Urban Consumers Period %,CPI Less Food & Energy (Core) Period %,CPI Food & Beverages Period %,CPI Energy Period %,CPI Shelter Period %,CPI Medical Care Period %,CPI Transportation Period %,CPI Apparel Period %,CPI Education & Communication Period %
1947-02-01,0.6518,,,,,0.7576,0.0,1.0417,
1947-03-01,1.7576,,,,,0.0,1.1173,1.5464,
1947-04-01,0.0,,,,,0.7519,1.105,0.7614,
1947-05-01,-0.2273,,,,,0.7463,0.0,0.2519,
1947-06-01,0.5923,,,,,0.0,0.5464,0.5025,
1947-07-01,0.6793,,,,,0.0,0.5435,0.0,
1947-08-01,0.7647,,,,,0.7407,0.0,0.25,
1947-09-01,1.9643,,,,,0.7353,1.0811,0.2494,
1947-10-01,0.3065,,,,,0.7299,0.5348,0.4975,
1947-11-01,0.6547,,,,,0.0,1.0638,0.495,
1947-12-01,1.5178,,,,,0.7246,0.5263,0.9852,
1948-01-01,1.1534,,,,,0.7194,2.6178,0.7317,
1948-02-01,-0.0422,,,,,0.0,-0.5102,1.2107,
1948-03-01,-0.7182,,,,,0.7143,0.5128,0.4785,
1948-04-01,1.3617,,,,,1.4184,1.5306,0.2381,
1948-05-01,0.7976,,,,,0.0,0.0,0.9501,
1948-06-01,0.5831,,,,,0.6993,0.5025,-0.2353,
1948-07-01,1.0352,,,,,0.6944,5.0,0.7075,
1948-08-01,0.123,,,,,0.6897,1.4286,0.9368,
1948-09-01,-0.2865,,,,,-0.6849,0.4695,0.0,
1948-10-01,-0.2053,,,,,0.6897,0.4673,0.0,
1948-11-01,-0.617,,,,,0.6849,0.4651,-0.232,
1948-12-01,-0.4553,,,,,0.0,0.0,0.0,
1949-01-01,-0.1663,,,,,0.0,0.0,-1.8605,
1949-02-01,-0.4165,,,,,0.6803,0.9259,-0.9479,
1949-03-01,0.0,,,,,0.0,0.4587,-0.4785,
1949-04-01,0.0418,,,,,0.0,0.4566,-0.7212,
1949-05-01,-0.0418,,,,,0.0,0.9091,-0.4843,
1949-06-01,0.0418,,,,,0.0,-0.4505,-0.2433,
1949-07-01,-0.9197,,,,,0.0,0.4525,-0.4878,
1949-08-01,0.0,,,,,0.6757,0.4505,-0.7353,
1949-09-01,0.211,,,,,0.0,-0.4484,-0.7407,
1949-10-01,-0.3368,,,,,0.0,0.4505,-0.7463,
1949-11-01,0.1267,,,,,0.0,0.0,-0.2506,
1949-12-01,-0.3797,,,,,0.0,0.8969,0.0,
