date,Total Existing Home Sales (NSA) Period %,Existing Home Sales - Northeast (NSA) Period %,Existing Home Sales - Midwest (NSA) Period %,Existing Home Sales - South (NSA) Period %,Existing Home Sales - West (NSA) Period %,Median Sales Price - National Period %,Median Sales Price - Northeast Period %,Median Sales Price - Midwest Period %,Median Sales Price - South Period %,Median Sales Price - West Period %,Housing Inventory Period %,Months Supply of Inventory Period %
2025-03-01,22.5681,26.9231,21.4286,21.7742,23.5294,1.5877,0.7752,1.8964,1.0674,1.0739,8.1301,11.1111
2025-04-01,10.7937,9.0909,19.1176,8.6093,7.9365,2.704,4.1453,4.121,1.5286,1.1751,9.0226,7.5
2025-05-01,11.7479,19.4444,18.5185,10.3659,2.9412,2.343,5.2934,4.4366,1.0129,0.2387,6.2069,6.9767
2025-06-01,0.2564,9.3023,3.125,-2.7624,-1.4286,2.1241,5.8846,3.1785,1.4092,-0.3651,0.0,0.0
2025-07-01,-0.5115,8.5106,-2.0202,-1.7045,-1.4493,-1.6177,-1.417,-1.2441,-1.5767,-1.1152,0.6494,0.0
2025-08-01,-3.3419,-1.9608,-3.0928,-4.0462,-2.9412,-0.7752,-0.2987,-1.1698,-1.1404,-0.0644,-1.2903,0.0
2025-09-01,-5.5851,-10.0,-8.5106,-4.8193,0.0,-2.3911,-6.3284,-3.0046,-1.0437,-0.7577,0.0,-2.1739
2025-10-01,1.1268,2.2222,4.6512,-0.6329,0.0,0.6306,0.6596,-0.0313,0.5551,1.462,-0.6536,-2.2222
2025-11-01,-17.8273,-17.3913,-20.0,-15.9236,-19.697,-1.181,-0.7546,-0.7512,-0.7176,-1.553,-5.2632,-4.5455
2025-12-01,17.2881,15.7895,6.9444,23.4848,16.9811,-1.1951,0.02,-3.3743,-0.0834,-2.6996,-14.5833,-16.6667
2026-01-01,-34.104,-34.0909,-36.3636,-33.7423,-32.2581,-2.4932,0.8202,-2.7089,-2.3651,-2.1227,2.439,8.5714
2026-02-01,12.7193,-13.7931,10.2041,16.6667,23.8095,0.7595,-4.8016,1.3418,1.6814,2.9884,2.381,0.0
