date,Total Existing Home Sales Period %,Existing Home Sales - Northeast Period %,Existing Home Sales - Midwest Period %,Existing Home Sales - South Period %,Existing Home Sales - West Period %,Median Sales Price - National Period %,Median Sales Price - Northeast Period %,Median Sales Price - Midwest Period %,Median Sales Price - South Period %,Median Sales Price - West Period %,Housing Inventory Period %,Months Supply of Inventory Period %
2025-03-01,-3.13,0.0,-3.06,-3.19,-5.0,1.59,0.78,1.9,1.07,1.07,8.13,11.11
2025-04-01,0.0,0.0,1.05,0.0,-1.32,2.7,4.15,4.12,1.53,1.18,9.02,7.5
2025-05-01,0.5,2.04,2.08,1.65,-5.33,2.34,5.29,4.44,1.01,0.24,6.21,6.98
2025-06-01,-1.49,-4.0,-2.04,-1.62,1.41,2.12,5.88,3.18,1.41,-0.37,0.0,0.0
2025-07-01,1.26,4.17,-1.04,2.2,0.0,-1.62,-1.42,-1.24,-1.58,-1.12,0.65,0.0
2025-08-01,0.0,-2.0,1.05,-1.08,2.78,-0.78,-0.3,-1.17,-1.14,-0.06,-1.29,0.0
2025-09-01,1.24,0.0,-1.04,1.63,4.05,-2.39,-6.33,-3.0,-1.04,-0.76,0.0,-2.17
2025-10-01,0.74,0.0,3.16,0.53,-1.3,0.63,0.66,-0.03,0.56,1.46,-0.65,-2.22
2025-11-01,-0.49,2.04,-1.02,-0.53,-1.32,-1.18,-0.75,-0.75,-0.72,-1.55,-5.26,-4.55
2025-12-01,4.4,2.0,2.06,6.42,4.0,-1.2,0.02,-3.37,-0.08,-2.7,-14.58,-16.67
2026-01-01,-5.85,-1.96,-6.06,-6.53,-6.41,-2.49,0.82,-2.71,-2.37,-2.12,2.44,8.57
2026-02-01,1.74,-6.0,1.08,1.61,8.22,0.76,-4.8,1.34,1.68,2.99,2.38,0.0
