date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
1968-02-01,-6.603,-11.8857,7.4434
1968-03-01,12.6917,13.3593,11.1446
1968-04-01,0.3779,2.746,-3.523
1968-05-01,2.9367,0.2227,9.8315
1968-06-01,-13.387,-12.0,-15.601
1968-07-01,15.7095,12.6263,13.9394
1968-08-01,-6.6423,-6.278,3.4574
1968-09-01,9.226,4.9043,8.9974
1968-10-01,-3.5075,-5.5872,1.8868
1968-11-01,1.4095,4.4686,-0.9259
1968-12-01,1.6825,1.1561,1.8692
1969-01-01,-9.5683,-4.1143,-18.3486
1969-02-01,12.4901,3.9333,30.8989
1969-03-01,10.1839,0.0,28.97
1969-04-01,-15.4044,-13.7615,-19.6339
1969-05-01,8.4977,9.1755,7.6605
1969-06-01,1.7483,3.5323,-0.5769
1969-07-01,-1.5808,-4.5882,4.8356
1969-08-01,-2.7235,-1.3564,-6.2731
1969-09-01,-1.8665,-3.75,1.9685
1969-10-01,2.853,4.6753,0.5792
1969-11-01,-0.1422,-5.0868,7.4856
1969-12-01,-0.1425,0.1307,0.0
1970-01-01,2.2825,8.3551,-5.7143
1970-02-01,-0.2789,-8.3133,10.2273
1970-03-01,-7.9021,-6.0447,-11.3402
1970-04-01,2.8094,3.9161,1.7442
1970-05-01,-1.4771,3.0956,-7.4286
1970-06-01,7.2714,0.7833,13.786
1970-07-01,-3.2844,2.5907,-4.8825
1970-08-01,16.2572,6.4394,29.8479
1970-09-01,-14.046,4.745,-37.9209
1970-10-01,3.9046,-8.7203,27.5943
1970-11-01,1.3918,4.8387,-3.3272
1970-12-01,-1.3727,-1.1834,-0.1912
1971-01-01,2.366,1.4371,1.1494
1971-02-01,-1.5636,2.4793,-7.5758
1971-03-01,2.8315,4.0323,2.0492
1971-04-01,14.775,13.8427,15.0602
1971-05-01,-4.213,-5.3502,-0.5236
1971-06-01,0.0,-0.8222,0.1754
1971-07-01,3.7874,7.1503,-1.2259
1971-08-01,11.5951,0.677,32.4468
1971-09-01,-4.8523,3.5543,-18.0723
1971-10-01,0.6098,1.2987,0.3268
1971-11-01,1.5978,2.0147,0.0
1971-12-01,2.7657,2.693,0.1629
1972-01-01,2.4802,-0.9615,11.0569
1972-02-01,6.1277,-0.9709,18.8873
1972-03-01,-3.8816,2.852,-13.7931
1972-04-01,-0.5553,2.9463,-2.0
1972-05-01,-3.7563,-4.798,-3.4985
1972-06-01,2.1097,1.2378,1.2085
1972-07-01,-0.3099,-2.0961,2.9851
1972-08-01,8.9119,11.3292,5.942
1972-09-01,-2.3311,-10.8974,11.3543
1972-10-01,-2.8251,6.295,-13.3907
1972-11-01,-0.5013,-2.7073,0.7092
1972-12-01,6.8514,4.9565,11.6901
1973-01-01,1.9331,7.208,-5.4224
1973-02-01,-1.7576,-0.3091,-3.7333
1973-03-01,3.3898,1.1628,6.3712
1973-04-01,-0.0455,-1.7625,3.2552
1973-05-01,4.738,1.3261,8.0706
1973-06-01,-1.7834,-2.3095,-0.8168
1973-07-01,-8.5031,-14.8148,0.1176
1973-08-01,-0.484,6.2905,-6.5805
1973-09-01,0.2432,1.9147,-4.7799
1973-10-01,-0.4367,-3.5867,2.642
1973-11-01,-6.1891,-2.1258,-8.1081
1973-12-01,-2.9091,-3.8914,0.0
1974-01-01,3.3708,-3.484,10.2241
1974-02-01,0.3106,0.1951,1.6518
1974-03-01,-6.8111,-5.258,-9.875
1974-04-01,1.3289,-3.8027,8.3218
1974-05-01,-6.2842,-0.641,-12.2919
1974-06-01,10.6122,19.3548,1.7518
1974-07-01,-10.6484,-17.2973,-3.0129
1974-08-01,-3.5988,-0.9804,-5.7692
1974-09-01,1.0404,-0.44,4.2386
1974-10-01,-1.272,0.884,-3.4639
1974-11-01,-2.454,-5.9146,1.4041
1974-12-01,-3.1447,-2.0955,-3.5385
1975-01-01,3.1169,15.3389,-10.8453
1975-02-01,-15.2393,-18.5567,-13.059
1975-03-01,-3.9376,-3.7975,-1.8519
1975-04-01,-1.1601,4.3421,-12.5786
1975-05-01,5.5556,11.6015,-3.5971
1975-06-01,-8.5248,-7.7966,-9.9502
1975-07-01,3.4036,7.9657,-6.6298
1975-08-01,1.0972,-0.454,5.9172
1975-09-01,3.3333,10.2623,-13.1285
1975-10-01,-14.9287,-21.8201,2.2508
1975-11-01,21.9577,30.9524,1.8868
1975-12-01,-5.5676,-1.6162,-17.284
1976-01-01,-3.6753,-2.0534,-8.9552
1976-02-01,4.213,3.2495,6.5574
