date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1959-02-01,0.6,-1.42,,9.03,-1.14,3.76,0.59,-1.71
1959-03-01,-2.82,-4.78,,4.57,-4.62,-11.94,-0.98,8.72
1959-04-01,-1.85,2.23,,-15.85,-16.67,-5.33,6.56,3.74
1959-05-01,-5.79,-5.38,,-7.47,-5.45,-9.21,-9.14,2.06
1959-06-01,0.33,-0.82,,5.26,-2.31,-3.38,6.37,-2.02
1959-07-01,2.93,4.41,,-3.0,6.69,8.16,2.9,-4.12
1959-08-01,-7.56,-5.02,,-18.56,-15.13,-5.66,-11.07,1.08
1959-09-01,7.69,6.87,,11.81,5.22,3.43,18.14,0.0
1959-10-01,-12.01,-18.2,,17.74,4.96,-15.75,-20.89,-6.12
1959-11-01,4.5,11.51,,-18.91,-3.15,6.89,12.87,-2.55
1959-12-01,13.06,21.24,,-24.51,4.07,21.17,18.4,4.07
1960-01-01,-8.81,-14.11,,30.37,7.03,-9.37,-14.53,-10.06
1960-02-01,2.95,-0.25,,18.47,-1.82,6.98,-3.75,13.04
1960-03-01,-26.21,-25.17,,-30.51,-45.72,-46.21,-12.11,-9.62
1960-04-01,16.23,16.04,,17.07,49.32,39.81,8.88,-3.65
1960-05-01,-1.4,-3.81,,9.17,-1.38,3.47,-1.72,-5.36
1960-06-01,-1.89,-0.59,,-6.87,-3.26,8.39,-10.92,2.67
1960-07-01,-4.01,-5.58,,2.46,-4.81,-5.26,-3.43,-2.92
1960-08-01,12.28,15.21,,1.2,15.66,-7.52,21.57,18.06
1960-09-01,-18.38,-20.71,,-8.3,-15.28,3.18,-19.83,-35.69
1960-10-01,13.58,6.59,,39.66,47.42,-6.85,0.52,33.04
1960-11-01,0.0,2.93,,-8.33,5.59,1.84,1.3,-8.61
1960-12-01,-14.69,-11.38,,-25.25,-51.99,-10.83,-9.97,15.58
1961-01-01,11.29,6.78,,28.38,2.07,25.91,22.16,-7.84
1961-02-01,3.63,5.57,,-2.46,52.7,-13.83,3.26,-2.04
1961-03-01,7.01,0.95,,27.7,0.44,17.16,-3.6,19.1
1961-04-01,-11.13,-8.15,,-19.15,0.44,-21.97,-3.04,-18.95
1961-05-01,5.32,6.71,,1.05,0.88,9.8,11.08,-3.6
1961-06-01,12.54,7.78,,27.93,14.35,5.2,7.16,27.61
1961-07-01,-3.4,-0.69,,-10.78,-1.52,-4.95,-2.43,-4.97
1961-08-01,-1.72,-3.09,,2.42,-9.65,-3.72,4.36,-2.77
1961-09-01,8.92,8.12,,11.21,30.34,10.42,1.39,3.8
1961-10-01,-0.98,-5.61,,11.94,-13.77,2.1,0.2,6.4
1961-11-01,-2.12,2.52,,-13.03,-3.8,1.37,-3.72,-1.43
1961-12-01,-1.44,-1.28,,-1.91,1.19,-6.08,2.24,-4.65
1962-01-01,-0.29,-3.08,,7.5,7.81,-15.47,-3.58,11.28
1962-02-01,-6.1,-2.87,,-14.21,-22.1,17.02,2.68,-20.55
1962-03-01,12.91,3.49,,39.76,17.21,3.27,7.63,27.93
1962-04-01,5.61,4.9,,7.11,11.11,14.79,-3.92,8.63
1962-05-01,-2.69,0.49,,-9.26,1.43,-11.35,0.58,-2.73
1962-06-01,-5.33,-7.85,,0.44,-4.23,-10.03,-0.19,-9.44
1962-07-01,3.28,3.36,,3.09,-3.68,9.23,0.58,8.17
1962-08-01,4.62,7.12,,-0.64,3.82,8.45,3.65,3.65
1962-09-01,-12.72,-17.76,,-1.29,-18.01,-19.48,-12.99,-3.52
1962-10-01,15.79,14.32,,18.56,2.69,22.98,34.12,-3.65
1962-11-01,5.81,9.09,,-0.18,11.79,12.79,-7.79,19.46
1962-12-01,-3.58,-7.59,,4.43,29.3,-17.73,-1.72,-14.03
1963-01-01,-20.46,-18.84,,-23.32,-52.27,-44.88,-11.93,12.63
1963-02-01,17.04,20.62,,10.37,43.67,72.44,4.18,2.1
1963-03-01,5.36,-1.54,,19.42,7.49,0.74,16.63,-6.41
1963-04-01,10.1,13.93,,3.67,34.43,26.2,-3.93,5.87
1963-05-01,-2.84,-2.28,,-3.88,-20.12,4.09,-2.56,4.39
1963-06-01,-3.23,-5.98,,1.93,-10.31,-4.49,0.53,-2.88
1963-07-01,1.64,2.38,,0.34,2.55,-7.06,7.84,-0.23
1963-08-01,1.55,2.42,,-18.35,14.11,10.44,-3.88,-4.11
1963-09-01,7.57,4.73,24.3,10.08,-2.18,3.72,16.47,4.52
1963-10-01,0.91,-1.63,2.26,5.92,8.18,6.35,-4.47,0.46
1963-11-01,-8.83,-5.15,-2.94,-17.48,-12.71,-9.61,-9.82,-4.31
1963-12-01,-8.08,-17.44,-2.27,11.35,-12.99,-14.66,-13.9,8.77
1964-01-01,7.51,20.07,7.75,-13.53,5.43,20.54,13.62,-6.75
1964-02-01,13.54,13.59,27.34,9.07,6.87,37.15,11.3,0.7
1964-03-01,-16.65,-19.88,-32.2,-3.12,-1.61,-32.99,-10.77,-15.78
1964-04-01,-4.55,-3.22,-12.5,-5.15,-11.43,-9.73,-2.41,1.38
1964-05-01,1.31,5.11,-22.86,-0.68,23.04,12.46,-0.88,-17.12
1964-06-01,5.66,3.59,38.27,4.1,-1.87,2.69,3.92,18.36
1964-07-01,0.77,-1.22,-0.89,5.47,-3.44,-0.87,-2.57,10.8
1964-08-01,0.45,2.17,-2.7,-2.28,4.35,3.82,4.93,-11.0
1964-09-01,-7.27,-3.33,-16.67,-13.38,-12.88,-7.08,-7.05,-3.65
1964-10-01,4.74,4.08,26.67,1.47,15.65,13.72,7.58,-15.45
1964-11-01,-2.49,-6.63,-21.05,12.56,-6.39,-7.24,-8.39,18.97
1964-12-01,-0.13,3.55,-2.22,-7.08,28.11,-22.54,6.23,-8.12
1965-01-01,-8.29,-6.33,-3.41,-13.63,-43.57,11.19,9.66,-22.08
1965-02-01,5.29,-5.43,1.18,32.09,36.67,-4.7,-6.29,24.29
1965-03-01,-0.7,8.91,1.16,-17.61,19.11,8.1,-13.09,-0.33
1965-04-01,1.05,2.26,4.6,-2.46,-7.85,13.03,8.69,-15.69
1965-05-01,2.78,-0.11,13.19,7.3,4.07,1.15,0.18,8.91
1965-06-01,0.68,-0.21,-19.42,7.51,1.42,7.12,-1.06,-3.91
1965-07-01,2.76,9.08,-3.61,-9.17,-15.09,12.77,8.6,-4.44
1965-08-01,-6.34,-7.26,11.25,-7.45,7.44,-20.05,-0.83,-10.08
1965-09-01,3.49,0.42,0.0,11.95,6.92,6.49,-4.66,15.95
1965-10-01,-2.02,-0.83,-32.58,1.62,-10.07,0.83,-1.92,2.97
1965-11-01,0.55,3.98,53.33,-14.16,15.2,7.97,-5.87,-9.39
1965-12-01,13.42,10.18,2.17,24.73,17.36,14.76,20.04,-7.57
1966-01-01,-17.27,-22.42,-23.4,-4.05,-17.75,-24.61,-23.62,15.52
1966-02-01,0.58,7.31,-11.11,-10.22,-20.5,2.06,17.94,-11.57
1966-03-01,1.16,4.4,25.0,-9.9,16.29,4.61,-4.9,-2.95
1966-04-01,-3.01,-7.47,0.0,7.97,-6.23,-5.51,-2.76,3.91
1966-05-01,-6.43,-6.48,-23.75,-2.8,-15.35,-8.16,-0.57,-8.37
1966-06-01,-5.61,-4.74,-1.64,-8.12,9.8,-9.21,-6.84,-11.42
1966-07-01,-9.05,-5.62,-3.33,-17.66,-14.29,-10.49,-6.33,-7.73
1966-08-01,3.04,0.95,-6.9,10.38,21.35,15.23,-10.24,-0.56
1966-09-01,-6.52,-6.3,-9.26,-6.58,-21.03,-8.14,7.04,-16.29
1966-10-01,-19.41,-14.59,10.2,-35.57,-33.7,-18.82,-15.65,-13.42
1966-11-01,14.0,13.74,-16.67,23.44,47.54,-3.64,9.95,23.26
1966-12-01,3.02,-1.91,33.33,11.39,-0.56,14.15,0.0,0.63
1967-01-01,7.78,15.32,-21.67,-4.55,19.55,18.6,6.36,-18.12
1967-02-01,5.25,-5.73,25.53,34.92,10.75,-12.2,2.99,41.98
1967-03-01,-5.97,4.56,-28.81,-24.41,-43.46,7.14,4.69,-1.61
1967-04-01,3.31,-0.26,35.71,8.56,29.1,-0.74,3.2,-8.2
1967-05-01,19.52,12.85,36.84,34.05,18.5,39.93,3.51,32.74
1967-06-01,-4.29,0.82,-19.23,-12.83,-6.34,-12.8,0.8,0.0
1967-07-01,9.29,1.86,33.33,24.23,35.42,6.12,0.79,11.21
1967-08-01,3.15,3.2,5.95,2.47,-30.38,11.82,11.59,9.27
1967-09-01,1.0,1.0,-15.73,4.58,53.59,-16.24,-1.23,-5.9
1967-10-01,4.93,-0.22,20.0,13.13,-7.19,22.77,3.39,-0.39
1967-11-01,3.15,3.52,-12.22,5.3,-3.1,0.25,9.14,0.79
1967-12-01,-14.95,-13.06,6.33,-21.66,-22.8,-11.5,-18.01,-5.47
1968-01-01,5.5,2.44,0.0,12.84,10.36,1.41,-0.77,20.66
