date,Total Units Under Construction (SA) Period %,Single-Family Under Construction Period %
1970-02-01,-0.1125,0.5634
1970-03-01,0.2252,1.1204
1970-04-01,0.1124,1.108
1970-05-01,-0.8979,0.0
1970-06-01,-0.1133,0.8219
1970-07-01,1.0204,0.5435
1970-08-01,-1.908,-0.8108
1970-09-01,1.8307,0.545
1970-10-01,1.1236,2.168
1970-11-01,1.5556,1.061
1970-12-01,3.1729,4.7244
1971-01-01,2.9692,3.0075
1971-02-01,2.3687,3.163
1971-03-01,3.1187,1.1792
1971-04-01,3.6098,4.662
1971-05-01,2.919,3.3408
1971-06-01,3.1107,2.8017
1971-07-01,2.9281,1.6771
1971-08-01,2.1552,2.4742
1971-09-01,1.6878,1.6097
1971-10-01,1.5768,1.5842
1971-11-01,3.1046,2.3392
1971-12-01,1.8225,0.7619
1972-01-01,2.4125,2.8355
1972-02-01,-1.6717,-1.8382
1972-03-01,5.0232,5.2434
1972-04-01,1.8396,0.8897
1972-05-01,1.3728,1.0582
1972-06-01,1.8532,1.7452
1972-07-01,1.3996,1.3722
1972-08-01,1.8634,1.8613
1972-09-01,1.5583,2.99
1972-10-01,2.8686,1.6129
1972-11-01,2.0104,1.4286
1972-12-01,0.9536,1.0955
1973-01-01,1.1965,0.9288
1973-02-01,1.3068,0.0
1973-03-01,-0.1229,-1.3804
1973-04-01,-0.4305,-1.7107
1973-05-01,0.3088,-0.3165
1973-06-01,-1.5394,-3.0159
1973-07-01,0.4378,0.6547
1973-08-01,-0.7472,-1.3008
1973-09-01,-1.0038,-2.3064
1973-10-01,-2.4081,-2.6981
1973-11-01,-1.1688,-2.4263
1973-12-01,-1.774,-2.1314
1974-01-01,-2.0067,-1.4519
1974-02-01,-0.4096,-0.5525
1974-03-01,-2.9472,-1.2963
1974-04-01,-1.8362,0.7505
1974-05-01,-2.6619,-2.0484
1974-06-01,-2.3651,-1.9011
1974-07-01,-3.4065,-1.3566
1974-08-01,-3.605,-1.7682
1974-09-01,-4.1463,-2.4
1974-10-01,-4.2409,-2.2541
1974-11-01,-4.783,-1.6771
1974-12-01,-4.186,-1.0661
1975-01-01,-3.8835,-2.1552
1975-02-01,-2.8283,-1.5419
1975-03-01,-3.9501,-1.1186
1975-04-01,-3.1385,-0.905
1975-05-01,-2.4581,0.2283
1975-06-01,-2.1764,0.2278
1975-07-01,-0.4684,1.5909
