date,Initial Claims Period %,Initial Claims - 4 Week Average Period %,Continuing Claims Period %,Continuing Claims - 4 Week Average Period %,Insured Unemployment Rate Period %
1967-01-14,-0.4808,,-1.3228,,
1967-01-21,4.8309,,0.0,,
1967-01-28,-5.9908,,-1.4298,,
1967-02-04,5.8824,0.9569,2.5385,-0.067,
1967-02-11,6.0185,2.6066,1.9452,0.7603,
1967-02-18,0.0,1.3857,1.2142,1.0652,
1967-02-25,5.6769,4.328,2.7421,2.108,
1967-03-04,28.0992,10.262,3.0025,2.2366,
1967-03-11,-22.2581,1.1881,-0.081,1.7038,
1967-03-18,1.6598,1.5656,0.1621,1.4271,
1967-03-25,0.8163,0.4817,2.589,1.407,
1967-04-01,4.8583,-4.8897,1.8139,1.1261,
1967-04-08,-0.7722,1.6129,-1.3943,0.7755,
1967-04-15,16.3424,5.3571,0.3928,0.8287,
1967-04-22,-18.0602,-0.1883,-0.0782,0.1761,
1967-04-29,4.0816,-0.3774,0.7048,-0.0977,
1967-05-06,-0.3922,-0.2841,1.7107,0.6844,
1967-05-13,-9.0551,-6.4577,-1.8349,0.1165,
1967-05-20,-0.4329,-1.5228,-1.4798,-0.2328,
1967-05-27,-0.8696,-2.7835,-0.9486,-0.6416,
1967-06-03,8.7719,-0.6363,0.9577,-0.8415,
1967-06-10,-4.0323,0.7471,-1.1067,-0.6513,
1967-06-17,-5.8824,-0.6356,-0.2398,-0.3377,
1967-06-24,-2.6786,-1.0661,-2.2436,-0.6578,
1967-07-01,-4.1284,-4.2026,-2.2131,-1.4446,
1967-07-08,14.8325,0.225,4.6102,-0.0611,
1967-07-15,0.4167,1.908,0.8013,0.2037,
1967-07-22,-0.4149,2.4229,-0.4769,0.6505,
1967-07-29,-12.9167,0.0,2.2364,1.7572,
1967-08-05,5.7416,-2.043,-3.125,-0.1588,
1967-08-12,-8.5973,-4.281,-2.0161,-0.8549,
1967-08-19,6.4356,-2.867,-1.07,-1.0026,
1967-08-26,-0.9302,0.4723,-1.8303,-2.0255,
1967-09-02,2.3474,-0.3525,2.0339,-0.7443,
1967-09-09,5.9633,3.4198,-1.2458,-0.5416,
1967-09-16,-4.7619,0.5701,-0.841,-0.4817,
1967-09-23,-5.0,-0.4535,-0.0848,-0.0421,
1967-09-30,-2.3923,-1.5945,-1.7827,-0.9895,
1967-10-07,13.2353,0.0,0.6914,-0.5103,
1967-10-14,-10.8225,-1.6204,2.0601,0.2137,
1967-10-21,8.2524,1.6471,-1.2616,-0.0853,
1967-10-28,-7.1749,0.3472,-1.1073,0.0854,
1967-11-04,7.2464,-1.0381,1.292,0.2346,
1967-11-11,-3.6036,0.9324,-2.8912,-1.0,
1967-11-18,-7.4766,-2.8868,-0.7881,-0.8812,
1967-11-25,-3.5354,-1.9025,0.7944,-0.412,
1967-12-02,2.6178,-3.1515,0.7005,-0.5661,
1967-12-09,12.7551,0.8761,0.2609,0.2409,
1967-12-16,-7.6923,0.7444,3.0356,1.2014,
1967-12-23,7.3529,3.4483,0.5892,1.144,
1967-12-30,-1.3699,2.381,-2.3431,0.3628,
1968-01-06,2.7778,0.1163,-0.7712,0.1063,
1968-01-13,0.0,2.0906,2.5043,-0.0212,
