date,Job Openings: Total Nonfarm Period %,Hires: Total Nonfarm Period %,Total Separations: Total Nonfarm Period %,Quits: Total Nonfarm Period %,Layoffs and Discharges: Total Nonfarm Period %
2001-01-01,2.8695,5.4552,11.4885,12.5954,10.0099
2001-02-01,-2.6175,-7.3226,-10.4587,-5.9168,-16.4414
2001-03-01,-6.5725,4.2429,6.4041,0.0328,14.9865
2001-04-01,-3.0869,-5.8611,-2.7309,3.5691,-11.7206
2001-05-01,-4.117,3.9585,-0.4433,-5.3746,7.7536
2001-06-01,-1.4463,-5.5638,-2.616,-3.8423,-0.69
2001-07-01,1.972,2.6424,2.4957,2.3975,1.1414
2001-08-01,-9.512,-0.4005,-0.4647,-0.6447,-1.3248
2001-09-01,1.168,-5.1503,-3.1933,-7.6844,4.7737
2001-10-01,-8.9413,2.503,5.4012,3.4036,10.0617
2001-11-01,1.8344,-3.2296,-5.7467,-8.4079,-2.7598
2001-12-01,-2.596,-1.7298,-5.8641,-0.0391,-14.7672
2002-01-01,0.5983,0.5384,5.5487,11.1762,-0.7804
2002-02-01,-7.11,-1.1123,-3.674,-9.5958,3.7231
2002-03-01,5.1222,-1.9788,-3.5098,-3.0715,-4.8028
2002-04-01,-3.9037,4.7174,4.6888,5.2547,3.8768
2002-05-01,-0.4033,-1.4407,-2.9122,-3.3155,0.5624
2002-06-01,-1.3017,0.2471,1.0964,-0.5912,2.4403
2002-07-01,-1.3189,1.5814,3.4172,1.5464,4.3176
2002-08-01,4.455,-1.5164,-4.1156,0.0,-8.5157
2002-09-01,-6.1416,0.1642,1.5064,-1.5619,5.1482
2002-10-01,5.3923,-1.6602,-3.7813,-3.8873,-4.3027
2002-11-01,1.006,-0.1251,0.3592,-0.8254,0.4651
2002-12-01,-9.8179,2.1077,3.7474,4.0782,3.2407
2003-01-01,8.5831,3.3722,0.5073,-2.8788,5.0822
2003-02-01,-6.161,-6.8011,-1.6556,2.5113,-4.4571
2003-03-01,-4.026,-5.1761,-2.5046,-3.8554,-3.2754
2003-04-01,0.2904,2.9083,-2.0215,-4.8037,2.5141
2003-05-01,5.8237,1.6957,1.354,0.5265,3.7037
2003-06-01,3.0708,0.0855,0.0424,1.0476,0.1931
2003-07-01,-12.0649,-0.9184,-1.2081,-1.9006,-0.6744
2003-08-01,7.0111,0.582,0.3862,-3.3465,4.8497
2003-09-01,-3.1034,2.8504,-0.7267,7.2437,-10.6383
2003-10-01,6.9233,2.1463,2.239,2.5913,1.9151
2003-11-01,0.5749,-2.754,-1.0318,-0.1656,-0.9142
2003-12-01,2.7076,4.5521,1.8085,1.3687,2.8703
2004-01-01,0.2929,-1.6854,-1.3166,-3.6825,1.4948
2004-02-01,3.1542,-2.2857,0.6777,3.9932,-2.5528
2004-03-01,-0.1982,9.1688,5.0905,5.4739,4.0302
2004-04-01,-0.3972,-1.4349,-2.8423,-1.859,-2.6634
2004-05-01,5.6679,-3.4161,-3.4199,-4.1831,-4.7761
2004-06-01,-10.0539,0.6632,4.4369,9.514,-1.4107
2004-07-01,14.2943,-2.3558,-1.3889,-1.8804,-0.106
2004-08-01,-7.1578,2.4944,1.5742,-0.8816,4.7215
2004-09-01,7.9074,0.9775,-0.367,-2.1268,2.6849
2004-10-01,3.1929,1.7187,-2.0467,0.7507,-6.1174
2004-11-01,-11.9452,0.6215,7.2712,9.3725,7.0415
2004-12-01,17.3387,-0.5404,-3.3113,-3.3704,-4.2219
2005-01-01,-6.6274,0.9315,1.6317,1.3729,2.9216
2005-02-01,4.2324,1.442,0.5946,-2.9649,2.988
2005-03-01,1.9924,-0.0569,3.2118,3.6213,5.8027
2005-04-01,2.8437,1.6878,-4.5819,-0.2184,-10.5576
2005-05-01,-8.704,-1.6971,2.2409,0.8026,3.2703
2005-06-01,6.9792,1.992,-0.2935,-0.3257,-0.2969
2005-07-01,4.776,-0.8929,-2.9244,-0.6899,-5.8065
2005-08-01,-2.6786,1.5203,5.3376,8.117,0.3688
2005-09-01,5.07,1.553,3.7236,3.0098,6.6667
2005-10-01,-3.8603,-6.7176,-6.6062,-6.0079,-7.8248
