date,Civilian Labor Force Level (000s) Period %,Labor Force Participation Rate Period %,Employment-Population Ratio Period %,Total Nonfarm Payrolls (000s) Period %,Average Hourly Earnings - All Employees Period %,Average Weekly Hours - All Employees Period %,Average Hourly Earnings - Production Workers Period %
1939-02-01,,,,0.5915,,,
1939-03-01,,,,0.598,,,
1939-04-01,,,,-0.6143,,,
1939-05-01,,,,0.6812,,,
1939-06-01,,,,0.67,,,
1939-07-01,,,,-0.2721,,,
1939-08-01,,,,0.8021,,,
1939-09-01,,,,1.2001,,,
1939-10-01,,,,1.2246,,,
1939-11-01,,,,0.1878,,,
1939-12-01,,,,0.2288,,,
1940-01-01,,,,0.1934,,,
1940-02-01,,,,0.3544,,,
1940-03-01,,,,0.3468,,,
1940-04-01,,,,-0.3896,,,
1940-05-01,,,,0.5615,,,
1940-06-01,,,,0.3074,,,
1940-07-01,,,,-0.1095,,,
1940-08-01,,,,1.2836,,,
1940-09-01,,,,1.4157,,,
1940-10-01,,,,1.3929,,,
1940-11-01,,,,1.2084,,,
1940-12-01,,,,1.4999,,,
1941-01-01,,,,0.8983,,,
1941-02-01,,,,1.0499,,,
1941-03-01,,,,0.7146,,,
1941-04-01,,,,1.0715,,,
1941-05-01,,,,2.0131,,,
1941-06-01,,,,1.2935,,,
1941-07-01,,,,1.3288,,,
1941-08-01,,,,1.0959,,,
1941-09-01,,,,0.7751,,,
1941-10-01,,,,0.3013,,,
1941-11-01,,,,0.1976,,,
1941-12-01,,,,0.2104,,,
1942-01-01,,,,0.6377,,,
1942-02-01,,,,0.4303,,,
1942-03-01,,,,1.0984,,,
1942-04-01,,,,1.071,,,
1942-05-01,,,,1.0647,,,
1942-06-01,,,,0.6487,,,
1942-07-01,,,,1.1067,,,
1942-08-01,,,,1.275,,,
1942-09-01,,,,0.6612,,,
1942-10-01,,,,0.6205,,,
1942-11-01,,,,0.383,,,
1942-12-01,,,,0.5783,,,
1943-01-01,,,,0.6131,,,
1943-02-01,,,,0.524,,,
1943-03-01,,,,0.3751,,,
1943-04-01,,,,0.2233,,,
1943-05-01,,,,-0.1196,,,
1943-06-01,,,,0.4343,,,
1943-07-01,,,,-0.1893,,,
1943-08-01,,,,-0.3607,,,
1943-09-01,,,,-0.1269,,,
1943-10-01,,,,0.4307,,,
1943-11-01,,,,0.3421,,,
1943-12-01,,,,-0.1751,,,
1944-01-01,,,,-0.2152,,,
1944-02-01,,,,-0.272,,,
1944-03-01,,,,-0.5736,,,
1944-04-01,,,,-0.5462,,,
1944-05-01,,,,-0.1854,,,
1944-06-01,,,,-0.0905,,,
1944-07-01,,,,-0.1025,,,
1944-08-01,,,,-0.1289,,,
1944-09-01,,,,-0.4086,,,
1944-10-01,,,,0.0696,,,
1944-11-01,,,,0.0072,,,
1944-12-01,,,,0.3572,,,
1945-01-01,,,,0.0836,,,
1945-02-01,,,,0.0048,,,
1945-03-01,,,,-0.2363,,,
1945-04-01,,,,-0.8421,,,
1945-05-01,,,,-0.3426,,,
1945-06-01,,,,-0.3753,,,
1945-07-01,,,,-0.6683,,,
1945-08-01,,,,-0.9982,,,
1945-09-01,,,,-4.8411,,,
1945-10-01,,,,0.2415,,,
1945-11-01,,,,1.0259,,,
1945-12-01,,,,0.2923,,,
1946-01-01,,,,1.8384,,,
1946-02-01,,,,-1.4688,,,
1946-03-01,,,,2.4233,,,
1946-04-01,,,,1.7863,,,
1946-05-01,,,,1.0657,,,
1946-06-01,,,,0.9335,,,
1946-07-01,,,,1.0016,,,
1946-08-01,,,,1.1601,,,
1946-09-01,,,,0.6402,,,
1946-10-01,,,,0.4148,,,
1946-11-01,,,,0.7008,,,
1946-12-01,,,,-0.0369,,,
1947-01-01,,,,0.3596,,,
1947-02-01,,,,0.0505,,,
1947-03-01,,,,0.1148,,,
1947-04-01,,,,-0.2477,,,
1947-05-01,,,,0.3195,,,
1947-06-01,,,,0.3942,,,
1947-07-01,,,,-0.1529,,,
1947-08-01,,,,0.4961,,,
1947-09-01,,,,0.5528,,,
1947-10-01,,,,0.4706,,,
1947-11-01,,,,0.1644,,,
1947-12-01,,,,0.2181,,,
1948-01-01,,,,0.2198,,,
1948-02-01,0.7139,0.5119,0.1767,-0.3268,,,
1948-03-01,-0.7501,-0.6791,-1.0582,0.3368,,,
1948-04-01,1.0105,0.8547,1.0695,-0.6803,,,
1948-05-01,-1.1619,-1.1864,-0.8818,0.9396,,,
1948-06-01,1.6424,1.5437,1.4235,0.5313,,,
1948-07-01,0.3675,0.1689,0.1754,0.2798,,,
1948-08-01,-0.6129,-0.6745,-0.8757,0.0399,,,
1948-09-01,0.0148,0.0,0.0,0.2568,,,
1948-10-01,-0.2779,-0.3396,-0.1767,-0.1082,,,
1948-11-01,0.0923,0.0,0.0,-0.1171,,,
1948-12-01,0.7693,0.6814,0.531,-0.354,,,
1949-01-01,-0.6507,-0.6768,-1.0563,-0.8083,,,
1949-02-01,0.4706,0.5111,0.0,-0.3828,,,
1949-03-01,0.0262,-0.1695,-0.3559,-0.5776,,,
1949-04-01,-0.1081,-0.1698,-0.5357,-0.009,,,
1949-05-01,0.4131,0.3401,-0.5386,-0.5697,,,
1949-06-01,-0.5077,-0.678,-0.722,-0.557,,,
1949-07-01,0.5792,0.5119,0.0,-0.4755,,,
1949-08-01,0.4714,0.5093,0.1818,0.2136,,,
1949-09-01,0.0698,-0.1689,0.363,0.3576,,,
1949-10-01,0.8956,0.846,-0.7233,-1.9141,,,
1949-11-01,-0.2895,-0.3356,1.275,0.6986,,,
1949-12-01,-0.1564,-0.3367,-0.5396,0.6475,,,
1950-01-01,-0.399,-0.5068,-0.3617,0.0092,,,
1950-02-01,0.0422,0.0,0.0,-0.5261,,,
1950-03-01,-0.1346,-0.1698,0.0,1.5174,,,
1950-04-01,0.8993,0.6803,1.2704,0.9737,,,
1950-05-01,-0.1207,-0.1689,0.0,0.7571,,,
1950-06-01,0.5412,0.5076,0.7168,0.8162,,,
1950-07-01,-0.4774,-0.5051,-0.1779,0.8229,,,
1950-08-01,0.7646,0.6768,1.2478,1.6236,,,
1950-09-01,-0.3946,-0.5042,-0.3521,0.5326,,,
1950-10-01,0.1267,0.3378,0.53,0.5771,,,
1950-11-01,-0.2275,-0.1684,0.0,0.1499,,,
1950-12-01,-0.35,-0.1686,-0.3515,0.1817,,,
1951-01-01,-0.2046,-0.1689,0.3527,0.9112,,,
1951-02-01,-0.2632,0.0,0.1757,0.6111,,,
1951-03-01,1.2108,1.1844,1.2281,0.6221,,,
1951-04-01,-1.1483,-1.1706,-0.6932,-0.0251,,,
1951-05-01,0.3818,0.5076,0.5236,0.1901,,,
1951-06-01,-0.6914,-0.6734,-0.8681,0.2336,,,
1951-07-01,0.7969,0.678,0.8757,-0.0062,,,
1951-08-01,-0.2882,-0.3367,-0.3472,-0.102,,,
1951-09-01,-0.2374,-0.1689,-0.5226,-0.1208,,,
1951-10-01,0.6863,0.5076,0.3503,0.1084,,,
1951-11-01,-0.3054,-0.3367,-0.349,0.2937,,,
1951-12-01,0.7144,0.6757,1.0508,0.3469,,,
1952-01-01,-0.04,-0.1678,0.0,-0.0373,,,
1952-02-01,-0.0208,0.0,0.0,0.4679,,,
1952-03-01,-1.1182,-1.0084,-1.0399,-0.0371,,,
1952-04-01,-0.0016,-0.1698,0.0,0.2392,,,
1952-05-01,0.5476,0.5102,0.3503,0.0452,,,
1952-06-01,0.0725,0.0,0.0,-0.7401,,,
1952-07-01,-0.227,-0.3384,-0.5236,-0.2879,,,
1952-08-01,-0.1372,-0.3396,-0.3509,1.6223,,,
1952-09-01,0.9373,0.8518,1.0563,0.8094,,,
1952-10-01,-0.7781,-0.8446,-0.8711,0.5616,,,
1952-11-01,0.8391,0.6814,1.0545,0.4416,,,
1952-12-01,0.208,0.1692,0.1739,0.7026,,,
1953-01-01,1.3063,0.5068,0.3472,-0.0439,,,
1953-02-01,0.1277,0.0,0.346,0.3889,,,
1953-03-01,0.2157,0.1681,0.1724,0.2662,,,
1953-04-01,-0.7698,-0.8389,-1.0327,-0.0753,,,
1953-05-01,-0.8739,-0.846,-0.6957,0.1091,,,
1953-06-01,0.7155,0.5119,0.5254,0.0574,,,
1953-07-01,-0.0095,0.0,0.0,0.0337,,,
1953-08-01,-0.3822,-0.5093,-0.5226,-0.093,,,
1953-09-01,-0.1417,-0.1706,-0.5254,-0.2397,,,
1953-10-01,0.2232,0.0,-0.1761,-0.2541,,,
1953-11-01,0.1304,0.1709,-0.3527,-0.6608,,,
1953-12-01,-0.2446,-0.5119,-1.4159,-0.4108,,,
1954-01-01,0.4873,0.5146,0.0,-0.4708,,,
1954-02-01,1.4152,1.1945,0.8977,-0.1759,,,
1954-03-01,-0.3141,-0.3373,-0.8897,-0.4556,,,
1954-04-01,0.221,0.1692,0.0,0.0448,,,
