date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1963-02-01,-21.489,2.907,,40.4255,1.2766
1963-03-01,-0.6466,2.8249,,-3.0303,1.6807
1963-04-01,31.2364,0.0,,-17.1875,1.6529
1963-05-01,-3.1405,-3.8462,,-3.7736,0.813
1963-06-01,-10.2389,2.8571,,17.6471,2.0161
1963-07-01,26.4259,2.2222,,-23.3333,0.3953
1963-08-01,-14.2857,-3.2609,,21.7391,3.937
1963-09-01,3.5088,0.5618,,-3.5714,-2.6515
1963-10-01,-3.8983,-1.676,,9.2593,6.6148
1963-11-01,2.1164,4.5455,,-6.7797,-5.8394
1963-12-01,-11.2263,1.6304,,10.9091,2.3256
1964-01-01,6.8093,-4.8128,,-4.918,-1.1364
1964-02-01,10.929,1.1236,,-5.1724,0.3831
1964-03-01,-7.7176,5.5556,,5.4545,0.3817
1964-04-01,-0.5338,-1.0526,,3.4483,-1.1407
1964-05-01,-6.4401,2.6596,,3.3333,2.3077
1964-06-01,10.8987,-2.5907,,-8.0645,-0.7519
1964-07-01,-0.8621,1.5957,,-3.5088,-0.3788
1964-08-01,1.2174,-1.0471,,-1.8182,-1.9011
1964-09-01,1.3746,0.0,,0.0,-0.7752
1964-10-01,-1.1864,0.0,,-1.8519,-1.1719
1964-11-01,-6.0034,2.1164,,5.6604,-1.581
1964-12-01,-1.4599,8.8083,,-1.7857,0.4016
1965-01-01,-1.2963,-1.4286,,1.8182,-0.8
1965-02-01,4.878,-1.4493,,-1.7857,1.2097
1965-03-01,-0.5367,-2.9412,,-1.8182,-3.1873
1965-04-01,-0.1799,0.5051,,3.7037,-0.4115
1965-05-01,-1.982,-1.5075,,-5.3571,-1.6529
1965-06-01,12.8676,1.0204,,-11.3208,-1.2605
1965-07-01,-9.772,6.0606,,10.6383,0.0
1965-08-01,11.0108,-3.8095,,-11.5385,-1.2766
1965-09-01,-4.5528,-2.9703,,6.5217,-0.431
1965-10-01,-5.4514,1.5306,,2.0408,-1.7316
1965-11-01,10.991,3.5176,,-8.0,1.7621
1965-12-01,-1.1364,-1.4563,,-4.3478,-2.1645
1966-01-01,-1.642,4.4335,,6.8182,0.885
1966-02-01,-9.6828,-1.4151,,4.2553,-1.7544
1966-03-01,2.9575,-0.4785,,2.0408,0.4464
1966-04-01,-2.1544,10.5769,,2.0,-1.7778
1966-05-01,-8.4404,-3.0435,,3.9216,-2.2624
1966-06-01,-13.0261,-4.9327,,13.2075,-0.9259
