date,PCE Price Index Period %,Core PCE (Less Food & Energy) Period %
1959-02-01,0.0989,0.0774
1959-03-01,0.0659,0.116
1959-04-01,0.1975,0.2511
1959-05-01,0.0526,0.122
1959-06-01,0.289,0.2951
1959-07-01,0.2095,0.2366
1959-08-01,0.1438,0.1595
1959-09-01,0.261,0.2612
1959-10-01,0.2408,0.1716
1959-11-01,0.0649,0.184
1959-12-01,0.1168,0.152
1960-01-01,-0.0583,0.0253
1960-02-01,0.1038,0.1896
1960-03-01,0.0583,0.0063
1960-04-01,0.3626,0.1829
1960-05-01,0.1032,0.1637
1960-06-01,0.0451,0.0566
1960-07-01,0.1804,0.1759
1960-08-01,0.1672,0.1442
1960-09-01,0.0578,0.0814
1960-10-01,0.1155,0.0563
1960-11-01,0.3396,0.2689
1960-12-01,0.0192,-0.0312
1961-01-01,0.0192,0.025
1961-02-01,0.0894,0.0998
1961-03-01,-0.0574,0.0312
1961-04-01,-0.0574,0.137
1961-05-01,0.0575,0.1306
1961-06-01,0.0447,0.1491
1961-07-01,0.2169,0.1551
1961-08-01,0.0827,0.1053
1961-09-01,0.1145,0.198
1961-10-01,-0.0064,0.0309
1961-11-01,0.0064,0.0185
1961-12-01,0.0254,0.0864
1962-01-01,0.1905,0.1172
1962-02-01,0.2662,0.1663
1962-03-01,0.1328,0.2337
1962-04-01,0.1136,0.0184
1962-05-01,0.0631,0.1411
1962-06-01,0.063,0.1838
1962-07-01,-0.0567,0.0856
1962-08-01,0.1449,0.0122
1962-09-01,0.4908,0.1955
1962-10-01,-0.1002,-0.0061
1962-11-01,0.069,0.0732
1962-12-01,-0.0376,0.0305
1963-01-01,0.2444,0.1888
1963-02-01,0.1063,0.1155
1963-03-01,-0.0812,0.0607
1963-04-01,-0.0062,0.1214
1963-05-01,0.1625,0.1818
1963-06-01,0.2184,0.1694
1963-07-01,0.1992,0.0906
1963-08-01,0.1367,0.0905
1963-09-01,-0.0186,0.1809
1963-10-01,0.1924,0.2227
1963-11-01,0.1425,0.0901
1963-12-01,0.1485,0.144
1964-01-01,0.21,0.1378
1964-02-01,0.1418,0.1914
1964-03-01,0.0615,0.0955
1964-04-01,0.0738,0.0895
1964-05-01,0.0123,0.0834
1964-06-01,0.1414,0.0715
1964-07-01,0.1289,0.1012
1964-08-01,0.0736,0.1308
1964-09-01,0.1531,0.0416
1964-10-01,0.0612,0.0415
1964-11-01,0.1406,0.1424
1964-12-01,0.1465,0.1422
1965-01-01,0.1097,0.136
1965-02-01,0.0426,0.1181
1965-03-01,0.1278,0.059
1965-04-01,0.158,0.1179
1965-05-01,0.2245,0.1826
1965-06-01,0.2906,-0.0235
1965-07-01,0.0724,0.1
1965-08-01,0.0241,0.188
1965-09-01,0.0482,0.1173
1965-10-01,0.0301,-0.0351
1965-11-01,0.1687,0.1875
1965-12-01,0.3609,0.3041
1966-01-01,0.1199,0.0291
1966-02-01,0.4131,0.2448
1966-03-01,0.2445,0.1279
1966-04-01,0.345,0.36
1966-05-01,0.1245,0.2661
1966-06-01,0.2486,0.3231
1966-07-01,0.1949,0.2933
1966-08-01,0.3831,0.1835
1966-09-01,0.3171,0.3091
1966-10-01,0.2634,0.3253
1966-11-01,0.1459,0.2503
1966-12-01,0.2098,0.3064
1967-01-01,0.0058,0.0905
1967-02-01,0.1163,0.1808
1967-03-01,0.0523,0.1523
1967-04-01,0.1684,0.276
1967-05-01,0.1913,0.2191
1967-06-01,0.3182,0.2522
1967-07-01,0.3403,0.341
1967-08-01,0.3104,0.3064
1967-09-01,0.3037,0.3555
1967-10-01,0.2799,0.3708
1967-11-01,0.3304,0.3198
1967-12-01,0.159,0.2474
1968-01-01,0.4649,0.4442
1968-02-01,0.4063,0.4313
1968-03-01,0.326,0.3968
1968-04-01,0.3137,0.3682
1968-05-01,0.3686,0.3776
1968-06-01,0.3227,0.3923
1968-07-01,0.305,0.3319
1968-08-01,0.4091,0.3895
1968-09-01,0.3469,0.4039
1968-10-01,0.439,0.4076
1968-11-01,0.3387,0.3796
1968-12-01,0.2069,0.2994
1969-01-01,0.3912,0.377
1969-02-01,0.2544,0.3443
1969-03-01,0.4697,0.4679
1969-04-01,0.4406,0.3829
1969-05-01,0.4012,0.4021
1969-06-01,0.4849,0.344
1969-07-01,0.4401,0.4656
1969-08-01,0.2745,0.2801
1969-09-01,0.4159,0.4012
1969-10-01,0.3408,0.4299
1969-11-01,0.4337,0.3828
1969-12-01,0.4579,0.3713
1970-01-01,0.3574,0.3299
1970-02-01,0.3974,0.3836
1970-03-01,0.2467,0.3722
1970-04-01,0.5076,0.3956
1970-05-01,0.3163,0.3546
1970-06-01,0.2594,0.3583
1970-07-01,0.3652,0.3815
1970-08-01,0.2628,0.3459
1970-09-01,0.4486,0.4175
1970-10-01,0.4968,0.4932
1970-11-01,0.3945,0.5148
1970-12-01,0.4427,0.5026
1971-01-01,0.2129,0.3953
1971-02-01,0.2915,0.3795
1971-03-01,0.3301,0.3214
1971-04-01,0.3929,0.3721
1971-05-01,0.4158,0.4365
1971-06-01,0.4433,0.3972
1971-07-01,0.3007,0.3817
1971-08-01,0.2901,0.1391
1971-09-01,0.1495,0.1667
1971-10-01,0.1541,0.1572
1971-11-01,0.2067,0.2262
1971-12-01,0.3933,0.3131
1972-01-01,0.4109,0.4269
1972-02-01,0.395,0.2697
1972-03-01,0.1422,0.196
1972-04-01,0.1515,0.232
1972-05-01,0.2221,0.2315
1972-06-01,0.1509,0.2038
1972-07-01,0.3578,0.2847
1972-08-01,0.2909,0.2118
1972-09-01,0.4491,0.3328
1972-10-01,0.1118,0.0583
