date,PPI Final Demand - Finished Goods Period %,PPI Final Demand - Less Food & Energy Period %
1947-05-01,0.3846,
1947-06-01,0.3831,
1947-07-01,0.0,
1947-08-01,0.3817,
1947-09-01,1.5209,
1947-10-01,0.3745,
1947-11-01,1.1194,
1947-12-01,2.214,
1948-01-01,1.444,
1948-02-01,-0.7117,
1948-03-01,0.3584,
1948-04-01,0.3571,
1948-05-01,1.0676,
1948-06-01,0.7042,
1948-07-01,0.6993,
1948-08-01,0.3472,
1948-09-01,-0.346,
1948-10-01,-0.3472,
1948-11-01,-0.6969,
1948-12-01,0.0,
1949-01-01,-0.7018,
1949-02-01,-1.0601,
1949-03-01,0.0,
1949-04-01,-0.3571,
1949-05-01,-0.3584,
1949-06-01,-0.3597,
1949-07-01,-0.722,
1949-08-01,-0.3636,
1949-09-01,0.0,
1949-10-01,-0.365,
1949-11-01,-0.3663,
1949-12-01,0.0,
1950-01-01,0.0,
1950-02-01,0.0,
1950-03-01,0.3676,
1950-04-01,0.0,
1950-05-01,0.7326,
1950-06-01,0.3636,
1950-07-01,1.4493,
1950-08-01,2.1429,
1950-09-01,1.049,
1950-10-01,0.346,
1950-11-01,1.3793,
1950-12-01,2.0408,
1951-01-01,1.6667,
1951-02-01,0.9836,
1951-03-01,0.3247,
1951-04-01,0.0,
1951-05-01,0.6472,
1951-06-01,-0.3215,
1951-07-01,-0.6452,
1951-08-01,-0.3247,
1951-09-01,-0.3257,
1951-10-01,0.6536,
1951-11-01,0.3247,
1951-12-01,0.0,
1952-01-01,-0.3236,
1952-02-01,-0.3247,
1952-03-01,0.6515,
1952-04-01,-0.6472,
1952-05-01,0.0,
1952-06-01,0.0,
1952-07-01,0.3257,
1952-08-01,-0.3247,
1952-09-01,-0.3257,
1952-10-01,-0.3268,
1952-11-01,-0.3279,
1952-12-01,-0.6579,
1953-01-01,0.3311,
1953-02-01,-0.33,
1953-03-01,0.3311,
1953-04-01,-0.33,
1953-05-01,0.3311,
1953-06-01,0.33,
1953-07-01,0.3289,
1953-08-01,-0.3279,
1953-09-01,0.0,
