date,Unemployment Rate Period %,U-1 Unemployed 15+ Weeks as % of Labor Force Period %,U-2 Job Losers as % of Labor Force Period %,U-4 + Discouraged Workers Period %,U-5 + Other Marginally Attached Period %,U-6 + Part-Time for Economic Reasons Period %,Unemployed Less Than 5 Weeks (000s) Period %,Unemployed 5-14 Weeks (000s) Period %,Unemployed 15-26 Weeks (000s) Period %,Unemployed 27+ Weeks (000s) Period %,Total Unemployed (000s) Period %,Median Duration of Unemployment (Weeks) Period %,Average Duration of Unemployment (Weeks) Period %
1948-02-01,11.7647,0.0,,,,,15.9091,33.5306,-11.4754,-5.4688,14.4543,,-5.618
1948-03-01,5.2632,0.0,,,,,-7.1169,22.5997,12.3457,-9.0909,3.0498,,3.5714
1948-04-01,-2.5,0.0,,,,,14.2299,-16.3855,18.1319,-0.9091,-0.5419,,-2.2989
1948-05-01,-10.2564,0.0,,,,,-21.5606,-3.3141,2.3256,0.0,-11.2322,,7.0588
1948-06-01,2.8571,0.0,,,,,12.3037,-8.9419,-7.2727,8.2569,4.5326,,-3.2967
1948-07-01,0.0,0.0,,,,,-2.1756,5.2373,-7.8431,-9.322,-0.0452,,-2.2727
1948-08-01,8.3333,0.0,,,,,20.0159,-8.0871,8.5106,19.6262,6.1907,,2.3256
1948-09-01,-2.5641,0.0,,,,,-17.6042,28.4264,-16.1765,-0.7812,-2.0426,,-3.4091
1948-10-01,-2.6316,0.0,,,,,-2.8112,-13.7022,9.9415,7.0866,-1.8679,,11.7647
1948-11-01,2.7027,0.0,,,,,3.3884,4.1221,-0.5319,-30.1471,1.151,,-17.8947
1948-12-01,5.2632,0.0,,,,,14.4684,2.0528,10.1604,4.2105,6.302,,3.8462
1949-01-01,7.5,0.0,,,,,5.4469,2.7299,2.4272,5.0505,6.8753,,1.2346
1949-02-01,9.3023,20.0,,,,,6.1589,24.3357,15.6398,25.0,9.7458,,1.2195
1949-03-01,6.383,16.6667,,,,,1.7467,15.2981,22.1311,-10.7692,6.3531,,0.0
1949-04-01,6.0,14.2857,,,,,1.2876,14.2439,9.0604,36.2069,7.5908,,6.0241
1949-05-01,15.0943,25.0,,,,,14.0436,6.4902,26.1538,21.519,13.7117,,3.4091
1949-06-01,1.6393,20.0,,,,,-8.2272,12.6704,10.9756,30.2083,1.8613,,9.8901
1949-07-01,8.0645,16.6667,,,,,7.1139,0.3559,18.4615,23.6,8.8718,,8.0
1949-08-01,1.4925,7.1429,,,,,1.1879,4.3972,7.2356,9.7087,1.9946,,1.8519
1949-09-01,-2.9412,6.6667,,,,,-11.8997,2.3098,6.9204,4.7198,-3.4343,,6.3636
1949-10-01,19.697,0.0,,,,,41.2477,-8.0345,2.2654,3.662,21.4127,,-6.8376
1949-11-01,-18.9873,6.25,,,,,-25.0858,-10.3249,-0.9494,16.8478,-18.7144,,6.422
1949-12-01,3.125,-5.8824,,,,,0.0572,12.7214,-11.8211,-4.8837,1.6767,,1.7241
1950-01-01,-1.5152,-6.25,,,,,1.8307,-10.2857,-0.5435,-2.6895,-0.9107,,-4.2373
1950-02-01,-1.5385,0.0,,,,,-10.1124,6.1306,-1.4572,2.0101,-2.2355,,4.4248
1950-03-01,-1.5625,0.0,,,,,-6.0625,-0.3001,-9.427,3.9409,-1.5244,,5.0847
1950-04-01,-7.9365,0.0,,,,,-2.0625,-15.2746,-8.1633,11.3744,-7.7657,,1.6129
1950-05-01,-5.1724,-6.6667,,,,,-0.5435,-10.2131,5.5556,-11.7021,-3.9441,,0.7937
1950-06-01,-1.8182,0.0,,,,,0.2732,7.814,-6.3158,1.9277,-1.9511,,3.1496
1950-07-01,-7.4074,-14.2857,,,,,-3.8828,-12.3853,-3.1461,-20.0946,-7.3359,,-4.5802
1950-08-01,-10.0,-16.6667,,,,,-11.3395,-0.2094,-22.2738,-11.8343,-10.2885,,-2.4
1950-09-01,-2.2222,0.0,,,,,1.6787,-6.8206,4.4776,0.0,-0.8932,,0.0
1950-10-01,-4.5455,-10.0,,,,,-0.7862,-15.3153,-24.0,-6.3758,-5.3713,,0.8197
1950-11-01,0.0,-11.1111,,,,,7.29,0.3989,-7.1429,-6.81,-1.3714,,-13.0081
1950-12-01,2.381,0.0,,,,,7.7548,-3.9735,7.2874,-16.5385,1.9312,,0.0
1951-01-01,-13.9535,-12.5,,,,,-23.5778,-5.2414,-2.2642,-17.5115,-12.6563,,-0.9346
1951-02-01,-8.1081,-14.2857,,,,,-0.7175,-11.4993,-27.4131,10.6145,-8.1562,,1.8868
1951-03-01,0.0,0.0,,,,,9.7561,-8.2237,7.4468,-22.7273,0.3779,,-6.4815
1951-04-01,-8.8235,-16.6667,,,,,-4.5267,-9.8566,-23.7624,-8.4967,-9.6941,,4.9505
1951-05-01,-3.2258,-20.0,,,,,-3.0172,-2.5845,-9.7403,-7.1429,-3.283,,-6.6038
1951-06-01,6.6667,0.0,,,,,0.0,33.8776,2.8777,-11.5385,7.4892,,-12.1212
1951-07-01,-3.125,0.0,,,,,5.1556,-26.8293,-6.993,10.4348,-2.2556,,5.7471
1951-08-01,0.0,0.0,,,,,0.0845,8.75,-0.7519,-7.874,-0.8718,,-1.087
1951-09-01,6.4516,0.0,,,,,9.2905,5.1724,-20.4545,0.8547,6.9322,,0.0
1951-10-01,6.0606,0.0,,,,,-1.1592,14.2077,61.9048,-16.1017,6.1442,,-2.1978
1951-11-01,0.0,25.0,,,,,-3.5966,0.4785,-5.2941,56.5657,-0.7293,,8.9888
1951-12-01,-11.4286,-20.0,,,,,-7.7048,-9.6825,3.1056,-33.5484,-10.0092,,-4.1237
1952-01-01,3.2258,25.0,,,,,-6.3269,-3.5149,7.2289,0.9709,0.6122,,0.0
1952-02-01,-3.125,-20.0,,,,,10.788,-1.4572,-10.1124,-15.3846,-0.7606,,-5.3763
1952-03-01,-6.4516,0.0,,,,,-2.6249,-11.8299,-8.125,-1.1364,-7.3582,,-4.5455
1952-04-01,0.0,0.0,,,,,-1.1304,0.6289,-15.6463,35.6322,-0.1103,,7.1429
1952-05-01,3.4483,0.0,,,,,3.6939,6.4583,9.6774,-29.661,2.8713,,-13.3333
1952-06-01,0.0,-25.0,,,,,1.4419,-5.6751,4.4118,-18.0723,1.1272,,-6.4103
1952-07-01,6.6667,0.0,,,,,-0.7525,18.8797,-10.5634,-1.4706,5.6794,,2.7397
1952-08-01,6.25,0.0,,,,,6.9924,1.9197,17.3228,-7.4627,4.8217,,1.3333
1952-09-01,-8.8235,33.3333,,,,,-11.0236,-7.363,24.1611,3.2258,-7.2353,,6.5789
1952-10-01,-3.2258,0.0,,,,,-7.0796,1.2939,-23.2432,37.5,-5.0103,,12.3457
1952-11-01,-6.6667,-25.0,,,,,-3.1429,-10.0365,4.9296,-23.8636,-5.2202,,4.3956
1952-12-01,-3.5714,33.3333,,,,,2.6549,-17.6471,-10.0671,55.2239,-4.3603,,-7.3684
1953-01-01,7.4074,0.0,,,,,1.4368,15.5172,35.0746,-16.3462,10.3179,,5.6818
1953-02-01,-10.3448,-25.0,,,,,0.8499,-12.7932,-29.8343,-6.8966,-11.0386,,-9.6774
1953-03-01,0.0,0.0,,,,,-3.6517,8.802,1.5748,3.7037,0.6724,,1.1905
1953-04-01,3.8462,0.0,,,,,9.9125,9.2135,-14.7287,-16.6667,4.6145,,-8.2353
1953-05-01,-7.4074,0.0,,,,,-13.9699,1.6461,16.3636,-31.4286,-7.3709,,1.2821
1953-06-01,0.0,0.0,,,,,1.2333,-17.8138,-6.25,93.75,0.6892,,3.7975
1953-07-01,4.0,0.0,,,,,1.7259,11.5764,-20.0,-22.5806,3.2981,,-3.6585
1953-08-01,3.8462,0.0,,,,,7.3852,-13.0243,15.625,-8.3333,0.3012,,1.2658
1953-09-01,7.4074,0.0,,,,,8.0855,13.198,-0.9009,3.0303,9.3694,,-11.25
1953-10-01,6.8966,0.0,,,,,6.7928,11.435,12.7273,-2.9412,8.402,,1.4085
1953-11-01,12.9032,33.3333,,,,,5.2335,18.9135,31.4516,45.4545,12.0061,,9.7222
1953-12-01,28.5714,25.0,,,,,34.736,27.242,20.8589,16.6667,27.4536,,1.2658
1954-01-01,8.8889,20.0,,,,,-7.3822,27.9255,14.7208,30.3571,9.1909,,8.75
1954-02-01,6.1224,33.3333,,,,,4.5984,12.2661,68.1416,4.1096,8.2548,,9.1954
1954-03-01,9.6154,50.0,,,,,1.3482,0.2778,40.2632,52.6316,8.2858,,11.5789
1954-04-01,3.5088,0.0,,,,,-0.2313,9.2336,-6.9418,19.8276,3.9368,,2.8302
1954-05-01,0.0,16.6667,,,,,-4.7536,2.9586,13.3065,14.0288,0.4801,,6.422
1954-06-01,-5.0847,0.0,,,,,-4.2605,-6.3218,0.1779,0.0,-5.734,,6.0345
1954-07-01,3.5714,7.1429,,,,,3.1786,-8.589,7.1048,3.7855,3.0414,,1.626
1954-08-01,3.4483,6.6667,,,,,-2.2181,18.2167,-3.4826,27.6596,5.3293,,2.4
1954-09-01,1.6667,0.0,,,,,3.3396,14.5174,0.5155,2.8571,1.8941,,0.7812
1954-10-01,-6.5574,0.0,,,,,-6.4024,-19.5467,-5.1282,5.0926,-6.6463,,3.1008
1954-11-01,-7.0175,-6.25,,,,,-5.0814,-5.8979,-1.6216,-5.5066,-7.2013,,-0.7519
1954-12-01,-5.6604,-13.3333,,,,,-2.9513,-5.145,-20.5128,-8.3916,-6.0553,,1.5152
1955-01-01,-2.0,7.6923,,,,,-1.1315,-13.3136,6.2212,7.1247,-1.2203,,0.0
1955-02-01,-4.0816,-7.1429,,,,,-7.2961,-2.5028,-16.0521,4.2755,-5.955,,5.9701
1955-03-01,-2.1277,0.0,,,,,-8.642,1.867,11.6279,-12.5285,-1.7178,,-5.6338
1955-04-01,2.1739,0.0,,,,,9.8818,-2.8637,-4.8611,4.1667,4.4894,,6.7164
1955-05-01,-8.5106,-15.3846,,,,,-0.4612,-20.0472,-7.5426,-11.5,-9.9049,,0.6993
1955-06-01,-2.3256,-9.0909,,,,,0.7722,15.1917,-12.3684,-5.3672,-1.6746,,-6.9444
1955-07-01,-4.7619,0.0,,,,,-1.7625,-13.0602,3.003,-11.3433,-2.5546,,2.9851
1955-08-01,5.0,-20.0,,,,,12.7145,15.4639,-24.1983,-7.4074,5.7751,,-10.8696
1955-09-01,-2.381,12.5,,,,,-6.09,2.9337,18.4615,-9.0909,-3.8075,,-4.878
1955-10-01,4.878,0.0,,,,,5.3058,4.7088,6.4935,-2.4,5.6759,,-1.7094
1955-11-01,-2.3256,0.0,,,,,-3.0091,-0.4734,-11.8902,12.7049,-1.7668,,-1.7391
1955-12-01,0.0,0.0,,,,,-3.4632,-0.1189,2.0761,4.0,-0.6835,,6.1947
1956-01-01,-4.7619,-11.1111,,,,,-0.1495,-14.881,5.0847,-12.2378,-3.4408,,-2.5
