date,Initial Claims Period pp,Initial Claims - 4 Week Average Period pp,Continuing Claims Period pp,Continuing Claims - 4 Week Average Period pp,Insured Unemployment Rate Period pp
1971-01-09,,,,,0.1
1971-01-16,,,,,-0.1
1971-01-23,,,,,0.0
1971-01-30,,,,,0.0
1971-02-06,,,,,0.1
1971-02-13,,,,,-0.1
1971-02-20,,,,,0.1
1971-02-27,,,,,-0.1
1971-03-06,,,,,0.1
1971-03-13,,,,,0.0
1971-03-20,,,,,0.0
1971-03-27,,,,,0.1
1971-04-03,,,,,-0.1
1971-04-10,,,,,0.1
1971-04-17,,,,,0.0
1971-04-24,,,,,-0.1
1971-05-01,,,,,0.1
1971-05-08,,,,,0.0
1971-05-15,,,,,0.0
1971-05-22,,,,,0.0
1971-05-29,,,,,0.0
1971-06-05,,,,,0.0
1971-06-12,,,,,0.0
1971-06-19,,,,,0.0
1971-06-26,,,,,0.0
1971-07-03,,,,,-0.1
1971-07-10,,,,,0.0
1971-07-17,,,,,0.0
1971-07-24,,,,,0.0
1971-07-31,,,,,0.1
1971-08-07,,,,,0.0
1971-08-14,,,,,0.1
1971-08-21,,,,,-0.1
1971-08-28,,,,,0.0
1971-09-04,,,,,0.1
1971-09-11,,,,,0.1
1971-09-18,,,,,0.0
1971-09-25,,,,,-0.1
1971-10-02,,,,,0.0
1971-10-09,,,,,0.1
1971-10-16,,,,,-0.1
1971-10-23,,,,,-0.1
1971-10-30,,,,,0.1
1971-11-06,,,,,0.0
1971-11-13,,,,,-0.1
1971-11-20,,,,,0.0
1971-11-27,,,,,-0.1
1971-12-04,,,,,0.0
1971-12-11,,,,,0.0
1971-12-18,,,,,0.0
1971-12-25,,,,,-0.1
1972-01-01,,,,,-0.2
1972-01-08,,,,,0.0
1972-01-15,,,,,0.0
1972-01-22,,,,,-0.1
1972-01-29,,,,,0.0
1972-02-05,,,,,0.1
1972-02-12,,,,,0.0
1972-02-19,,,,,-0.1
1972-02-26,,,,,0.0
1972-03-04,,,,,0.0
1972-03-11,,,,,0.0
1972-03-18,,,,,0.0
1972-03-25,,,,,0.0
1972-04-01,,,,,0.0
1972-04-08,,,,,0.0
1972-04-15,,,,,0.0
1972-04-22,,,,,-0.1
1972-04-29,,,,,0.0
1972-05-06,,,,,0.1
1972-05-13,,,,,0.0
1972-05-20,,,,,-0.1
1972-05-27,,,,,0.0
1972-06-03,,,,,0.0
1972-06-10,,,,,0.0
1972-06-17,,,,,0.0
1972-06-24,,,,,0.0
1972-07-01,,,,,0.1
1972-07-08,,,,,0.1
1972-07-15,,,,,0.0
1972-07-22,,,,,0.0
1972-07-29,,,,,-0.1
1972-08-05,,,,,-0.1
1972-08-12,,,,,-0.1
1972-08-19,,,,,0.0
1972-08-26,,,,,0.0
1972-09-02,,,,,0.1
1972-09-09,,,,,-0.1
1972-09-16,,,,,0.0
1972-09-23,,,,,0.0
1972-09-30,,,,,-0.1
1972-10-07,,,,,0.0
1972-10-14,,,,,-0.1
1972-10-21,,,,,0.0
1972-10-28,,,,,0.0
1972-11-04,,,,,0.0
1972-11-11,,,,,0.0
1972-11-18,,,,,0.0
1972-11-25,,,,,0.0
1972-12-02,,,,,-0.1
1972-12-09,,,,,0.0
1972-12-16,,,,,0.1
1972-12-23,,,,,-0.1
1972-12-30,,,,,0.0
1973-01-06,,,,,-0.2
1973-01-13,,,,,0.0
1973-01-20,,,,,0.0
1973-01-27,,,,,-0.1
1973-02-03,,,,,0.0
1973-02-10,,,,,0.0
1973-02-17,,,,,0.0
1973-02-24,,,,,0.0
1973-03-03,,,,,0.0
1973-03-10,,,,,0.0
1973-03-17,,,,,0.0
1973-03-24,,,,,0.0
1973-03-31,,,,,-0.1
1973-04-07,,,,,-0.1
1973-04-14,,,,,0.0
1973-04-21,,,,,0.1
1973-04-28,,,,,-0.1
1973-05-05,,,,,0.1
1973-05-12,,,,,0.0
1973-05-19,,,,,-0.1
1973-05-26,,,,,0.1
1973-06-02,,,,,0.0
1973-06-09,,,,,0.0
1973-06-16,,,,,0.0
1973-06-23,,,,,0.0
1973-06-30,,,,,0.0
1973-07-07,,,,,-0.1
1973-07-14,,,,,0.0
1973-07-21,,,,,0.0
1973-07-28,,,,,0.0
1973-08-04,,,,,0.1
1973-08-11,,,,,0.1
1973-08-18,,,,,-0.1
1973-08-25,,,,,0.1
1973-09-01,,,,,0.0
1973-09-08,,,,,0.0
1973-09-15,,,,,-0.1
1973-09-22,,,,,0.0
1973-09-29,,,,,0.0
1973-10-06,,,,,0.0
1973-10-13,,,,,0.0
1973-10-20,,,,,0.0
1973-10-27,,,,,0.0
1973-11-03,,,,,0.0
1973-11-10,,,,,0.1
