date,Median Existing-Home Price / Median Household Income YoY Chg
1984-12-01,2.0
1985-01-01,-0.92
1985-02-01,-1.63
1985-03-01,-1.37
1985-04-01,-1.52
1985-05-01,-1.82
1985-06-01,-1.07
1985-07-01,-1.9
1985-08-01,-0.31
1985-09-01,0.19
1985-10-01,-0.72
1985-11-01,-1.12
1985-12-01,-0.62
1986-01-01,-0.9
1986-02-01,-0.8
1986-03-01,1.49
1986-04-01,1.71
1986-05-01,4.93
1986-06-01,2.41
1986-07-01,-1.17
1986-08-01,0.76
1986-09-01,0.37
1986-10-01,0.16
1986-11-01,1.83
1986-12-01,1.53
1987-01-01,2.75
1987-02-01,5.69
1987-03-01,2.0
1987-04-01,2.45
1987-05-01,-1.23
1987-06-01,-0.63
1987-07-01,5.58
1987-08-01,0.79
1987-09-01,1.74
1987-10-01,1.79
1987-11-01,1.02
1987-12-01,0.99
1988-01-01,1.7
1988-02-01,-0.61
1988-03-01,-0.12
1988-04-01,-2.06
1988-05-01,-0.3
1988-06-01,0.52
1988-07-01,-1.68
1988-08-01,1.24
1988-09-01,-0.94
1988-10-01,0.59
1988-11-01,-0.37
1988-12-01,-0.61
1989-01-01,-7.82
1989-02-01,-6.77
1989-03-01,-6.55
1989-04-01,-4.86
1989-05-01,-6.75
1989-06-01,-6.46
1989-07-01,-5.7
1989-08-01,-5.09
1989-09-01,-4.0
1989-10-01,-5.51
1989-11-01,-3.14
1989-12-01,-4.42
1990-01-01,1.91
1990-02-01,-0.03
1990-03-01,1.61
1990-04-01,0.49
1990-05-01,-0.29
1990-06-01,3.13
1990-07-01,1.02
1990-08-01,-3.1
1990-09-01,-1.73
1990-10-01,-2.88
1990-11-01,-5.46
1990-12-01,-4.5
1991-01-01,1.45
1991-02-01,0.46
1991-03-01,2.35
1991-04-01,4.4
1991-05-01,5.88
1991-06-01,2.6
1991-07-01,5.33
1991-08-01,6.54
1991-09-01,5.12
1991-10-01,7.01
1991-11-01,6.62
1991-12-01,8.75
1992-01-01,3.96
1992-02-01,5.5
1992-03-01,2.74
1992-04-01,0.46
1992-05-01,-0.03
1992-06-01,0.82
1992-07-01,-2.93
1992-08-01,-0.27
1992-09-01,0.87
1992-10-01,1.81
1992-11-01,2.05
1992-12-01,0.65
1993-01-01,-1.93
1993-02-01,-3.04
1993-03-01,-1.9
1993-04-01,-0.25
1993-05-01,0.74
1993-06-01,2.63
1993-07-01,3.61
1993-08-01,2.77
1993-09-01,2.58
1993-10-01,1.69
1993-11-01,2.81
1993-12-01,2.89
1994-01-01,3.47
1994-02-01,2.49
1994-03-01,1.19
1994-04-01,1.36
1994-05-01,1.59
1994-06-01,0.94
1994-07-01,1.07
1994-08-01,1.51
1994-09-01,-0.72
1994-10-01,-0.72
1994-11-01,-0.93
1994-12-01,-0.75
