date,Altos Total Inventory (SFR + Condo) YoY Chg
2016-01-01,2.94
2016-01-08,2.55
2016-01-15,2.74
2016-01-22,1.14
2016-01-29,0.25
2016-02-05,1.34
2016-02-12,0.54
2016-02-19,-1.87
2016-02-26,-1.59
2016-03-04,-2.65
2016-03-11,-2.53
2016-03-18,-3.24
2016-03-25,-3.2
2016-04-01,-6.16
2016-04-08,-6.39
2016-04-15,-6.96
2016-04-22,-6.05
2016-04-29,-6.1
2016-05-06,-7.24
2016-05-13,-8.22
2016-05-20,-8.51
2016-05-27,-7.9
2016-06-03,-8.02
2016-06-10,-9.77
2016-06-17,-8.95
2016-06-24,-9.3
2016-07-01,-8.93
2016-07-08,-9.41
2016-07-15,-9.77
2016-07-22,-9.54
2016-07-29,-9.73
2016-08-05,-10.0
2016-08-12,-10.14
2016-08-19,-11.49
2016-08-26,-12.18
2016-09-02,-11.64
2016-09-09,-12.04
2016-09-16,-12.09
2016-09-23,-11.62
2016-09-30,-11.57
2016-10-07,-11.71
2016-10-14,-12.48
2016-10-21,-12.32
2016-10-28,-12.48
2016-11-04,-10.99
2016-11-11,-12.2
2016-11-18,-12.29
2016-11-25,-12.4
2016-12-02,-12.14
2016-12-09,-11.76
2016-12-16,-12.18
2016-12-23,-12.12
2016-12-30,-12.73
2017-01-06,-13.36
2017-01-13,-14.0
2017-01-20,-12.66
2017-01-27,-12.44
2017-02-03,-13.4
2017-02-10,-13.58
2017-02-17,-11.85
2017-02-24,-11.8
2017-03-03,-10.94
2017-03-10,-11.16
2017-03-17,-10.33
2017-03-24,-9.45
2017-03-31,-7.48
2017-04-07,-7.75
2017-04-14,-7.93
2017-04-21,-9.72
2017-04-28,-9.23
2017-05-05,-8.73
2017-05-12,-9.25
2017-05-19,-8.32
2017-05-26,-8.32
2017-06-02,-8.14
2017-06-09,-8.0
2017-06-16,-8.67
2017-06-23,-8.99
2017-06-30,-8.51
2017-07-07,-8.39
2017-07-14,-8.1
2017-07-21,-7.84
2017-07-28,-7.59
2017-08-04,-6.32
2017-08-11,-7.77
2017-08-18,-6.81
2017-08-25,-6.11
2017-09-01,-6.45
2017-09-08,-6.39
2017-09-15,-6.77
2017-09-22,-7.08
2017-09-29,-6.46
2017-10-06,-5.97
2017-10-13,-4.94
2017-10-20,-5.89
2017-10-27,-5.48
2017-11-03,-5.59
2017-11-10,-5.42
2017-11-17,-5.09
2017-11-24,-5.26
2017-12-01,-5.64
2017-12-08,-5.97
2017-12-15,-5.52
2017-12-22,-5.77
2017-12-29,-6.17
2018-01-05,-6.38
2018-01-12,-6.48
2018-01-19,-6.21
2018-01-26,-5.69
2018-02-02,-7.24
2018-02-09,-7.4
2018-02-16,-6.77
2018-02-23,-6.62
2018-03-02,-7.01
2018-03-09,-7.47
2018-03-16,-7.26
2018-03-23,-7.02
2018-03-30,-7.88
2018-04-06,-8.89
2018-04-13,-8.87
2018-04-20,-8.04
2018-04-27,-8.83
2018-05-04,-8.58
2018-05-11,-7.91
2018-05-18,-8.41
2018-05-25,-7.97
2018-06-01,-7.23
2018-06-08,-7.15
2018-06-15,-6.73
2018-06-22,-5.89
2018-06-29,-5.97
2018-07-06,-5.99
2018-07-13,-6.42
2018-07-20,-6.14
2018-07-27,-5.82
2018-08-03,-5.66
2018-08-10,-5.39
2018-08-17,-4.7
2018-08-24,-5.12
2018-08-31,-4.56
2018-09-07,-4.26
2018-09-14,-3.04
2018-09-21,-2.53
2018-09-28,-1.97
2018-10-05,-1.5
2018-10-12,-2.11
2018-10-19,-0.41
2018-10-26,-0.63
2018-11-02,-0.23
2018-11-09,-0.01
2018-11-16,0.72
2018-11-23,1.36
2018-11-30,1.95
2018-12-07,2.58
2018-12-14,2.64
2018-12-21,3.9
2018-12-28,4.37
2019-01-04,5.93
2019-01-11,5.59
2019-01-18,6.35
2019-01-25,6.04
2019-02-01,6.46
2019-02-08,6.32
2019-02-15,6.24
2019-02-22,5.55
2019-03-01,5.43
2019-03-08,5.03
2019-03-15,4.43
2019-03-22,3.83
2019-03-29,3.54
2019-04-05,4.95
2019-04-12,5.29
2019-04-19,5.3
2019-04-26,5.15
2019-05-03,6.51
2019-05-10,6.12
2019-05-17,6.0
2019-05-24,6.81
2019-05-31,6.77
2019-06-07,4.71
2019-06-14,4.47
2019-06-21,5.0
2019-06-28,5.09
2019-07-05,3.31
2019-07-12,2.96
2019-07-19,2.66
2019-07-26,1.92
2019-08-02,1.8
2019-08-09,1.79
2019-08-16,0.75
2019-08-23,0.6
2019-08-30,1.36
2019-09-06,0.79
2019-09-13,0.26
2019-09-20,-0.17
2019-09-27,-0.59
2019-10-04,-0.61
2019-10-11,-1.54
2019-10-18,-2.93
2019-10-25,-3.47
2019-11-01,-3.96
2019-11-08,-4.67
2019-11-15,-5.25
2019-11-22,-5.61
2019-11-29,-6.07
2019-12-06,-6.7
2019-12-13,-6.8
2019-12-20,-7.57
2019-12-27,-7.86
2020-01-03,-6.88
2020-01-10,-9.63
2020-01-17,-10.52
2020-01-24,-11.18
2020-01-31,-10.5
2020-02-07,-11.76
2020-02-14,-11.83
2020-02-21,-12.19
2020-02-28,-11.63
2020-03-06,-11.99
2020-03-13,-11.26
2020-03-20,-10.9
2020-03-27,-10.22
2020-04-03,-9.99
2020-04-10,-11.66
2020-04-17,-12.92
2020-04-24,-13.58
2020-05-01,-16.1
2020-05-08,-17.65
2020-05-15,-18.92
2020-05-22,-21.09
2020-05-29,-22.31
2020-06-05,-22.9
2020-06-12,-24.45
2020-06-19,-26.26
2020-06-26,-28.3
2020-07-03,-27.64
2020-07-10,-29.11
2020-07-17,-30.42
2020-07-24,-31.02
2020-07-31,-32.14
2020-08-07,-32.65
2020-08-14,-33.33
2020-08-21,-33.75
2020-08-28,-34.38
2020-09-04,-34.29
2020-09-11,-35.43
2020-09-18,-35.85
2020-09-25,-36.32
2020-10-02,-36.39
2020-10-09,-36.87
2020-10-16,-36.08
2020-10-23,-36.08
2020-10-30,-36.15
2020-11-06,-36.24
2020-11-13,-36.23
2020-11-20,-36.03
