date,Altos New Listings (SFR + Condo) YoY Chg,Altos New Listings 4-Week Avg (SFR + Condo) YoY Chg,Altos New Listings 13-Week Avg (SFR + Condo) YoY Chg
2016-01-01,20.05,,9.55
2016-01-08,-6.74,,8.78
2016-01-15,9.35,,8.28
2016-01-22,28.57,13.27,12.14
2016-01-29,-6.31,7.0,10.41
2016-02-05,-5.1,5.44,6.66
2016-02-12,-14.82,-0.62,4.38
2016-02-19,-0.2,-6.59,3.39
2016-02-26,2.28,-4.28,3.98
2016-03-04,-8.31,-5.15,2.78
2016-03-11,19.33,2.77,2.52
2016-03-18,7.12,4.58,2.58
2016-03-25,-29.42,-5.85,0.2
2016-04-01,-9.17,-6.06,-1.15
2016-04-08,-1.45,-9.73,-1.01
2016-04-15,-9.52,-13.39,-2.48
2016-04-22,6.37,-3.44,-3.54
2016-04-29,-7.25,-3.07,-3.79
2016-05-06,-6.99,-4.47,-4.21
2016-05-13,-14.76,-5.87,-4.59
2016-05-20,0.06,-7.38,-4.59
2016-05-27,17.06,-2.21,-3.72
2016-06-03,-18.34,-5.1,-4.7
2016-06-10,-13.47,-4.98,-6.96
2016-06-17,19.79,-0.27,-6.07
2016-06-24,-9.89,-6.03,-4.17
2016-07-01,-2.06,-1.99,-3.67
2016-07-08,-0.94,1.97,-3.65
2016-07-15,5.8,-1.7,-2.44
2016-07-22,5.05,2.03,-2.62
2016-07-29,-8.39,0.27,-2.71
2016-08-05,11.49,2.97,-1.48
2016-08-12,-3.76,0.36,-0.49
2016-08-19,-12.93,-3.97,-1.42
2016-08-26,-4.36,-2.8,-2.91
2016-09-02,-7.1,-6.96,-1.88
2016-09-09,-5.46,-7.56,-0.93
2016-09-16,-7.08,-6.03,-3.15
2016-09-23,-4.52,-6.08,-2.69
2016-09-30,10.29,-1.82,-1.83
2016-10-07,2.45,0.05,-1.6
2016-10-14,-25.51,-4.61,-4.07
2016-10-21,10.42,-1.07,-3.8
2016-10-28,-8.38,-5.73,-3.69
2016-11-04,9.93,-4.21,-3.9
2016-11-11,-16.32,-1.24,-4.82
2016-11-18,-6.01,-5.44,-4.2
2016-11-25,7.1,-2.08,-3.56
2016-12-02,-16.04,-8.26,-3.9
2016-12-09,-2.8,-4.18,-3.69
2016-12-16,-19.9,-7.46,-4.36
2016-12-23,0.14,-9.5,-4.11
2016-12-30,2.69,-6.08,-5.26
2017-01-06,-16.93,-10.03,-6.63
2017-01-13,-25.75,-12.77,-6.26
2017-01-20,-20.78,-18.43,-9.39
2017-01-27,-4.49,-17.39,-9.08
2017-02-03,-20.93,-18.45,-12.01
2017-02-10,23.45,-7.48,-8.61
2017-02-17,1.57,-1.29,-7.85
2017-02-24,-18.78,-5.63,-10.04
2017-03-03,-14.62,-3.92,-10.13
2017-03-10,0.95,-7.92,-9.56
2017-03-17,-9.54,-10.35,-8.93
2017-03-24,3.86,-4.81,-8.21
2017-03-31,21.77,3.55,-6.08
2017-04-07,0.55,3.41,-5.05
2017-04-14,-10.87,3.1,-4.3
