date,Altos New Pending Sales (SFR + Condo) YoY Chg,Altos New Pending Sales 4-Week Avg (SFR + Condo) YoY Chg,Altos New Pending Sales 13-Week Avg (SFR + Condo) YoY Chg,Altos Pending Days on Market (SFR + Condo) YoY Chg
2016-01-01,49.57,,50.38,-12.35
2016-01-08,26.11,,48.38,-12.22
2016-01-15,42.48,,47.51,-10.14
2016-01-22,92.49,56.2,56.73,-9.3
2016-01-29,7.15,41.05,38.29,-10.56
2016-02-05,33.05,40.78,33.68,-9.61
2016-02-12,53.09,43.57,34.9,-8.57
2016-02-19,58.52,37.52,38.95,-5.67
2016-02-26,64.42,51.8,43.16,-4.6
2016-03-04,50.1,56.33,43.12,-0.63
2016-03-11,64.01,58.96,45.57,-0.73
2016-03-18,27.3,48.9,45.1,-4.68
2016-03-25,45.03,44.74,46.28,-0.95
2016-04-01,56.67,46.23,47.08,-0.58
2016-04-08,37.49,41.1,46.97,1.85
2016-04-15,80.16,54.09,50.08,1.18
2016-04-22,103.51,70.12,52.66,2.9
2016-04-29,50.18,67.57,55.18,4.48
2016-05-06,58.9,72.3,56.97,3.16
2016-05-13,30.57,59.45,54.76,0.96
2016-05-20,59.62,49.31,54.94,1.37
2016-05-27,80.05,56.14,56.25,1.27
2016-06-03,49.61,53.8,56.12,0.74
2016-06-10,56.48,60.93,55.72,3.55
2016-06-17,65.03,62.28,58.75,1.19
2016-06-24,36.35,51.84,58.19,-2.05
2016-07-01,54.44,52.98,58.01,-2.84
2016-07-08,55.15,52.55,59.22,-3.68
2016-07-15,102.82,60.69,60.71,0.29
2016-07-22,109.26,79.19,60.9,1.47
2016-07-29,51.69,77.66,61.0,1.87
2016-08-05,80.4,84.25,62.49,1.52
2016-08-12,59.22,73.46,64.97,-1.04
2016-08-19,23.54,52.25,61.9,-1.28
2016-08-26,72.28,57.17,61.35,0.5
2016-09-02,54.22,51.43,61.65,0.02
2016-09-09,30.83,44.34,59.6,0.29
2016-09-16,31.76,46.61,56.93,2.74
2016-09-23,52.53,42.19,58.3,3.23
2016-09-30,47.82,40.65,57.64,0.23
2016-10-07,89.51,54.99,60.3,4.36
2016-10-14,27.25,54.32,55.0,3.59
2016-10-21,82.5,60.88,53.17,4.0
2016-10-28,-24.94,30.68,42.95,-5.17
2016-11-04,58.96,23.95,41.75,-4.49
2016-11-11,31.83,24.93,39.8,-4.23
2016-11-18,55.05,19.33,41.99,3.26
2016-11-25,52.47,49.16,40.54,3.59
2016-12-02,26.8,41.14,38.61,3.94
2016-12-09,77.25,52.37,41.35,12.22
2016-12-16,60.47,53.31,43.08,12.87
2016-12-23,89.66,61.6,44.63,18.99
2016-12-30,66.21,73.77,45.26,15.23
2017-01-06,69.74,71.78,42.19,15.39
2017-01-13,29.55,62.23,42.76,11.47
2017-01-20,10.11,35.89,36.37,10.97
2017-01-27,69.29,38.92,50.45,11.27
2017-02-03,33.51,33.24,47.82,10.91
2017-02-10,45.18,37.08,49.18,9.88
2017-02-17,43.18,46.16,48.07,6.93
2017-02-24,16.18,33.88,44.11,6.5
2017-03-03,26.39,31.91,43.36,5.36
2017-03-10,43.87,32.0,41.27,5.61
2017-03-17,21.62,26.79,38.1,6.15
2017-03-24,-1.27,20.13,30.54,0.3
2017-03-31,38.83,23.19,30.01,0.92
2017-04-07,40.94,22.88,29.7,0.48
2017-04-14,-4.44,15.61,26.12,1.12
2017-04-21,-14.23,10.96,22.4,-0.46
2017-04-28,16.46,6.61,19.89,-1.04
2017-05-05,35.53,7.14,20.53,-1.67
2017-05-12,33.97,15.89,20.22,-1.47
2017-05-19,24.69,27.56,19.32,-0.68
2017-05-26,-12.77,19.71,16.79,-0.71
2017-06-02,39.51,20.38,17.92,-0.13
2017-06-09,1.3,12.18,15.01,-2.14
2017-06-16,8.55,8.33,14.05,-1.09
2017-06-23,41.91,21.42,17.34,2.06
2017-06-30,30.36,19.27,16.91,4.01
2017-07-07,21.61,24.92,15.81,4.58
2017-07-14,-18.91,16.77,14.43,0.08
2017-07-21,-17.13,1.89,14.27,-1.68
2017-07-28,-3.72,-5.69,12.69,-1.64
2017-08-04,0.99,-10.23,10.04,-0.25
2017-08-11,1.88,-5.0,7.79,-0.4
2017-08-18,14.63,2.92,6.99,-0.35
2017-08-25,1.86,4.43,8.16,-0.97
2017-09-01,3.04,4.93,5.52,-0.55
2017-09-08,8.64,6.59,6.08,-0.89
2017-09-15,-18.51,-0.93,4.21,-4.5
2017-09-22,-0.34,-1.54,1.21,-4.52
