date,Total Building Permits YoY Chg,Single-Family Permits YoY Chg,2-4 Unit Permits YoY Chg,5+ Unit Permits YoY Chg,Permits - Northeast YoY Chg,Permits - Midwest YoY Chg,Permits - South YoY Chg,Permits - West YoY Chg
1961-01-01,-11.26,-16.9,-11.94,15.64,-30.08,-6.72,-16.92,9.16
1961-02-01,-11.67,-22.47,-11.27,51.01,-24.14,-1.95,-15.41,-6.44
1961-03-01,4.71,-4.12,-1.67,45.78,21.08,21.16,3.3,-11.93
1961-04-01,-1.38,-11.7,21.05,35.91,8.47,-12.7,2.1,-1.68
1961-05-01,-2.38,-6.86,4.76,10.39,-2.23,-7.5,-3.97,3.5
1961-06-01,11.69,-4.41,1.47,102.13,25.57,3.29,7.02,14.08
1961-07-01,8.41,1.23,-16.88,46.32,8.22,1.79,14.93,7.64
1961-08-01,16.6,2.05,9.23,73.1,44.71,-2.17,18.15,9.79
1961-09-01,11.59,4.83,14.29,32.72,10.24,6.82,19.32,9.15
1961-10-01,15.53,7.74,31.03,38.42,19.9,-1.72,23.57,19.22
1961-11-01,17.67,8.63,4.23,54.23,22.93,3.59,14.6,28.16
1961-12-01,22.08,12.5,10.77,59.09,62.72,-4.62,14.64,28.03
1962-01-01,15.79,1.99,38.98,56.04,56.4,-15.68,17.45,15.73
1962-02-01,24.25,10.1,28.57,65.33,56.25,0.8,31.4,18.48
1962-03-01,13.4,1.0,40.68,42.56,20.9,-2.62,17.02,17.36
1962-04-01,23.25,8.59,20.29,65.04,41.46,10.8,11.99,30.82
1962-05-01,11.2,0.57,45.45,31.76,0.46,7.21,17.59,15.88
1962-06-01,7.85,-1.68,14.49,30.18,5.43,9.55,7.87,8.33
1962-07-01,9.79,-3.24,43.75,36.69,-4.64,10.09,12.34,18.06
1962-08-01,3.54,-2.95,18.31,14.66,-24.25,3.56,12.54,21.02
1962-09-01,11.38,-2.71,22.22,44.79,-1.77,9.79,12.7,20.5
1962-10-01,5.16,-9.92,13.16,44.13,2.55,2.63,6.77,7.16
1962-11-01,7.29,-8.85,28.38,42.26,-3.97,0.87,15.92,11.83
1962-12-01,6.46,-9.3,47.22,35.87,-16.0,9.69,7.79,21.3
1963-01-01,11.23,-3.07,26.83,39.01,-8.92,1.01,14.55,30.51
1963-02-01,1.51,-5.67,27.16,10.22,-15.27,-23.72,10.62,25.69
1963-03-01,10.93,4.53,39.76,17.1,-5.35,12.56,9.39,23.08
1963-04-01,4.29,4.16,25.3,0.25,-20.69,20.76,16.82,2.36
1963-05-01,18.21,4.23,21.88,46.73,12.27,13.45,19.06,24.49
1963-06-01,16.55,9.52,81.01,16.17,-8.58,18.26,21.28,27.64
1963-07-01,11.1,4.88,36.96,16.58,0.0,6.77,18.21,14.21
1963-08-01,9.17,4.28,27.38,14.32,-1.75,18.88,9.19,9.74
1963-09-01,15.54,9.19,50.0,19.18,20.72,6.2,20.56,14.18
1963-10-01,19.73,11.74,53.49,26.17,8.3,20.09,22.48,24.51
1963-11-01,9.79,5.0,32.63,12.47,-2.89,28.33,15.93,1.01
1963-12-01,15.13,1.71,8.49,38.79,5.19,10.04,37.57,4.88
1964-01-01,3.85,1.87,9.62,5.57,-19.18,48.26,8.38,-7.64
1964-02-01,18.98,17.31,27.18,19.76,15.45,77.72,8.0,3.41
1964-03-01,4.37,-0.14,-14.66,18.07,13.91,18.33,10.25,-14.42
1964-04-01,-1.86,-11.45,-4.81,17.2,0.87,-7.37,4.19,-5.37
1964-05-01,-3.78,-1.76,-11.11,-5.07,-1.21,3.33,-1.72,-11.71
1964-06-01,-4.83,-7.91,-27.97,8.35,23.94,-5.61,-2.01,-20.54
1964-07-01,-1.29,-5.72,-17.46,10.84,7.96,2.99,1.22,-11.48
1964-08-01,-0.31,-5.56,-12.15,11.41,11.61,6.5,10.71,-21.58
1964-09-01,-10.47,-9.06,-30.3,-7.44,-10.07,9.12,-6.31,-26.86
1964-10-01,-13.01,-8.56,-25.76,-16.44,-14.56,7.12,-7.76,-29.75
1964-11-01,-7.59,-0.54,-26.19,-13.31,3.4,-1.34,-2.61,-23.94
1964-12-01,-18.2,-2.1,-34.78,-34.34,2.06,-8.03,-22.9,-30.93
1965-01-01,-2.47,2.82,-17.54,-6.75,11.62,13.42,4.74,-28.57
1965-02-01,-17.82,-16.22,-39.69,-14.66,-18.59,-21.28,-0.25,-31.29
1965-03-01,-7.77,-8.55,-17.17,-4.61,-4.2,-14.81,-1.76,-11.24
1965-04-01,-8.07,-0.58,-12.12,-18.03,-3.88,13.64,-5.53,-28.92
1965-05-01,-7.08,-2.75,-21.15,-10.68,3.28,10.75,-4.51,-29.71
1965-06-01,-3.05,-1.97,-16.5,-1.71,-2.27,14.5,7.16,-28.09
1965-07-01,-5.14,0.0,-14.42,-10.59,-1.64,25.0,-2.9,-32.43
1965-08-01,-4.36,1.4,-8.51,-11.85,4.4,8.47,-8.53,-17.13
1965-09-01,-3.0,-1.68,-5.43,-4.57,9.54,2.34,0.5,-21.6
1965-10-01,3.98,6.24,-21.43,6.09,22.42,1.33,14.29,-19.43
1965-11-01,4.15,0.82,-15.05,13.95,14.81,4.41,3.16,-3.28
1965-12-01,12.97,6.01,13.33,25.38,10.08,50.79,20.16,-25.59
1966-01-01,4.83,1.51,-5.32,12.44,37.56,0.0,2.38,-11.23
1966-02-01,-2.19,-8.15,-10.13,9.07,6.85,17.41,-5.45,-22.6
1966-03-01,1.9,5.49,2.44,-3.52,8.76,35.97,1.02,-29.75
