date,All Employees - Construction YoY Chg,All Employees - Residential Building YoY Chg,All Employees - Nonresidential Building YoY Chg
1940-01-01,-1.58,,
1940-02-01,1.38,,
1940-03-01,-0.9,,
1940-04-01,2.16,,
1940-05-01,2.85,,
1940-06-01,2.06,,
1940-07-01,4.18,,
1940-08-01,4.05,,
1940-09-01,14.63,,
1940-10-01,26.98,,
1940-11-01,38.82,,
1940-12-01,55.6,,
1941-01-01,63.51,,
1941-02-01,54.5,,
1941-03-01,43.25,,
1941-04-01,38.87,,
1941-05-01,37.44,,
1941-06-01,38.84,,
1941-07-01,47.88,,
1941-08-01,49.14,,
1941-09-01,40.61,,
1941-10-01,28.49,,
1941-11-01,17.7,,
1941-12-01,7.09,,
1942-01-01,4.42,,
1942-02-01,4.4,,
1942-03-01,17.42,,
1942-04-01,22.46,,
1942-05-01,27.3,,
1942-06-01,32.89,,
1942-07-01,32.59,,
1942-08-01,29.2,,
1942-09-01,25.48,,
1942-10-01,21.55,,
1942-11-01,18.02,,
1942-12-01,12.24,,
1943-01-01,7.84,,
1943-02-01,6.42,,
1943-03-01,-4.31,,
1943-04-01,-14.56,,
1943-05-01,-23.51,,
1943-06-01,-31.13,,
1943-07-01,-39.21,,
1943-08-01,-42.17,,
1943-09-01,-44.23,,
1943-10-01,-43.28,,
1943-11-01,-41.59,,
1943-12-01,-38.39,,
1944-01-01,-35.9,,
1944-02-01,-35.71,,
1944-03-01,-36.69,,
1944-04-01,-36.79,,
1944-05-01,-33.85,,
1944-06-01,-31.48,,
1944-07-01,-27.24,,
1944-08-01,-24.56,,
1944-09-01,-23.66,,
1944-10-01,-18.67,,
1944-11-01,-17.05,,
1944-12-01,-15.43,,
1945-01-01,-13.61,,
1945-02-01,-8.38,,
1945-03-01,-4.69,,
1945-04-01,-2.05,,
1945-05-01,-0.96,,
1945-06-01,0.89,,
1945-07-01,3.72,,
1945-08-01,7.22,,
1945-09-01,10.33,,
1945-10-01,13.46,,
1945-11-01,17.9,,
1945-12-01,20.04,,
1946-01-01,24.32,,
1946-02-01,26.03,,
1946-03-01,34.1,,
1946-04-01,42.77,,
1946-05-01,47.54,,
1946-06-01,49.78,,
1946-07-01,53.93,,
1946-08-01,56.0,,
1946-09-01,60.63,,
1946-10-01,52.32,,
1946-11-01,47.25,,
1946-12-01,44.54,,
1947-01-01,35.61,,
1947-02-01,30.58,,
1947-03-01,24.73,,
1947-04-01,21.54,,
1947-05-01,20.01,,
1947-06-01,22.33,,
1947-07-01,17.94,,
1947-08-01,15.87,,
1947-09-01,14.05,,
1947-10-01,12.48,,
1947-11-01,10.52,,
1947-12-01,10.31,,
1948-01-01,13.08,,
1948-02-01,7.4,,
