date,Consumer Confidence Index (Conference Board) YoY Chg,Consumer Confidence - Present Situation YoY Chg,Consumer Confidence - Expectations YoY Chg
1968-02-01,,2.05,3.17
1968-04-01,,2.39,-7.39
1968-06-01,,2.69,-7.19
1968-08-01,,3.15,-1.28
1968-10-01,,6.33,5.24
1968-12-01,,5.9,-2.79
1969-02-01,,4.9,-3.72
1969-04-01,,1.74,-1.72
1969-06-01,,2.68,8.3
1969-08-01,,-2.4,3.06
1969-10-01,,-7.21,-14.36
1969-12-01,,-6.73,-10.44
1970-02-01,,-27.44,-25.44
1970-04-01,,-37.01,-19.56
1970-06-01,,-49.53,-23.34
1970-08-01,,-53.38,-9.01
1970-10-01,,-61.9,-5.52
1970-12-01,-33.97,-70.71,-7.87
1971-01-01,-39.92,,
1971-02-01,-39.92,-62.59,11.37
1971-03-01,-23.89,,
1971-04-01,-23.89,-62.39,6.95
1971-05-01,-23.27,,
1971-06-01,-23.27,-42.54,16.22
1971-07-01,-6.58,,
1971-08-01,-6.58,-33.99,2.38
1971-09-01,-9.78,,
1971-10-01,-9.78,-20.06,3.49
1971-11-01,-3.49,,
1971-12-01,-3.49,10.4,12.97
1972-01-01,12.29,,
1972-02-01,12.29,49.01,12.23
1972-03-01,20.93,,
1972-04-01,20.93,85.07,10.46
1972-05-01,26.46,,
1972-06-01,26.46,75.87,2.77
1972-07-01,20.17,,
1972-08-01,20.17,88.02,7.06
1972-09-01,26.8,,
1972-10-01,26.8,122.67,12.29
1972-11-01,39.48,,
1972-12-01,39.48,126.73,7.28
1973-01-01,36.59,,
1973-02-01,36.59,86.22,-9.19
1973-03-01,18.38,,
1973-04-01,18.38,55.24,-13.24
1973-05-01,8.1,,
1973-06-01,8.1,42.56,-14.23
1973-07-01,5.56,,
1973-08-01,5.56,27.39,-30.98
1973-09-01,-9.89,,
1973-10-01,-9.89,13.91,-15.62
1973-11-01,-4.02,,
1973-12-01,-4.02,-7.72,-60.66
1974-01-01,-39.19,,
1974-02-01,-39.19,-39.62,-46.53
1974-03-01,-43.41,,
1974-04-01,-43.41,-12.47,-3.39
1974-05-01,-7.49,,
