date,Corporate Profits with IVA & CCAdj (Pre-Tax) YoY Chg,Corporate Profits After Tax with IVA & CCAdj YoY Chg,Nonfinancial Corporate Profits After Tax YoY Chg
1947-10-01,21.78,45.15,0.43
1948-01-01,39.73,80.45,5.27
1948-04-01,29.71,40.48,17.48
1948-07-01,26.75,35.29,16.05
1948-10-01,25.02,43.29,1.9
1949-01-01,3.42,12.23,-13.0
1949-04-01,-9.74,0.18,-28.36
1949-07-01,-4.0,6.53,-23.27
1949-10-01,-18.44,-18.45,-20.69
1950-01-01,-3.06,-17.61,-7.57
1950-04-01,18.23,-7.12,32.03
1950-07-01,28.47,-6.35,55.17
1950-10-01,57.09,19.63,74.53
1951-01-01,35.47,-11.72,36.0
1951-04-01,19.71,4.4,-9.42
1951-07-01,6.96,13.42,-34.35
1951-10-01,1.3,4.48,-35.98
1952-01-01,-1.69,39.75,-22.71
1952-04-01,-6.01,6.43,-10.71
1952-07-01,-7.41,-6.9,1.04
1952-10-01,0.1,5.2,5.13
1953-01-01,8.28,7.6,12.34
1953-04-01,11.49,6.96,18.44
1953-07-01,8.5,3.39,15.17
1953-10-01,-19.83,-19.97,-23.42
1954-01-01,-15.76,-7.45,-14.07
1954-04-01,-10.97,0.48,-11.1
1954-07-01,-3.43,8.81,-2.59
1954-10-01,28.14,38.18,39.41
1955-01-01,33.68,35.57,35.12
1955-04-01,32.39,35.28,33.31
1955-07-01,25.77,27.23,27.66
1955-10-01,18.34,17.35,24.83
1956-01-01,1.26,0.23,5.94
1956-04-01,-0.93,-4.11,6.74
1956-07-01,-1.73,1.03,-2.38
1956-10-01,-2.65,-1.62,-0.31
1957-01-01,4.53,5.69,4.26
1957-04-01,1.3,5.04,-4.59
1957-07-01,0.06,-0.37,-1.27
1957-10-01,-9.84,-7.2,-15.88
1958-01-01,-23.6,-21.07,-29.81
1958-04-01,-19.25,-17.28,-23.71
1958-07-01,-9.28,-9.22,-10.29
1958-10-01,11.76,9.23,14.0
1959-01-01,37.5,36.01,43.05
1959-04-01,45.46,42.55,53.81
1959-07-01,21.07,24.1,16.41
1959-10-01,7.79,15.24,-3.45
1960-01-01,8.01,9.46,2.48
1960-04-01,-7.23,-4.21,-15.49
1960-07-01,-0.71,1.85,-6.8
1960-10-01,-5.55,-5.28,-8.41
1961-01-01,-14.28,-12.07,-22.02
1961-04-01,-0.57,1.15,-5.96
1961-07-01,6.39,5.67,5.37
1961-10-01,20.02,18.24,22.27
1962-01-01,24.5,30.12,29.43
1962-04-01,14.76,19.98,16.36
1962-07-01,12.23,17.86,12.75
1962-10-01,8.15,16.52,4.25
1963-01-01,7.43,10.33,3.36
1963-04-01,12.33,13.0,13.95
1963-07-01,11.54,11.92,13.63
1963-10-01,9.11,6.95,15.28
1964-01-01,14.67,16.51,25.66
1964-04-01,10.1,13.62,16.36
1964-07-01,9.46,12.99,16.03
1964-10-01,6.95,11.39,11.91
1965-01-01,11.41,13.51,17.23
1965-04-01,13.87,15.5,21.54
1965-07-01,13.8,15.63,20.83
1965-10-01,20.49,20.9,29.17
1966-01-01,13.43,12.47,15.38
1966-04-01,9.46,8.38,12.01
1966-07-01,6.24,5.33,8.39
1966-10-01,2.03,3.54,0.11
1967-01-01,-4.16,-3.05,-6.87
1967-04-01,-4.38,-3.03,-7.22
1967-07-01,-1.7,-0.1,-4.92
1967-10-01,0.89,-0.14,3.26
1968-01-01,5.14,-1.64,4.64
1968-04-01,10.81,5.24,6.63
1968-07-01,10.11,4.66,5.4
1968-10-01,7.59,2.65,2.17
1969-01-01,5.45,5.04,2.48
1969-04-01,-1.75,-3.36,-3.64
1969-07-01,-5.09,-6.37,-8.39
1969-10-01,-11.21,-13.99,-14.16
1970-01-01,-18.18,-17.27,-18.05
1970-04-01,-11.82,-8.83,-16.08
1970-07-01,-9.27,-8.33,-12.02
1970-10-01,-9.72,-7.15,-15.74
1971-01-01,14.13,16.14,7.67
1971-04-01,11.61,10.66,13.23
1971-07-01,14.77,18.93,22.09
1971-10-01,26.76,34.16,37.14
1972-01-01,15.42,19.5,23.5
1972-04-01,14.86,19.75,20.6
1972-07-01,16.5,18.72,18.03
1972-10-01,18.87,16.76,25.69
1973-01-01,19.71,17.62,35.93
1973-04-01,15.73,12.2,37.0
1973-07-01,12.57,12.14,29.18
1973-10-01,7.98,8.0,24.41
1974-01-01,-2.4,-2.04,13.8
1974-04-01,-1.77,-3.46,17.28
1974-07-01,-6.57,-18.28,26.72
1974-10-01,-12.13,-18.07,4.26
1975-01-01,-9.63,-7.3,-16.08
1975-04-01,0.01,6.39,-13.38
1975-07-01,20.5,34.31,-1.26
1975-10-01,33.25,44.47,18.19
1976-01-01,48.71,43.84,52.09
1976-04-01,34.29,29.99,43.47
1976-07-01,16.68,18.45,18.86
1976-10-01,9.66,9.64,11.72
1977-01-01,5.15,6.07,9.94
1977-04-01,18.34,19.97,14.61
1977-07-01,25.69,28.54,17.34
1977-10-01,23.01,23.08,20.12
1978-01-01,14.02,18.6,12.5
1978-04-01,16.99,17.02,22.12
1978-07-01,12.1,11.56,19.6
1978-10-01,20.48,21.59,24.36
1979-01-01,19.1,16.95,25.86
1979-04-01,5.3,6.64,10.41
1979-07-01,1.65,1.96,8.16
1979-10-01,-5.53,-4.14,1.2
1980-01-01,-5.05,-9.57,0.41
1980-04-01,-18.09,-16.73,-16.54
1980-07-01,-14.47,-16.14,-9.13
1980-10-01,-4.04,-6.89,-1.28
1981-01-01,2.41,8.54,1.15
1981-04-01,15.75,20.03,13.64
1981-07-01,19.63,29.96,9.12
1981-10-01,4.6,17.99,-3.39
1982-01-01,-9.58,2.57,-16.46
1982-04-01,-2.17,6.55,-13.61
1982-07-01,-9.59,-3.32,-19.03
1982-10-01,-7.96,-3.13,-22.36
1983-01-01,10.26,13.55,-13.84
1983-04-01,16.44,14.28,0.18
1983-07-01,25.01,20.82,12.81
1983-10-01,36.2,30.6,26.88
1984-01-01,38.51,28.7,39.7
1984-04-01,23.86,20.86,22.0
1984-07-01,15.09,19.92,3.71
1984-10-01,11.52,15.54,1.87
1985-01-01,3.34,7.74,-13.52
1985-04-01,3.73,8.35,-15.76
1985-07-01,10.25,9.35,-5.98
1985-10-01,1.54,-0.57,-9.48
1986-01-01,-2.43,-5.91,-31.12
1986-04-01,-7.26,-12.91,-29.95
1986-07-01,-14.24,-20.38,-32.91
1986-10-01,-9.16,-19.11,-24.81
1987-01-01,-2.61,-8.98,18.47
1987-04-01,13.34,7.03,36.13
1987-07-01,24.44,20.93,50.04
1987-10-01,24.53,30.03,40.28
1988-01-01,20.34,24.55,38.28
1988-04-01,11.37,14.62,26.2
1988-07-01,6.25,5.61,16.36
1988-10-01,12.27,9.73,22.55
1989-01-01,7.67,2.06,3.63
1989-04-01,2.52,2.54,-6.66
1989-07-01,1.23,5.33,-15.83
1989-10-01,-8.14,-6.28,-23.77
1990-01-01,-2.2,3.8,-15.58
1990-04-01,3.86,5.89,-5.59
1990-07-01,-3.05,-6.29,9.29
1990-10-01,2.09,1.18,6.78
1991-01-01,7.99,9.95,-2.58
1991-04-01,2.57,5.37,3.15
1991-07-01,9.21,16.17,3.0
1991-10-01,8.55,14.09,7.42
1992-01-01,6.26,5.43,16.8
1992-04-01,7.96,5.8,16.47
1992-07-01,5.44,4.06,2.79
1992-10-01,9.36,7.0,17.07
1993-01-01,2.07,-0.4,16.73
1993-04-01,7.07,3.55,17.42
1993-07-01,13.14,12.62,30.26
1993-10-01,18.66,14.34,29.65
1994-01-01,21.11,25.63,37.51
1994-04-01,19.1,24.44,32.36
