date,CPI All Urban Consumers YoY Chg,CPI Less Food & Energy (Core) YoY Chg,CPI Food & Beverages YoY Chg,CPI Energy YoY Chg,CPI Shelter YoY Chg,CPI Medical Care YoY Chg,CPI Transportation YoY Chg,CPI Apparel YoY Chg,CPI Education & Communication YoY Chg
1947-12-01,8.99,,,,,5.3,6.7,6.77,
1948-01-01,10.24,,,,,6.06,9.5,7.55,
1948-02-01,9.48,,,,,5.26,8.94,7.73,
1948-03-01,6.82,,,,,6.02,8.29,6.6,
1948-04-01,8.27,,,,,6.72,8.74,6.05,
1948-05-01,9.38,,,,,5.93,8.74,6.78,
1948-06-01,9.38,,,,,6.67,8.7,6.0,
1948-07-01,9.76,,,,,7.41,13.51,6.75,
1948-08-01,9.06,,,,,7.35,15.14,7.48,
1948-09-01,6.65,,,,,5.84,14.44,7.21,
1948-10-01,6.11,,,,,5.8,14.36,6.68,
1948-11-01,4.77,,,,,6.52,13.68,5.91,
1948-12-01,2.73,,,,,5.76,13.09,4.88,
1949-01-01,1.39,,,,,5.0,10.2,2.18,
1949-02-01,1.01,,,,,5.71,11.79,0.0,
1949-03-01,1.74,,,,,4.96,11.73,-0.95,
1949-04-01,0.42,,,,,3.5,10.55,-1.9,
1949-05-01,-0.42,,,,,3.5,11.56,-3.29,
1949-06-01,-0.95,,,,,2.78,10.5,-3.3,
1949-07-01,-2.87,,,,,2.07,5.71,-4.45,
1949-08-01,-2.99,,,,,2.05,4.69,-6.03,
1949-09-01,-2.5,,,,,2.76,3.74,-6.73,
1949-10-01,-2.63,,,,,2.05,3.72,-7.42,
1949-11-01,-1.9,,,,,1.36,3.24,-7.44,
1949-12-01,-1.83,,,,,1.36,4.17,-7.44,
1950-01-01,-2.08,,,,,1.36,3.7,-5.92,
1950-02-01,-1.25,,,,,1.35,2.75,-5.02,
1950-03-01,-1.13,,,,,0.68,2.28,-4.57,
1950-04-01,-1.13,,,,,1.35,1.82,-3.87,
1950-05-01,-0.59,,,,,1.35,1.35,-3.41,
1950-06-01,-0.17,,,,,1.35,1.81,-3.17,
1950-07-01,1.56,,,,,2.03,2.25,-2.21,
1950-08-01,2.11,,,,,1.34,2.69,-0.99,
1950-09-01,2.48,,,,,2.01,3.15,1.0,
1950-10-01,3.51,,,,,2.68,2.69,3.26,
1950-11-01,3.8,,,,,2.68,3.14,4.27,
1950-12-01,5.8,,,,,3.36,3.11,5.28,
1951-01-01,7.95,,,,,3.36,4.02,7.3,
1951-02-01,9.4,,,,,3.33,5.36,9.07,
1951-03-01,9.48,,,,,5.37,6.25,9.57,
1951-04-01,9.6,,,,,4.67,6.7,10.33,
1951-05-01,9.34,,,,,5.33,6.67,10.58,
1951-06-01,8.58,,,,,5.33,7.11,10.58,
1951-07-01,7.64,,,,,4.64,6.17,10.28,
1951-08-01,6.86,,,,,5.3,5.68,9.73,
