date,Total Existing Home Sales (NSA) YoY Chg,Existing Home Sales - Northeast (NSA) YoY Chg,Existing Home Sales - Midwest (NSA) YoY Chg,Existing Home Sales - South (NSA) YoY Chg,Existing Home Sales - West (NSA) YoY Chg,Median Sales Price - National YoY Chg,Median Sales Price - Northeast YoY Chg,Median Sales Price - Midwest YoY Chg,Median Sales Price - South YoY Chg,Median Sales Price - West YoY Chg,Housing Inventory YoY Chg,Months Supply of Inventory YoY Chg
1968-12-01,,,,,,6.09,,,,,,
1969-01-01,,,,,,7.11,,,,,,
1969-02-01,,,,,,5.53,,,,,,
1969-03-01,,,,,,7.61,,,,,,
1969-04-01,,,,,,7.5,,,,,,
1969-05-01,,,,,,7.46,,,,,,
1969-06-01,,,,,,7.25,,,,,,
1969-07-01,,,,,,10.58,,,,,,
1969-08-01,,,,,,9.71,,,,,,
1969-09-01,,,,,,5.85,,,,,,
1969-10-01,,,,,,8.96,,,,,,
1969-11-01,,,,,,7.8,,,,,,
1969-12-01,,,,,,5.26,,,,,,
1970-01-01,,,,,,5.21,,,,,,
1970-02-01,,,,,,7.14,,,,,,
1970-03-01,,,,,,7.55,,,,,,
1970-04-01,,,,,,6.51,,,,,,
1970-05-01,,,,,,6.94,,,,,,
1970-06-01,,,,,,4.95,,,,,,
1970-07-01,,,,,,3.04,,,,,,
1970-08-01,,,,,,3.98,,,,,,
1970-09-01,,,,,,6.45,,,,,,
1970-10-01,,,,,,3.65,,,,,,
1970-11-01,,,,,,4.98,,,,,,
1970-12-01,,,,,,3.64,,,,,,
1971-01-01,,,,,,6.76,,,,,,
1971-02-01,,,,,,7.56,,,,,,
1971-03-01,,,,,,6.58,,,,,,
1971-04-01,,,,,,7.42,,,,,,
1971-05-01,,,,,,8.66,,,,,,
1971-06-01,,,,,,7.73,,,,,,
1971-07-01,,,,,,7.17,,,,,,
1971-08-01,,,,,,7.66,,,,,,
1971-09-01,,,,,,7.36,,,,,,
1971-10-01,,,,,,9.25,,,,,,
1971-11-01,,,,,,8.19,,,,,,
1971-12-01,,,,,,9.21,,,,,,
