date,Total Existing Home Sales YoY Chg,Existing Home Sales - Northeast YoY Chg,Existing Home Sales - Midwest YoY Chg,Existing Home Sales - South YoY Chg,Existing Home Sales - West YoY Chg,Median Sales Price - National YoY Chg,Median Sales Price - Northeast YoY Chg,Median Sales Price - Midwest YoY Chg,Median Sales Price - South YoY Chg,Median Sales Price - West YoY Chg,Housing Inventory YoY Chg,Months Supply of Inventory YoY Chg
1968-12-01,20.42,,,,,6.09,,,,,,
1969-01-01,14.79,,,,,7.11,,,,,,
1969-02-01,12.0,,,,,5.53,,,,,,
1969-03-01,4.52,,,,,7.61,,,,,,
1969-04-01,10.2,,,,,7.5,,,,,,
1969-05-01,7.95,,,,,7.46,,,,,,
1969-06-01,4.61,,,,,7.25,,,,,,
1969-07-01,0.0,,,,,10.58,,,,,,
1969-08-01,-0.65,,,,,9.71,,,,,,
1969-09-01,-6.02,,,,,5.85,,,,,,
1969-10-01,-8.19,,,,,8.96,,,,,,
1969-11-01,-7.23,,,,,7.8,,,,,,
1969-12-01,-6.43,,,,,5.26,,,,,,
1970-01-01,-6.13,,,,,5.21,,,,,,
1970-02-01,-13.1,,,,,7.14,,,,,,
1970-03-01,-15.43,,,,,7.55,,,,,,
1970-04-01,-6.79,,,,,6.51,,,,,,
1970-05-01,-6.13,,,,,6.94,,,,,,
1970-06-01,-0.63,,,,,4.95,,,,,,
1970-07-01,5.84,,,,,3.04,,,,,,
1970-08-01,11.69,,,,,3.98,,,,,,
1970-09-01,10.9,,,,,6.45,,,,,,
1970-10-01,8.28,,,,,3.65,,,,,,
1970-11-01,13.64,,,,,4.98,,,,,,
1970-12-01,15.62,,,,,3.64,,,,,,
1971-01-01,24.84,,,,,6.76,,,,,,
1971-02-01,30.14,,,,,7.56,,,,,,
1971-03-01,44.53,,,,,6.58,,,,,,
1971-04-01,33.11,,,,,7.42,,,,,,
1971-05-01,33.33,,,,,8.66,,,,,,
1971-06-01,25.95,,,,,7.73,,,,,,
1971-07-01,22.7,,,,,7.17,,,,,,
1971-08-01,16.28,,,,,7.66,,,,,,
1971-09-01,18.5,,,,,7.36,,,,,,
1971-10-01,20.59,,,,,9.25,,,,,,
1971-11-01,22.29,,,,,8.19,,,,,,
1971-12-01,17.84,,,,,9.21,,,,,,
1972-01-01,15.18,,,,,6.75,,,,,,
1972-02-01,13.16,,,,,4.96,,,,,,
1972-03-01,10.1,,,,,6.58,,,,,,
1972-04-01,7.46,,,,,6.91,,,,,,
1972-05-01,3.43,,,,,7.17,,,,,,
1972-06-01,9.05,,,,,8.76,,,,,,
1972-07-01,9.5,,,,,8.27,,,,,,
1972-08-01,15.0,,,,,8.3,,,,,,
1972-09-01,14.15,,,,,8.87,,,,,,
1972-10-01,16.1,,,,,8.47,,,,,,
1972-11-01,11.21,,,,,7.57,,,,,,
1972-12-01,14.22,,,,,8.84,,,,,,
1973-01-01,10.45,,,,,8.3,,,,,,
1973-02-01,16.28,,,,,10.24,,,,,,
1973-03-01,11.01,,,,,9.65,,,,,,
1973-04-01,8.8,,,,,8.37,,,,,,
1973-05-01,10.43,,,,,7.06,,,,,,
1973-06-01,8.76,,,,,6.96,,,,,,
1973-07-01,6.85,,,,,8.73,,,,,,
1973-08-01,-0.87,,,,,9.12,,,,,,
1973-09-01,-4.27,,,,,7.78,,,,,,
1973-10-01,-4.62,,,,,7.43,,,,,,
1973-11-01,-5.04,,,,,10.0,,,,,,
1973-12-01,-10.44,,,,,8.86,,,,,,
1974-01-01,-0.82,,,,,11.68,,,,,,
1974-02-01,-4.8,,,,,9.29,,,,,,
1974-03-01,0.83,,,,,10.56,,,,,,
1974-04-01,1.7,,,,,11.23,,,,,,
1974-05-01,3.0,,,,,11.46,,,,,,
1974-06-01,-3.81,,,,,12.67,,,,,,
1974-07-01,-2.14,,,,,10.37,,,,,,
1974-08-01,-1.32,,,,,10.03,,,,,,
1974-09-01,-4.02,,,,,11.34,,,,,,
1974-10-01,-7.49,,,,,10.38,,,,,,
1974-11-01,-7.52,,,,,8.08,,,,,,
1974-12-01,-5.38,,,,,10.85,,,,,,
1975-01-01,-14.52,,,,,8.5,,,,,,
1975-02-01,-6.3,,,,,10.78,,,,,,
1975-03-01,-6.15,,,,,8.92,,,,,,
1975-04-01,0.0,,,,,10.09,,,,,,
1975-05-01,2.92,,,,,9.66,,,,,,
1975-06-01,10.57,,,,,10.03,,,,,,
1975-07-01,6.99,,,,,8.79,,,,,,
1975-08-01,12.44,,,,,11.85,,,,,,
1975-09-01,22.33,,,,,10.49,,,,,,
1975-10-01,27.62,,,,,10.97,,,,,,
1975-11-01,31.1,,,,,11.21,,,,,,
1975-12-01,31.75,,,,,9.48,,,,,,
1976-01-01,36.41,,,,,9.34,,,,,,
1976-02-01,31.39,,,,,6.78,,,,,,
1976-03-01,26.64,,,,,8.77,,,,,,
1976-04-01,23.01,,,,,8.02,,,,,,
1976-05-01,19.84,,,,,6.82,,,,,,
1976-06-01,23.9,,,,,6.63,,,,,,
1976-07-01,26.53,,,,,8.36,,,,,,
1976-08-01,22.92,,,,,7.07,,,,,,
1976-09-01,22.05,,,,,8.1,,,,,,
1976-10-01,17.91,,,,,8.76,,,,,,
1976-11-01,17.52,,,,,8.68,,,,,,
1976-12-01,20.14,,,,,8.94,,,,,,
1977-01-01,22.06,,,,,9.09,,,,,,
1977-02-01,14.68,,,,,12.43,,,,,,
1977-03-01,23.45,,,,,10.22,,,,,,
1977-04-01,20.07,,,,,11.41,,,,,,
1977-05-01,22.97,,,,,12.23,,,,,,
1977-06-01,16.72,,,,,12.44,,,,,,
1977-07-01,17.74,,,,,12.34,,,,,,
1977-08-01,19.29,,,,,11.42,,,,,,
1977-09-01,17.13,,,,,13.18,,,,,,
1977-10-01,17.41,,,,,14.29,,,,,,
1977-11-01,19.88,,,,,14.69,,,,,,
1977-12-01,16.47,,,,,13.33,,,,,,
1978-01-01,13.7,,,,,14.9,,,,,,
1978-02-01,13.99,,,,,13.76,,,,,,
1978-03-01,10.89,,,,,13.41,,,,,,
1978-04-01,15.86,,,,,14.76,,,,,,
1978-05-01,9.89,,,,,13.27,,,,,,
1978-06-01,11.29,,,,,11.52,,,,,,
1978-07-01,9.32,,,,,13.04,,,,,,
1978-08-01,6.74,,,,,14.58,,,,,,
1978-09-01,4.52,,,,,14.61,,,,,,
1978-10-01,7.82,,,,,13.86,,,,,,
1978-11-01,7.51,,,,,13.93,,,,,,
1978-12-01,2.31,,,,,15.16,,,,,,
1979-01-01,-1.03,,,,,14.29,,,,,,
1979-02-01,4.18,,,,,12.1,,,,,,
1979-03-01,-0.25,,,,,15.7,,,,,,
1979-04-01,-2.44,,,,,13.49,,,,,,
1979-05-01,2.25,,,,,16.95,,,,,,
1979-06-01,-5.94,,,,,17.36,,,,,,
1979-07-01,-4.26,,,,,17.21,,,,,,
1979-08-01,-3.03,,,,,14.71,,,,,,
1979-09-01,0.25,,,,,14.14,,,,,,
1979-10-01,-5.75,,,,,12.38,,,,,,
1979-11-01,-16.14,,,,,9.66,,,,,,
1979-12-01,-14.82,,,,,11.0,,,,,,
1980-01-01,-13.73,,,,,11.35,,,,,,
1980-02-01,-20.05,,,,,13.68,,,,,,
1980-03-01,-25.0,,,,,10.59,,,,,,
1980-04-01,-36.34,,,,,10.42,,,,,,
1980-05-01,-39.36,,,,,9.48,,,,,,
1980-06-01,-31.58,,,,,11.62,,,,,,
1980-07-01,-23.3,,,,,10.71,,,,,,
1980-08-01,-20.57,,,,,12.48,,,,,,
1980-09-01,-13.71,,,,,12.04,,,,,,
1980-10-01,-14.85,,,,,11.37,,,,,,
1980-11-01,-12.36,,,,,15.65,,,,,,
1980-12-01,-14.16,,,,,11.5,,,,,,
1981-01-01,-18.62,,,,,11.4,,,,,,
1981-02-01,-15.67,,,,,8.64,,,,,,
1981-03-01,-12.46,,,,,8.24,,,,,,
1981-04-01,5.12,,,,,8.11,,,,,,
1981-05-01,6.05,,,,,8.33,,,,,,
1981-06-01,-0.38,,,,,6.78,,,,,,
1981-07-01,-15.02,,,,,5.3,,,,,,
