date,Total Occupied Housing Units (000s) YoY Chg,Owner-Occupied Housing Units (000s) YoY Chg,Renter-Occupied Housing Units (000s) YoY Chg,Total Housing Units (000s) YoY Chg,Homeownership Rate YoY Chg
1965-10-01,,,,,0.5
1966-01-01,,,,,0.6
1966-04-01,,,,,0.3
1966-07-01,,,,,0.4
1966-10-01,,,,,0.4
1967-01-01,,,,,-0.2
1967-04-01,,,,,0.7
1967-07-01,,,,,0.5
1967-10-01,,,,,-0.3
1968-01-01,,,,,0.3
1968-04-01,,,,,0.2
1968-07-01,,,,,0.3
1968-10-01,,,,,0.1
1969-01-01,,,,,0.5
1969-04-01,,,,,0.3
1969-07-01,,,,,0.3
1969-10-01,,,,,0.8
1970-01-01,,,,,0.2
1970-04-01,,,,,-0.4
1970-07-01,,,,,0.0
1970-10-01,,,,,-0.4
1971-01-01,,,,,-0.3
1971-04-01,,,,,0.1
1971-07-01,,,,,0.0
1971-10-01,,,,,0.5
1972-01-01,,,,,0.3
1972-04-01,,,,,0.4
1972-07-01,,,,,-0.1
1972-10-01,,,,,-0.1
1973-01-01,,,,,0.6
1973-04-01,,,,,-0.1
1973-07-01,,,,,0.1
1973-10-01,,,,,0.0
1974-01-01,,,,,-0.1
1974-04-01,,,,,0.4
1974-07-01,,,,,0.2
1974-10-01,,,,,0.0
1975-01-01,,,,,-0.4
1975-04-01,,,,,0.1
1975-07-01,,,,,0.0
1975-10-01,,,,,0.1
1976-01-01,,,,,0.2
1976-04-01,,,,,-0.3
1976-07-01,,,,,0.3
1976-10-01,,,,,0.3
1977-01-01,,,,,0.2
1977-04-01,,,,,-0.1
1977-07-01,,,,,0.1
1977-10-01,,,,,0.1
1978-01-01,,,,,0.0
1978-04-01,,,,,-0.1
1978-07-01,,,,,0.2
1978-10-01,,,,,0.5
1979-01-01,,,,,0.0
1979-04-01,,,,,0.5
1979-07-01,,,,,0.6
1979-10-01,,,,,0.0
1980-01-01,,,,,0.7
1980-04-01,,,,,0.6
1980-07-01,,,,,0.0
1980-10-01,,,,,0.1
1981-01-01,,,,,0.1
1981-04-01,,,,,-0.2
1981-07-01,,,,,-0.2
1981-10-01,,,,,-0.3
1982-01-01,,,,,-0.8
1982-04-01,,,,,-0.4
1982-07-01,,,,,-0.7
1982-10-01,,,,,-0.7
1983-01-01,,,,,-0.1
1983-04-01,,,,,-0.2
1983-07-01,,,,,-0.1
1983-10-01,,,,,-0.1
1984-01-01,,,,,-0.1
1984-04-01,,,,,-0.1
1984-07-01,,,,,-0.2
1984-10-01,,,,,-0.3
1985-01-01,,,,,-0.5
1985-04-01,,,,,-0.5
1985-07-01,,,,,-0.7
1985-10-01,,,,,-0.6
1986-01-01,,,,,-0.5
1986-04-01,,,,,-0.3
1986-07-01,,,,,-0.1
1986-10-01,,,,,0.4
1987-01-01,,,,,0.2
1987-04-01,,,,,0.0
1987-07-01,,,,,0.4
1987-10-01,,,,,0.2
1988-01-01,,,,,-0.1
1988-04-01,,,,,-0.1
1988-07-01,,,,,-0.2
1988-10-01,,,,,-0.3
1989-01-01,,,,,0.2
1989-04-01,,,,,0.1
1989-07-01,,,,,0.1
1989-10-01,,,,,0.0
1990-01-01,,,,,0.1
1990-04-01,,,,,-0.1
1990-07-01,,,,,-0.1
1990-10-01,,,,,0.3
1991-01-01,,,,,-0.1
1991-04-01,,,,,0.2
1991-07-01,,,,,0.2
1991-10-01,,,,,0.1
1992-01-01,,,,,0.1
1992-04-01,,,,,0.0
1992-07-01,,,,,0.1
1992-10-01,,,,,0.2
1993-01-01,,,,,0.2
1993-04-01,,,,,0.5
1993-07-01,,,,,0.4
1993-10-01,,,,,0.2
1994-01-01,,,,,-0.4
1994-04-01,,,,,-0.6
1994-07-01,,,,,-0.6
1994-10-01,,,,,-0.4
1995-01-01,,,,,0.4
1995-04-01,,,,,0.9
