date,Total Housing Completions YoY Chg,Single-Family Completions YoY Chg,5+ Unit Completions YoY Chg
1968-12-01,10.58,0.0,41.1
1969-01-01,0.0,-4.11,15.21
1969-02-01,20.44,13.1,40.36
1969-03-01,17.76,-0.23,62.87
1969-04-01,-0.75,-16.26,35.67
1969-05-01,4.61,-8.78,32.99
1969-06-01,22.89,7.32,56.67
1969-07-01,4.53,-9.08,44.15
1969-08-01,8.91,-4.31,30.59
1969-09-01,-2.15,-12.2,22.17
1969-10-01,4.3,-2.66,20.6
1969-11-01,2.71,-11.56,30.84
1969-12-01,0.86,-12.46,28.44
1970-01-01,14.08,-1.07,48.31
1970-02-01,1.13,-12.73,24.89
1970-03-01,-15.47,-18.0,-14.14
1970-04-01,2.73,-1.2,8.7
1970-05-01,-6.71,-6.7,-6.54
1970-06-01,-1.65,-9.18,6.96
1970-07-01,-3.35,-2.34,-2.95
1970-08-01,15.51,5.38,34.45
1970-09-01,1.17,14.68,-18.15
1970-10-01,2.2,0.0,3.84
1970-11-01,3.77,10.46,-6.61
1970-12-01,2.5,9.01,-6.79
1971-01-01,2.58,2.05,0.0
1971-02-01,1.26,14.06,-16.15
1971-03-01,13.06,26.29,-3.49
1971-04-01,26.22,38.36,9.14
1971-05-01,22.71,27.02,17.28
1971-06-01,14.4,25.0,3.25
1971-07-01,22.76,30.56,7.22
1971-08-01,17.84,23.49,9.37
1971-09-01,30.44,22.08,44.34
1971-10-01,26.3,35.48,13.49
1971-11-01,26.56,31.83,17.4
1971-12-01,31.87,37.01,17.82
1972-01-01,32.02,33.77,29.36
1972-02-01,42.33,29.26,66.39
1972-03-01,33.04,27.8,40.56
1972-04-01,15.27,15.56,19.72
1972-05-01,15.82,16.24,16.14
1972-06-01,18.27,18.65,17.34
1972-07-01,13.6,8.41,22.34
1972-08-01,10.86,19.88,-2.14
1972-09-01,13.8,3.15,33.01
1972-10-01,9.92,8.24,14.82
1972-11-01,7.65,3.23,15.64
1972-12-01,11.93,5.51,28.94
1973-01-01,11.33,14.21,9.81
1973-02-01,3.06,14.97,-11.08
1973-03-01,10.85,13.08,9.71
1973-04-01,11.42,7.91,15.6
1973-05-01,21.26,14.85,29.46
1973-06-01,16.63,10.83,26.87
1973-07-01,7.05,-3.57,23.33
1973-08-01,-2.19,-7.93,8.76
1973-09-01,0.39,5.31,-7.0
1973-10-01,2.86,-4.48,10.21
1973-11-01,-3.02,-3.91,0.56
1973-12-01,-11.88,-12.01,-9.96
1974-01-01,-10.64,-20.79,4.93
1974-02-01,-8.76,-20.39,10.8
1974-03-01,-17.76,-25.44,-6.12
1974-04-01,-16.63,-26.99,-1.51
1974-05-01,-25.4,-28.41,-20.07
1974-06-01,-15.99,-12.53,-18.0
1974-07-01,-17.96,-15.08,-20.56
1974-08-01,-20.53,-20.89,-19.87
1974-09-01,-19.89,-22.72,-12.29
1974-10-01,-20.57,-19.13,-17.5
1974-11-01,-17.4,-22.26,-8.96
1974-12-01,-17.6,-20.81,-12.18
1975-01-01,-17.81,-5.37,-28.97
1975-02-01,-30.55,-23.08,-39.25
1975-03-01,-28.41,-21.89,-33.84
1975-04-01,-30.16,-15.28,-46.61
1975-05-01,-21.34,-4.84,-41.31
1975-06-01,-34.95,-26.49,-48.06
1975-07-01,-24.72,-4.03,-50.0
1975-08-01,-21.05,-3.52,-43.8
1975-09-01,-19.26,6.85,-53.16
1975-10-01,-30.43,-17.2,-50.39
1975-11-01,-13.02,15.25,-50.15
1975-12-01,-15.19,15.81,-57.26
1976-01-01,-20.78,-1.65,-56.35
1976-02-01,-2.6,24.68,-46.5
1976-03-01,4.18,31.32,-40.04
1976-04-01,4.23,26.36,-36.21
1976-05-01,6.75,14.01,-16.92
1976-06-01,12.64,29.66,-30.39
1976-07-01,3.61,18.05,-37.87
1976-08-01,6.51,20.87,-34.08
1976-09-01,2.85,1.24,1.61
1976-10-01,22.4,37.96,-19.81
1976-11-01,3.25,10.61,-22.84
1976-12-01,11.56,12.42,2.99
1977-01-01,15.82,18.66,-5.74
1977-02-01,26.24,29.44,15.77
1977-03-01,20.19,18.84,19.93
1977-04-01,16.22,18.56,5.64
1977-05-01,7.99,17.24,-12.57
1977-06-01,17.7,14.74,20.63
1977-07-01,27.61,22.79,49.52
1977-08-01,21.76,20.19,25.42
1977-09-01,36.03,48.11,-5.7
1977-10-01,20.68,19.27,28.24
1977-11-01,23.95,18.72,50.4
1977-12-01,12.15,17.53,-2.17
1978-01-01,21.96,14.66,62.17
1978-02-01,3.87,-1.33,11.3
1978-03-01,10.25,13.58,-9.91
1978-04-01,19.06,18.94,9.96
1978-05-01,18.97,17.92,13.01
1978-06-01,16.44,13.43,37.17
1978-07-01,16.0,5.17,56.69
1978-08-01,18.11,9.58,54.05
1978-09-01,4.24,-1.59,37.25
1978-10-01,12.54,14.23,13.15
1978-11-01,6.05,6.15,-1.86
1978-12-01,12.85,4.97,41.11
1979-01-01,4.11,1.08,12.87
1979-02-01,7.33,4.77,21.19
1979-03-01,9.02,4.08,34.95
1979-04-01,1.25,-5.02,31.07
1979-05-01,8.49,-4.3,70.61
1979-06-01,-2.73,-2.83,-6.71
1979-07-01,-10.12,-7.82,-19.72
1979-08-01,-9.97,-11.1,-8.55
1979-09-01,2.01,-12.33,48.66
1979-10-01,-2.81,-10.49,17.3
1979-11-01,0.8,-8.04,32.25
1979-12-01,1.03,-3.03,7.35
1980-01-01,-3.03,-5.41,-1.43
1980-02-01,-2.28,-10.39,23.15
1980-03-01,-12.59,-20.54,13.19
1980-04-01,-6.16,-19.82,33.58
1980-05-01,-23.67,-27.34,-21.85
1980-06-01,-20.13,-31.84,14.4
1980-07-01,-16.32,-29.4,26.08
1980-08-01,-19.06,-24.34,-10.07
1980-09-01,-36.11,-39.33,-32.4
1980-10-01,-30.57,-34.83,-25.58
1980-11-01,-30.6,-33.65,-26.43
1980-12-01,-26.03,-31.15,-13.45
1981-01-01,-29.21,-27.64,-35.9
1981-02-01,-22.63,-18.63,-40.0
1981-03-01,-19.05,-20.29,-25.0
1981-04-01,-16.11,-13.1,-22.74
1981-05-01,-18.67,-9.38,-40.68
1981-06-01,-8.78,-5.26,-17.3
1981-07-01,-9.17,-2.63,-27.51
1981-08-01,-15.14,-14.7,-7.47
1981-09-01,-3.63,4.74,-24.33
1981-10-01,-5.19,-14.11,19.5
1981-11-01,-18.2,-20.19,-15.04
1981-12-01,-18.07,-24.39,-5.37
1982-01-01,-17.17,-28.51,24.06
1982-02-01,-32.97,-42.25,2.0
1982-03-01,-29.92,-33.22,-19.21
1982-04-01,-33.36,-35.19,-30.62
1982-05-01,-14.93,-22.3,14.18
1982-06-01,-31.11,-33.68,-20.65
1982-07-01,-24.76,-21.15,-28.81
1982-08-01,-19.39,-21.85,-20.46
1982-09-01,-22.44,-25.28,-18.97
1982-10-01,-12.19,-5.48,-21.76
1982-11-01,0.47,2.38,0.33
1982-12-01,-7.26,-3.67,-5.37
1983-01-01,12.83,20.87,-5.45
1983-02-01,21.39,28.65,11.44
1983-03-01,21.04,32.88,3.15
1983-04-01,22.27,34.82,3.45
1983-05-01,22.64,25.33,14.77
1983-06-01,44.52,61.08,8.56
1983-07-01,40.16,44.71,35.02
1983-08-01,73.71,65.02,113.77
1983-09-01,57.66,65.82,63.49
1983-10-01,49.76,55.87,45.03
1983-11-01,35.5,45.78,17.65
1983-12-01,44.13,53.42,31.86
1984-01-01,34.37,30.67,57.69
1984-02-01,37.62,45.1,26.69
1984-03-01,36.99,30.96,63.73
1984-04-01,40.6,20.93,88.67
1984-05-01,33.23,25.0,54.39
1984-06-01,27.53,12.78,77.29
1984-07-01,20.0,9.58,45.82
1984-08-01,-1.52,0.68,-14.07
1984-09-01,9.98,4.67,22.82
1984-10-01,2.96,-6.86,23.97
1984-11-01,10.19,1.2,35.28
1984-12-01,7.95,-2.08,27.03
1985-01-01,3.2,5.52,-6.71
1985-02-01,13.44,5.31,30.32
1985-03-01,7.19,0.39,16.77
1985-04-01,-3.15,9.11,-19.96
1985-05-01,-3.87,-3.08,3.98
1985-06-01,4.49,3.27,8.9
1985-07-01,0.06,-1.5,8.3
1985-08-01,0.0,-0.87,11.64
1985-09-01,9.99,7.86,17.39
1985-10-01,-4.16,9.83,-24.49
1985-11-01,8.57,7.78,17.25
1985-12-01,6.32,13.48,-1.88
1986-01-01,4.68,-2.34,25.49
1986-02-01,-1.07,-2.2,2.13
1986-03-01,2.39,8.88,-7.27
1986-04-01,3.37,5.57,0.0
1986-05-01,10.09,10.41,12.2
1986-06-01,-6.64,-0.47,-14.87
1986-07-01,1.71,2.1,4.01
1986-08-01,4.63,9.7,-0.18
1986-09-01,-4.1,0.09,-8.42
1986-10-01,13.87,9.04,30.73
1986-11-01,2.52,5.39,-4.2
