date,Median Household Income (current $) YoY Chg,Real Median Household Income (2024 $) YoY Chg,Average Hourly Earnings (Total Private) YoY Chg,Real Disposable Personal Income Per Capita YoY Chg
1959-12-01,,,,1.95
1960-01-01,,,,1.93
1960-02-01,,,,1.54
1960-03-01,,,,1.0
1960-04-01,,,,0.67
1960-05-01,,,,0.28
1960-06-01,,,,-0.01
1960-07-01,,,,0.28
1960-08-01,,,,0.64
1960-09-01,,,,0.76
1960-10-01,,,,1.08
1960-11-01,,,,-0.05
1960-12-01,,,,-1.44
1961-01-01,,,,-0.57
1961-02-01,,,,-0.06
1961-03-01,,,,0.33
1961-04-01,,,,0.22
1961-05-01,,,,0.87
1961-06-01,,,,1.87
1961-07-01,,,,2.07
1961-08-01,,,,2.33
1961-09-01,,,,2.26
1961-10-01,,,,2.94
1961-11-01,,,,4.32
1961-12-01,,,,5.42
1962-01-01,,,,4.12
1962-02-01,,,,4.16
1962-03-01,,,,4.43
1962-04-01,,,,4.7
1962-05-01,,,,3.92
1962-06-01,,,,2.88
1962-07-01,,,,3.0
1962-08-01,,,,3.09
1962-09-01,,,,3.04
1962-10-01,,,,2.48
1962-11-01,,,,1.83
1962-12-01,,,,1.69
1963-01-01,,,,2.69
1963-02-01,,,,1.64
1963-03-01,,,,1.41
1963-04-01,,,,1.38
1963-05-01,,,,1.72
1963-06-01,,,,2.22
1963-07-01,,,,1.89
1963-08-01,,,,2.21
1963-09-01,,,,2.94
1963-10-01,,,,3.04
1963-11-01,,,,2.97
1963-12-01,,,,3.33
1964-01-01,,,,2.95
1964-02-01,,,,3.88
1964-03-01,,,,5.9
1964-04-01,,,,6.04
1964-05-01,,,,6.2
1964-06-01,,,,6.02
1964-07-01,,,,6.41
1964-08-01,,,,6.46
1964-09-01,,,,6.1
1964-10-01,,,,5.47
1964-11-01,,,,5.95
1964-12-01,,,,6.12
1965-01-01,,,,5.98
1965-02-01,,,,5.69
1965-03-01,,,,3.6
1965-04-01,,,,3.17
1965-05-01,,,,3.77
1965-06-01,,,,3.6
1965-07-01,,,,4.19
1965-08-01,,,,4.26
1965-09-01,,,,6.57
1965-10-01,,,,6.09
1965-11-01,,,,6.17
1965-12-01,,,,5.6
1966-01-01,,,,5.48
1966-02-01,,,,5.9
1966-03-01,,,,5.96
1966-04-01,,,,5.45
1966-05-01,,,,4.46
1966-06-01,,,,4.76
1966-07-01,,,,4.05
1966-08-01,,,,4.08
1966-09-01,,,,2.04
1966-10-01,,,,2.88
1966-11-01,,,,2.62
1966-12-01,,,,2.12
1967-01-01,,,,3.1
1967-02-01,,,,2.87
1967-03-01,,,,3.24
1967-04-01,,,,3.6
1967-05-01,,,,3.66
1967-06-01,,,,3.62
1967-07-01,,,,3.68
1967-08-01,,,,3.53
1967-09-01,,,,2.92
1967-10-01,,,,2.75
1967-11-01,,,,2.91
1967-12-01,,,,3.19
1968-01-01,,,,2.71
1968-02-01,,,,3.26
1968-03-01,,,,3.46
1968-04-01,,,,3.87
1968-05-01,,,,4.08
1968-06-01,,,,4.17
1968-07-01,,,,3.54
1968-08-01,,,,3.31
1968-09-01,,,,3.34
1968-10-01,,,,3.55
1968-11-01,,,,3.32
1968-12-01,,,,3.49
1969-01-01,,,,2.75
1969-02-01,,,,2.04
1969-03-01,,,,1.27
1969-04-01,,,,0.77
1969-05-01,,,,1.5
1969-06-01,,,,1.75
1969-07-01,,,,2.67
1969-08-01,,,,3.16
1969-09-01,,,,3.37
1969-10-01,,,,3.25
1969-11-01,,,,3.03
1969-12-01,,,,2.84
1970-01-01,,,,3.56
1970-02-01,,,,3.85
1970-03-01,,,,4.05
1970-04-01,,,,5.27
1970-05-01,,,,3.65
1970-06-01,,,,3.11
1970-07-01,,,,3.82
1970-08-01,,,,3.5
1970-09-01,,,,3.14
1970-10-01,,,,2.55
1970-11-01,,,,2.2
1970-12-01,,,,2.46
1971-01-01,,,,3.46
1971-02-01,,,,3.25
1971-03-01,,,,3.18
1971-04-01,,,,2.32
1971-05-01,,,,3.16
1971-06-01,,,,5.15
1971-07-01,,,,2.21
1971-08-01,,,,2.26
1971-09-01,,,,2.98
1971-10-01,,,,3.66
1971-11-01,,,,4.08
1971-12-01,,,,4.15
1972-01-01,,,,2.09
1972-02-01,,,,2.61
1972-03-01,,,,2.72
1972-04-01,,,,2.47
1972-05-01,,,,2.83
1972-06-01,,,,1.03
1972-07-01,,,,3.25
1972-08-01,,,,3.86
1972-09-01,,,,3.67
1972-10-01,,,,5.95
1972-11-01,,,,6.88
1972-12-01,,,,6.83
1973-01-01,,,,6.81
1973-02-01,,,,6.96
1973-03-01,,,,6.91
1973-04-01,,,,7.1
1973-05-01,,,,6.51
1973-06-01,,,,6.5
1973-07-01,,,,5.99
1973-08-01,,,,4.68
1973-09-01,,,,4.81
1973-10-01,,,,3.15
1973-11-01,,,,2.19
1973-12-01,,,,1.36
1974-01-01,,,,1.16
1974-02-01,,,,-0.35
1974-03-01,,,,-1.42
1974-04-01,,,,-1.61
1974-05-01,,,,-1.89
1974-06-01,,,,-2.38
1974-07-01,,,,-2.24
1974-08-01,,,,-2.06
1974-09-01,,,,-2.66
1974-10-01,,,,-3.2
1974-11-01,,,,-3.87
1974-12-01,,,,-3.5
1975-01-01,,,,-2.84
1975-02-01,,,,-2.04
1975-03-01,,,,-1.24
1975-04-01,,,,0.64
1975-05-01,,,,6.53
1975-06-01,,,,3.13
1975-07-01,,,,1.14
1975-08-01,,,,1.94
1975-09-01,,,,2.3
1975-10-01,,,,2.39
1975-11-01,,,,2.86
1975-12-01,,,,2.94
1976-01-01,,,,3.66
1976-02-01,,,,4.23
1976-03-01,,,,4.45
1976-04-01,,,,2.71
1976-05-01,,,,-2.87
1976-06-01,,,,0.62
1976-07-01,,,,2.8
1976-08-01,,,,2.33
1976-09-01,,,,2.1
1976-10-01,,,,1.5
1976-11-01,,,,2.48
1976-12-01,,,,2.77
1977-01-01,,,,1.9
1977-02-01,,,,0.37
1977-03-01,,,,1.46
1977-04-01,,,,1.47
1977-05-01,,,,1.48
1977-06-01,,,,1.8
1977-07-01,,,,1.86
1977-08-01,,,,2.07
1977-09-01,,,,2.59
1977-10-01,,,,3.51
1977-11-01,,,,3.41
1977-12-01,,,,3.44
1978-01-01,,,,3.2
1978-02-01,,,,4.75
1978-03-01,,,,4.15
1978-04-01,,,,4.35
1978-05-01,,,,4.26
1978-06-01,,,,3.82
1978-07-01,,,,3.67
1978-08-01,,,,3.68
1978-09-01,,,,3.15
1978-10-01,,,,2.68
1978-11-01,,,,1.95
1978-12-01,,,,2.03
1979-01-01,,,,2.95
1979-02-01,,,,2.74
1979-03-01,,,,2.16
1979-04-01,,,,0.98
1979-05-01,,,,0.57
1979-06-01,,,,0.3
1979-07-01,,,,0.53
1979-08-01,,,,0.25
1979-09-01,,,,0.13
1979-10-01,,,,-0.2
1979-11-01,,,,-0.02
1979-12-01,,,,-0.31
1980-01-01,,,,-0.09
1980-02-01,,,,-1.02
1980-03-01,,,,-1.91
1980-04-01,,,,-1.21
1980-05-01,,,,-1.13
1980-06-01,,,,-0.67
1980-07-01,,,,-0.53
1980-08-01,,,,-0.57
1980-09-01,,,,-0.06
1980-10-01,,,,0.78
1980-11-01,,,,0.66
1980-12-01,,,,0.93
1981-01-01,,,,-0.16
1981-02-01,,,,0.08
1981-03-01,,,,0.99
1981-04-01,,,,0.82
1981-05-01,,,,1.4
1981-06-01,,,,1.76
1981-07-01,,,,2.48
1981-08-01,,,,2.68
1981-09-01,,,,2.07
1981-10-01,,,,1.4
1981-11-01,,,,1.31
1981-12-01,,,,0.71
1982-01-01,,,,1.25
1982-02-01,,,,1.85
1982-03-01,,,,1.56
1982-04-01,,,,2.88
1982-05-01,,,,2.27
1982-06-01,,,,1.17
1982-07-01,,,,0.52
1982-08-01,,,,0.4
1982-09-01,,,,0.56
1982-10-01,,,,0.36
1982-11-01,,,,0.71
1982-12-01,,,,1.34
1983-01-01,,,,1.56
1983-02-01,,,,1.34
1983-03-01,,,,1.84
1983-04-01,,,,1.06
1983-05-01,,,,1.69
1983-06-01,,,,2.32
1983-07-01,,,,2.67
1983-08-01,,,,2.31
1983-09-01,,,,3.07
1983-10-01,,,,4.09
1983-11-01,,,,4.56
1983-12-01,,,,4.97
1984-01-01,0.0,0.0,,5.07
1984-02-01,,,,5.63
1984-03-01,,,,5.79
1984-04-01,,,,6.28
1984-05-01,,,,6.22
1984-06-01,,,,6.84
1984-07-01,,,,5.64
1984-08-01,,,,6.57
1984-09-01,,,,6.56
1984-10-01,,,,5.23
1984-11-01,,,,4.8
1984-12-01,,,,4.52
1985-01-01,5.35,1.9,,4.04
1985-02-01,,,,2.51
1985-03-01,,,,1.4
1985-04-01,,,,2.41
1985-05-01,,,,4.76
1985-06-01,,,,1.89
1985-07-01,,,,1.99
1985-08-01,,,,1.24
1985-09-01,,,,0.96
1985-10-01,,,,1.86
1985-11-01,,,,1.57
1985-12-01,,,,1.57
1986-01-01,5.42,3.7,,1.79
1986-02-01,,,,3.26
1986-03-01,,,,4.79
1986-04-01,,,,3.44
1986-05-01,,,,1.05
1986-06-01,,,,3.11
1986-07-01,,,,3.4
1986-08-01,,,,3.59
1986-09-01,,,,3.2
1986-10-01,,,,2.57
1986-11-01,,,,2.41
1986-12-01,,,,1.91
1987-01-01,4.66,1.25,,2.03
1987-02-01,,,,1.98
1987-03-01,,,,1.03
1987-04-01,,,,-3.17
1987-05-01,,,,0.67
1987-06-01,,,,0.62
1987-07-01,,,,0.4
