date,1-Year Expected Inflation YoY Chg,5-Year Expected Inflation YoY Chg,10-Year Expected Inflation YoY Chg
1982-12-01,-1.82,-1.48,-1.34
1983-01-01,-1.53,-1.58,-1.48
1983-02-01,-1.84,-1.41,-1.22
1983-03-01,-2.32,-1.33,-1.04
1983-04-01,-1.51,-1.17,-0.98
1983-05-01,-0.87,-1.23,-1.15
1983-06-01,-1.31,-1.06,-0.88
1983-07-01,-1.41,-1.22,-1.05
1983-08-01,-1.18,-0.78,-0.68
1983-09-01,-1.24,-0.7,-0.63
1983-10-01,-0.02,-0.33,-0.37
1983-11-01,0.55,0.39,0.35
1983-12-01,0.63,0.29,0.23
1984-01-01,0.38,0.39,0.35
1984-02-01,0.47,0.23,0.17
1984-03-01,0.77,0.63,0.56
1984-04-01,0.79,0.65,0.58
1984-05-01,0.84,0.96,0.91
1984-06-01,1.45,1.14,1.01
1984-07-01,0.73,0.93,0.87
1984-08-01,0.03,0.38,0.41
1984-09-01,0.0,0.33,0.33
1984-10-01,0.3,0.3,0.24
1984-11-01,-0.27,-0.08,-0.05
1984-12-01,-0.35,-0.09,-0.06
1985-01-01,-0.37,-0.02,0.05
1985-02-01,-0.4,-0.06,0.01
1985-03-01,0.16,0.08,0.09
1985-04-01,-0.65,-0.36,-0.29
1985-05-01,-0.76,-0.55,-0.46
1985-06-01,-0.87,-1.22,-1.14
1985-07-01,-1.28,-1.3,-1.17
1985-08-01,-0.8,-0.8,-0.71
1985-09-01,-0.64,-0.89,-0.82
1985-10-01,-1.0,-0.74,-0.6
1985-11-01,-0.66,-0.59,-0.52
1985-12-01,-0.85,-0.74,-0.67
1986-01-01,-0.9,-1.06,-0.98
1986-02-01,-0.69,-0.96,-0.92
1986-03-01,-1.51,-1.61,-1.53
1986-04-01,-1.76,-1.61,-1.47
1986-05-01,-1.85,-1.52,-1.38
1986-06-01,-1.25,-0.76,-0.66
1986-07-01,-0.83,-0.95,-0.89
1986-08-01,-1.04,-1.16,-1.08
1986-09-01,-1.06,-1.26,-1.19
1986-10-01,-0.94,-1.06,-0.98
1986-11-01,-1.05,-1.05,-0.94
1986-12-01,-0.37,-0.91,-0.89
1987-01-01,-0.5,-0.65,-0.61
1987-02-01,-0.4,-0.64,-0.6
1987-03-01,-0.39,-0.41,-0.35
1987-04-01,0.62,0.11,0.07
1987-05-01,1.06,0.44,0.37
1987-06-01,0.52,0.02,-0.02
1987-07-01,0.43,0.31,0.3
1987-08-01,0.74,0.48,0.42
1987-09-01,0.87,0.77,0.71
1987-10-01,0.91,0.72,0.62
1987-11-01,0.75,0.66,0.62
1987-12-01,0.45,0.76,0.78
1988-01-01,0.19,0.66,0.7
1988-02-01,0.22,0.34,0.33
1988-03-01,0.59,0.46,0.43
1988-04-01,0.34,0.42,0.39
1988-05-01,0.19,0.12,0.07
1988-06-01,-0.03,0.21,0.22
1988-07-01,0.26,0.15,0.11
1988-08-01,0.24,0.08,0.04
1988-09-01,0.14,0.06,0.02
1988-10-01,-0.01,-0.19,-0.2
1988-11-01,0.28,-0.09,-0.17
1988-12-01,0.38,-0.03,-0.14
1989-01-01,0.82,0.2,0.07
1989-02-01,0.61,0.42,0.34
1989-03-01,0.85,0.62,0.52
1989-04-01,0.72,0.35,0.25
1989-05-01,0.75,0.18,0.04
1989-06-01,0.44,-0.07,-0.17
1989-07-01,0.06,-0.28,-0.34
1989-08-01,-0.24,-0.49,-0.51
1989-09-01,-0.39,-0.39,-0.37
1989-10-01,-0.15,-0.21,-0.22
1989-11-01,-0.25,-0.31,-0.31
1989-12-01,-0.8,-0.53,-0.46
1990-01-01,-0.33,-0.49,-0.5
1990-02-01,0.03,-0.19,-0.22
1990-03-01,-0.54,-0.4,-0.37
1990-04-01,-0.57,-0.35,-0.31
1990-05-01,-0.61,-0.06,0.04
1990-06-01,-0.19,-0.05,-0.01
1990-07-01,-0.26,0.08,0.12
1990-08-01,-0.0,0.23,0.25
1990-09-01,0.71,0.34,0.28
1990-10-01,0.78,0.24,0.17
1990-11-01,0.96,0.37,0.29
1990-12-01,1.23,0.32,0.19
1991-01-01,-0.08,-0.03,0.01
1991-02-01,-0.64,-0.33,-0.25
1991-03-01,-0.2,-0.15,-0.09
1991-04-01,-0.38,-0.25,-0.19
1991-05-01,-0.6,-0.44,-0.35
1991-06-01,-0.61,-0.19,-0.09
1991-07-01,-0.22,-0.03,0.03
1991-08-01,-0.36,-0.05,0.03
1991-09-01,-1.15,-0.52,-0.38
1991-10-01,-1.41,-0.58,-0.4
1991-11-01,-1.47,-0.6,-0.43
1991-12-01,-1.34,-0.53,-0.36
1992-01-01,-0.8,-0.53,-0.44
1992-02-01,-0.45,-0.23,-0.15
1992-03-01,-0.2,-0.29,-0.26
1992-04-01,-0.39,-0.2,-0.12
1992-05-01,-0.23,-0.16,-0.11
1992-06-01,-0.02,-0.29,-0.28
1992-07-01,-0.57,-0.52,-0.44
1992-08-01,-0.66,-0.62,-0.54
1992-09-01,-0.58,-0.56,-0.48
1992-10-01,-0.64,-0.58,-0.5
1992-11-01,-0.4,-0.27,-0.21
1992-12-01,-0.54,-0.14,-0.06
1993-01-01,-0.23,-0.08,-0.04
1993-02-01,-0.43,-0.43,-0.39
1993-03-01,-0.61,-0.65,-0.6
1993-04-01,-0.46,-0.62,-0.58
1993-05-01,-0.59,-0.71,-0.66
1993-06-01,-0.74,-0.65,-0.59
1993-07-01,-0.46,-0.53,-0.5
1993-08-01,-0.28,-0.34,-0.32
1993-09-01,-0.32,-0.38,-0.36
1993-10-01,-0.18,-0.25,-0.24
1993-11-01,-0.28,-0.44,-0.43
1993-12-01,-0.35,-0.47,-0.46
1994-01-01,-0.19,-0.31,-0.31
1994-02-01,-0.11,-0.22,-0.22
1994-03-01,0.3,0.21,0.19
1994-04-01,0.31,0.44,0.41
1994-05-01,0.42,0.49,0.44
1994-06-01,0.61,0.54,0.49
1994-07-01,0.46,0.68,0.66
1994-08-01,0.46,0.5,0.45
1994-09-01,0.57,0.69,0.63
1994-10-01,0.73,0.89,0.82
1994-11-01,0.77,0.93,0.87
1994-12-01,1.25,0.97,0.83
1995-01-01,0.85,0.92,0.84
1995-02-01,0.76,0.88,0.8
1995-03-01,0.2,0.41,0.38
1995-04-01,0.24,0.1,0.05
1995-05-01,0.22,-0.06,-0.12
1995-06-01,-0.37,-0.47,-0.48
1995-07-01,-0.03,-0.47,-0.52
1995-08-01,-0.02,-0.25,-0.28
1995-09-01,-0.04,-0.34,-0.36
1995-10-01,-0.37,-0.6,-0.6
1995-11-01,-0.59,-0.78,-0.76
1995-12-01,-1.16,-1.05,-0.98
1996-01-01,-0.7,-1.01,-0.99
1996-02-01,-0.64,-0.92,-0.9
1996-03-01,-0.86,-0.68,-0.61
1996-04-01,-0.33,-0.42,-0.41
1996-05-01,-0.22,-0.1,-0.06
1996-06-01,0.17,0.34,0.35
1996-07-01,-0.11,0.16,0.18
1996-08-01,-0.16,0.06,0.09
1996-09-01,-0.08,0.22,0.23
1996-10-01,0.05,0.19,0.2
1996-11-01,0.12,0.18,0.17
1996-12-01,0.21,0.21,0.2
1997-01-01,0.15,0.35,0.36
1997-02-01,0.21,0.37,0.37
1997-03-01,0.62,0.35,0.29
1997-04-01,0.1,0.26,0.26
1997-05-01,-0.11,0.03,0.03
1997-06-01,-0.03,-0.07,-0.07
1997-07-01,-0.05,-0.07,-0.06
1997-08-01,-0.14,-0.14,-0.13
1997-09-01,-0.12,-0.21,-0.21
1997-10-01,-0.19,-0.18,-0.16
1997-11-01,-0.17,-0.12,-0.11
1997-12-01,-0.03,-0.04,-0.05
1998-01-01,-0.4,-0.31,-0.29
1998-02-01,-0.51,-0.36,-0.32
1998-03-01,-0.36,-0.34,-0.31
1998-04-01,-0.51,-0.48,-0.45
1998-05-01,-0.49,-0.38,-0.33
1998-06-01,-0.74,-0.44,-0.38
1998-07-01,-0.35,-0.3,-0.27
1998-08-01,-0.26,-0.24,-0.22
1998-09-01,-0.48,-0.45,-0.4
1998-10-01,-0.63,-0.75,-0.71
1998-11-01,-0.59,-0.59,-0.55
1998-12-01,-0.66,-0.56,-0.49
1999-01-01,-0.36,-0.4,-0.37
1999-02-01,-0.2,-0.3,-0.29
1999-03-01,-0.16,-0.17,-0.16
