date,Initial Claims YoY Chg,Initial Claims - 4 Week Average YoY Chg,Continuing Claims YoY Chg,Continuing Claims - 4 Week Average YoY Chg,Insured Unemployment Rate YoY Chg
1968-01-06,8.82,2.99,4.99,5.21,
1968-01-13,8.82,5.14,7.62,5.18,
1968-01-20,8.33,5.38,7.98,5.09,
1968-01-27,-2.94,3.23,4.9,4.87,
1968-02-03,0.83,-3.38,-2.17,1.25,
1968-02-10,-13.22,-4.69,-2.0,0.99,
1968-02-17,-19.01,-7.42,-4.67,-0.04,
1968-02-24,-20.25,-7.97,-2.84,0.13,
1968-03-02,-23.08,-24.35,-9.23,-6.82,
1968-03-09,-17.41,-24.93,-9.54,-7.38,
1968-03-16,-23.08,-25.5,-9.86,-7.38,
1968-03-23,-19.03,-24.83,-10.41,-7.96,
1968-03-30,-22.27,-24.64,-11.75,-8.61,
1968-04-06,-25.1,-26.8,-16.1,-12.46,
1968-04-13,-32.94,-28.6,-16.1,-13.71,
1968-04-20,-28.24,-30.21,-17.65,-15.21,
1968-04-27,-1.57,-24.62,-15.47,-15.84,
1968-05-04,-8.33,-13.68,-13.89,-15.77,
1968-05-11,-14.91,-11.24,-12.93,-15.54,
1968-05-18,-12.72,-9.54,-14.53,-15.3,
1968-05-25,-14.91,-15.59,-14.37,-15.58,
1968-06-01,-8.72,-15.3,-12.87,-13.76,
1968-06-08,-11.93,-15.52,-10.08,-13.64,
1968-06-15,-11.01,-16.06,-12.21,-13.64,
1968-06-22,-13.3,-16.59,-13.11,-13.9,
1968-06-29,-11.01,-17.13,-14.92,-14.41,
1968-07-06,2.39,-14.95,-14.3,-15.32,
1968-07-13,-11.0,-15.81,-15.94,-15.22,
1968-07-20,-13.88,-16.77,-19.3,-15.76,
1968-07-27,-1.91,-15.59,-19.06,-15.8,
1968-08-03,-3.29,-8.7,-9.15,-12.82,
1968-08-10,2.35,-4.94,-7.8,-12.57,
1968-08-17,-9.86,-3.53,-6.19,-11.04,
1968-08-24,-9.39,-4.94,-7.29,-9.84,
1968-08-31,-11.74,-7.05,-9.83,-10.01,
1968-09-07,-7.35,-11.81,-7.78,-7.89,
1968-09-14,-4.41,-11.46,-9.77,-9.23,
1968-09-21,-6.37,-11.69,-9.51,-10.23,
1968-09-28,-7.35,-11.57,-9.42,-10.57,
1968-10-05,-10.63,-12.34,-8.7,-10.45,
