date,Job Openings: Total Nonfarm YoY Chg,Hires: Total Nonfarm YoY Chg,Total Separations: Total Nonfarm YoY Chg,Quits: Total Nonfarm YoY Chg,Layoffs and Discharges: Total Nonfarm YoY Chg
2001-12-01,-27.73,-11.0,-7.48,-11.21,-4.76
2002-01-01,-29.33,-15.15,-12.41,-12.33,-14.1
2002-02-01,-32.59,-9.47,-5.77,-15.75,6.63
2002-03-01,-24.15,-14.87,-14.55,-18.37,-11.72
2002-04-01,-24.79,-5.3,-8.03,-17.04,3.88
2002-05-01,-21.88,-10.22,-10.32,-15.24,-3.06
2002-06-01,-21.76,-4.7,-6.9,-12.37,0.0
2002-07-01,-24.29,-5.68,-6.06,-13.1,3.14
2002-08-01,-12.6,-6.74,-9.51,-12.53,-4.38
2002-09-01,-18.91,-1.51,-5.11,-6.73,-4.03
2002-10-01,-6.15,-5.51,-13.38,-13.31,-16.56
2002-11-01,-6.91,-2.48,-7.77,-6.13,-13.79
2002-12-01,-13.82,1.33,1.65,-2.27,4.42
2003-01-01,-6.97,4.18,-3.21,-14.62,10.59
2003-02-01,-6.02,-1.81,-1.18,-3.19,1.87
2003-03-01,-14.2,-5.01,-0.15,-3.97,3.51
2003-04-01,-10.46,-6.66,-6.55,-13.15,2.15
2003-05-01,-4.86,-3.69,-2.44,-9.7,5.34
2003-06-01,-0.64,-3.84,-3.46,-8.21,3.03
2003-07-01,-11.46,-6.21,-7.78,-11.32,-1.9
2003-08-01,-9.3,-4.21,-3.45,-14.29,12.43
2003-09-01,-6.36,-1.64,-5.57,-6.62,-4.45
2003-10-01,-5.0,2.17,0.34,-0.33,1.76
2003-11-01,-5.41,-0.52,-1.05,0.33,0.36
2003-12-01,7.73,1.86,-2.9,-2.28,0.0
2004-01-01,-0.49,-3.12,-4.66,-3.09,-3.41
2004-02-01,9.38,1.57,-2.4,-1.69,-1.49
2004-03-01,13.75,16.94,5.2,7.85,5.95
2004-04-01,12.97,12.0,4.32,11.19,0.6
2004-05-01,12.8,6.37,-0.59,5.98,-7.63
2004-06-01,-1.56,6.98,3.77,14.86,-9.1
2004-07-01,27.94,5.43,3.58,14.88,-8.58
2004-08-01,11.0,7.44,4.81,17.81,-8.7
2004-09-01,23.62,5.48,5.19,7.52,4.92
2004-10-01,19.3,5.04,0.78,5.59,-3.35
2004-11-01,4.45,8.68,9.23,15.68,4.41
2004-12-01,19.33,3.39,3.74,10.27,-2.79
2005-01-01,11.1,6.14,6.84,16.06,-1.42
2005-02-01,12.26,10.19,6.75,8.29,4.18
2005-03-01,14.72,0.88,4.84,6.39,5.96
2005-04-01,18.46,4.08,2.97,8.17,-2.64
2005-05-01,2.35,5.93,9.0,13.8,5.59
2005-06-01,21.73,7.33,4.06,3.57,6.78
2005-07-01,11.59,8.93,2.44,4.83,0.69
2005-08-01,16.97,7.9,6.24,14.35,-3.5
2005-09-01,13.9,8.51,10.6,20.35,0.25
2005-10-01,6.11,-0.49,5.45,12.27,-1.58
2005-11-01,22.35,3.15,-2.51,3.8,-13.16
2005-12-01,5.11,2.74,4.15,5.71,-1.44
2006-01-01,15.59,1.35,0.3,7.8,-11.16
2006-02-01,9.08,3.75,3.09,11.84,-8.99
2006-03-01,17.01,4.76,0.08,7.61,-13.71
2006-04-01,15.17,-2.74,1.14,1.35,-5.31
2006-05-01,17.54,4.31,6.22,8.65,-1.48
2006-06-01,13.59,1.47,3.45,10.46,-9.83
2006-07-01,3.24,4.6,7.89,11.41,-2.0
2006-08-01,13.71,-0.67,-0.21,3.35,-6.82
2006-09-01,8.85,-3.73,-5.63,-5.19,-9.89
2006-10-01,9.73,4.9,4.81,4.19,1.33
2006-11-01,9.35,2.83,6.87,5.11,8.88
2006-12-01,7.89,-1.51,-0.62,5.27,-7.85
2007-01-01,8.32,2.94,4.01,0.37,7.74
2007-02-01,8.65,-5.74,-1.53,-1.08,-1.7
