date,U-1 Unemployed 15+ Weeks as % of Labor Force YoY Chg,U-2 Job Losers as % of Labor Force YoY Chg,U-4 + Discouraged Workers YoY Chg,U-5 + Other Marginally Attached YoY Chg,Unemployed Less Than 5 Weeks (000s) YoY Chg,Unemployed 5-14 Weeks (000s) YoY Chg,Unemployed 15-26 Weeks (000s) YoY Chg,Total Unemployed (000s) YoY Chg,Average Duration of Unemployment (Weeks) YoY Chg,Civilian Labor Force Level (000s) YoY Chg,Labor Force Participation Rate YoY Chg,Employment-Population Ratio YoY Chg,Average Weekly Hours - All Employees YoY Chg,Average Hourly Earnings - Production Workers YoY Chg,Hires: Total Nonfarm YoY Chg,Total Separations: Total Nonfarm YoY Chg,Quits: Total Nonfarm YoY Chg,Layoffs and Discharges: Total Nonfarm YoY Chg,Job Openings Rate YoY Chg,Total Separations Rate YoY Chg,Layoffs and Discharges Rate YoY Chg,Multiple Jobholders (000s) YoY Chg,Multiple Jobholders as % of Employed YoY Chg,Part-Time for Economic Reasons (000s) YoY Chg,Aggregate Weekly Payrolls Index YoY Chg,Temp Help Services Employment (000s) YoY Chg,Continuing Claims YoY Chg,Continuing Claims - 4 Week Average YoY Chg,Insured Unemployment Rate YoY Chg
1948-12-01,0.0,,,,20.54,37.28,12.57,19.42,-8.99,1.79,0.5,0.2,,,,,,,,,,,,,,,,,
1949-01-01,0.0,,,,27.1,41.03,15.3,27.63,-7.87,1.12,0.1,-0.4,,,,,,,,,,,,,,,,,
1949-02-01,0.1,,,,16.41,31.31,50.62,22.38,-1.19,0.88,0.1,-0.5,,,,,,,,,,,,,,,,,
1949-03-01,0.2,,,,27.52,23.49,63.74,26.3,-4.6,1.67,0.4,-0.1,,,,,,,,,,,,,,,,,
1949-04-01,0.3,,,,13.07,68.73,51.16,36.63,3.53,0.54,-0.2,-1.0,,,,,,,,,,,,,,,,,
1949-05-01,0.5,,,,64.4,85.84,86.36,75.02,0.0,2.15,0.7,-0.8,,,,,,,,,,,,,,,,,
1949-06-01,0.7,,,,34.34,129.95,123.04,70.55,13.64,-0.01,-0.6,-2.0,,,,,,,,,,,,,,,,,
1949-07-01,0.9,,,,47.1,119.28,186.7,85.77,25.58,0.2,-0.4,-2.1,,,,,,,,,,,,,,,,,
1949-08-01,1.0,,,,24.02,149.07,183.33,78.43,25.0,1.29,0.3,-1.5,,,,,,,,,,,,,,,,,
1949-09-01,1.1,,,,32.61,98.42,261.4,75.89,37.65,1.35,0.2,-1.3,,,,,,,,,,,,,,,,,
