date,Civilian Labor Force Level (000s) YoY Chg,Labor Force Participation Rate YoY Chg,Employment-Population Ratio YoY Chg,Total Nonfarm Payrolls (000s) YoY Chg,Average Hourly Earnings - All Employees YoY Chg,Average Weekly Hours - All Employees YoY Chg,Average Hourly Earnings - Production Workers YoY Chg
1940-01-01,,,,5.61,,,
1940-02-01,,,,5.37,,,
1940-03-01,,,,5.1,,,
1940-04-01,,,,5.34,,,
1940-05-01,,,,5.21,,,
1940-06-01,,,,4.84,,,
1940-07-01,,,,5.01,,,
1940-08-01,,,,5.51,,,
1940-09-01,,,,5.73,,,
1940-10-01,,,,5.91,,,
1940-11-01,,,,6.99,,,
1940-12-01,,,,8.34,,,
1941-01-01,,,,9.11,,,
1941-02-01,,,,9.86,,,
1941-03-01,,,,10.27,,,
1941-04-01,,,,11.88,,,
1941-05-01,,,,13.5,,,
1941-06-01,,,,14.61,,,
1941-07-01,,,,16.26,,,
1941-08-01,,,,16.05,,,
1941-09-01,,,,15.32,,,
1941-10-01,,,,14.07,,,
1941-11-01,,,,12.93,,,
1941-12-01,,,,11.5,,,
1942-01-01,,,,11.21,,,
1942-02-01,,,,10.53,,,
1942-03-01,,,,10.95,,,
1942-04-01,,,,10.95,,,
1942-05-01,,,,9.92,,,
1942-06-01,,,,9.22,,,
1942-07-01,,,,8.98,,,
1942-08-01,,,,9.17,,,
1942-09-01,,,,9.05,,,
1942-10-01,,,,9.4,,,
1942-11-01,,,,9.6,,,
1942-12-01,,,,10.0,,,
1943-01-01,,,,9.97,,,
1943-02-01,,,,10.08,,,
1943-03-01,,,,9.29,,,
1943-04-01,,,,8.37,,,
1943-05-01,,,,7.1,,,
1943-06-01,,,,6.88,,,
1943-07-01,,,,5.51,,,
1943-08-01,,,,3.8,,,
1943-09-01,,,,2.99,,,
1943-10-01,,,,2.79,,,
1943-11-01,,,,2.75,,,
1943-12-01,,,,1.98,,,
1944-01-01,,,,1.14,,,
1944-02-01,,,,0.34,,,
1944-03-01,,,,-0.61,,,
1944-04-01,,,,-1.37,,,
1944-05-01,,,,-1.43,,,
1944-06-01,,,,-1.95,,,
1944-07-01,,,,-1.86,,,
1944-08-01,,,,-1.64,,,
1944-09-01,,,,-1.91,,,
1944-10-01,,,,-2.27,,,
1944-11-01,,,,-2.59,,,
1944-12-01,,,,-2.07,,,
1945-01-01,,,,-1.78,,,
1945-02-01,,,,-1.51,,,
1945-03-01,,,,-1.17,,,
1945-04-01,,,,-1.47,,,
1945-05-01,,,,-1.62,,,
1945-06-01,,,,-1.9,,,
1945-07-01,,,,-2.46,,,
1945-08-01,,,,-3.31,,,
1945-09-01,,,,-7.61,,,
1945-10-01,,,,-7.45,,,
1945-11-01,,,,-6.51,,,
1945-12-01,,,,-6.57,,,
1946-01-01,,,,-4.93,,,
1946-02-01,,,,-6.33,,,
1946-03-01,,,,-3.84,,,
1946-04-01,,,,-1.29,,,
1946-05-01,,,,0.11,,,
1946-06-01,,,,1.42,,,
1946-07-01,,,,3.13,,,
1946-08-01,,,,5.38,,,
1946-09-01,,,,11.45,,,
1946-10-01,,,,11.64,,,
1946-11-01,,,,11.28,,,
1946-12-01,,,,10.92,,,
1947-01-01,,,,9.3,,,
1947-02-01,,,,10.99,,,
1947-03-01,,,,8.49,,,
1947-04-01,,,,6.32,,,
1947-05-01,,,,5.54,,,
1947-06-01,,,,4.97,,,
1947-07-01,,,,3.77,,,
1947-08-01,,,,3.09,,,
1947-09-01,,,,3.0,,,
1947-10-01,,,,3.06,,,
1947-11-01,,,,2.51,,,
1947-12-01,,,,2.77,,,
1948-01-01,,,,2.63,,,
1948-02-01,,,,2.24,,,
1948-03-01,,,,2.47,,,
1948-04-01,,,,2.02,,,
1948-05-01,,,,2.65,,,
1948-06-01,,,,2.79,,,
1948-07-01,,,,3.24,,,
1948-08-01,,,,2.77,,,
