date,Multiple Jobholders (000s) YoY Chg,Multiple Jobholders as % of Employed YoY Chg,Part-Time for Economic Reasons (000s) YoY Chg,Aggregate Weekly Payrolls Index YoY Chg,Temp Help Services Employment (000s) YoY Chg,Initial Claims - 4 Week Average YoY Chg,Layoffs and Discharges Rate YoY Chg
1956-05-01,,,6.35,,,,
1956-06-01,,,17.61,,,,
1956-07-01,,,7.72,,,,
1956-08-01,,,6.81,,,,
1956-09-01,,,12.47,,,,
1956-10-01,,,15.48,,,,
1956-11-01,,,9.78,,,,
1956-12-01,,,7.31,,,,
1957-01-01,,,6.24,,,,
1957-02-01,,,16.24,,,,
1957-03-01,,,22.98,,,,
1957-04-01,,,11.31,,,,
1957-05-01,,,8.34,,,,
1957-06-01,,,6.22,,,,
1957-07-01,,,7.08,,,,
1957-08-01,,,3.7,,,,
1957-09-01,,,3.54,,,,
1957-10-01,,,9.27,,,,
1957-11-01,,,9.49,,,,
1957-12-01,,,17.61,,,,
1958-01-01,,,44.15,,,,
1958-02-01,,,41.67,,,,
1958-03-01,,,63.12,,,,
1958-04-01,,,63.95,,,,
1958-05-01,,,51.54,,,,
1958-06-01,,,34.89,,,,
1958-07-01,,,20.66,,,,
1958-08-01,,,30.25,,,,
1958-09-01,,,27.46,,,,
1958-10-01,,,12.42,,,,
1958-11-01,,,6.13,,,,
1958-12-01,,,4.17,,,,
1959-01-01,,,-16.47,,,,
1959-02-01,,,-26.83,,,,
1959-03-01,,,-28.35,,,,
1959-04-01,,,-30.75,,,,
1959-05-01,,,-34.68,,,,
1959-06-01,,,-23.86,,,,
1959-07-01,,,-9.71,,,,
1959-08-01,,,-18.22,,,,
1959-09-01,,,-20.81,,,,
1959-10-01,,,-8.05,,,,
1959-11-01,,,-0.21,,,,
1959-12-01,,,-3.22,,,,
1960-01-01,,,-8.8,,,,
1960-02-01,,,1.99,,,,
1960-03-01,,,-15.5,,,,
1960-04-01,,,6.83,,,,
1960-05-01,,,16.15,,,,
1960-06-01,,,14.2,,,,
1960-07-01,,,6.07,,,,
1960-08-01,,,12.85,,,,
1960-09-01,,,22.5,,,,
1960-10-01,,,12.42,,,,
1960-11-01,,,11.43,,,,
1960-12-01,,,20.89,,,,
1961-01-01,,,36.74,,,,
1961-02-01,,,38.83,,,,
1961-03-01,,,38.25,,,,
1961-04-01,,,19.0,,,,
1961-05-01,,,19.61,,,,
1961-06-01,,,8.51,,,,
1961-07-01,,,7.24,,,,
1961-08-01,,,7.47,,,,
1961-09-01,,,-3.09,,,,
1961-10-01,,,-5.08,,,,
1961-11-01,,,-7.82,,,,
1961-12-01,,,-19.97,,,,
1962-01-01,,,-30.22,,,,
1962-02-01,,,-26.12,,,,
1962-03-01,,,-16.3,,,,
1962-04-01,,,-21.21,,,,
1962-05-01,,,-15.69,,,,
1962-06-01,,,-14.85,,,,
1962-07-01,,,-9.09,,,,
1962-08-01,,,-16.69,,,,
1962-09-01,,,-10.11,,,,
