date,MBA Purchase Index YoY Chg,MBA Purchase Index 4-Week Avg YoY Chg,MBA Purchase Index 13-Week Avg YoY Chg
1991-01-04,-16.21,,
1991-01-11,29.65,,
1991-01-18,-8.7,,
1991-01-25,-21.93,-5.43,
1991-02-01,-18.36,-6.38,
1991-02-08,-9.44,-14.73,
1991-02-15,-1.5,-13.1,
1991-02-22,18.69,-1.37,
1991-03-01,13.09,6.11,
1991-03-08,8.34,10.27,
1991-03-15,19.15,15.07,
1991-03-22,25.56,16.59,
1991-03-29,53.01,27.09,6.98
1991-04-05,21.68,30.37,9.51
1991-04-12,-1.58,23.54,7.2
1991-04-19,39.41,26.43,10.58
1991-04-26,41.01,22.74,15.41
1991-05-03,30.92,24.85,19.1
1991-05-10,32.05,35.82,22.23
1991-05-17,38.15,35.54,25.21
1991-05-24,33.85,33.78,26.54
1991-05-31,27.7,32.71,27.73
1991-06-07,28.46,31.74,29.25
1991-06-14,19.5,27.37,29.24
1991-06-21,31.41,26.69,29.68
1991-06-28,28.79,26.91,27.68
1991-07-05,23.58,25.55,27.78
1991-07-12,32.9,28.92,31.08
1991-07-19,50.52,33.62,31.95
1991-07-26,21.4,31.84,30.52
1991-08-02,12.39,28.95,29.04
1991-08-09,-0.88,19.74,26.24
1991-08-16,21.87,12.91,25.07
1991-08-23,19.63,12.59,24.0
1991-08-30,44.2,19.54,25.01
1991-09-06,37.89,30.25,25.56
1991-09-13,31.6,32.69,26.5
1991-09-20,25.4,34.54,26.07
1991-09-27,37.04,32.88,26.65
1991-10-04,28.78,30.69,27.08
1991-10-11,51.2,35.69,28.46
1991-10-18,70.66,45.58,29.17
1991-10-25,53.29,49.73,31.41
1991-11-01,24.31,48.63,32.57
1991-11-08,29.63,42.69,35.65
1991-11-15,43.09,37.11,37.33
1991-11-22,40.53,34.28,39.15
1991-11-29,-0.33,26.98,35.24
1991-12-06,21.42,24.88,33.86
1991-12-13,23.9,20.46,33.17
1991-12-20,23.48,16.87,33.03
1991-12-27,47.29,27.06,33.44
1992-01-03,38.1,31.28,34.14
1992-01-10,13.15,27.17,30.57
1992-01-17,61.15,37.87,30.84
1992-01-24,76.31,45.42,32.8
1992-01-31,100.39,58.67,38.36
1992-02-07,70.14,76.18,41.5
1992-02-14,50.43,73.24,42.15
1992-02-21,-5.96,44.35,36.37
1992-02-28,-4.72,21.65,35.47
1992-03-06,19.88,11.89,35.25
1992-03-13,15.0,4.71,34.38
1992-03-20,-5.57,5.38,31.24
1992-03-27,-19.9,-0.28,24.87
1992-04-03,-1.33,-4.6,22.17
1992-04-10,-2.49,-8.3,20.85
1992-04-17,29.51,-0.03,18.86
1992-04-24,-4.62,5.31,13.6
1992-05-01,3.94,6.54,8.22
1992-05-08,-0.97,6.9,3.97
1992-05-15,-4.84,-1.76,0.42
1992-05-22,-2.92,-1.34,0.76
1992-05-29,6.04,-0.52,1.62
