date,Xactus Mortgage Intent Index YoY Chg,Xactus MII 4-Week Avg YoY Chg,Xactus MII 13-Week Avg YoY Chg
2025-01-03,-7.49,,
2025-01-10,10.58,,
2025-01-17,16.9,,
2025-01-24,-5.8,3.9,
2025-01-31,3.01,5.87,
2025-02-07,1.67,3.59,
2025-02-14,7.06,1.49,
2025-02-21,3.69,3.79,
2025-02-28,8.82,5.27,
2025-03-07,6.77,6.62,
2025-03-14,9.52,7.25,
2025-03-21,7.63,8.16,
2025-03-28,16.99,10.09,6.3
2025-04-04,18.09,12.92,7.98
2025-04-11,9.59,12.96,7.92
2025-04-18,2.28,11.6,6.89
2025-04-25,2.13,7.95,7.44
2025-05-02,4.74,4.7,7.57
2025-05-09,8.75,4.46,8.13
2025-05-16,8.54,6.01,8.24
2025-05-23,8.74,7.65,8.61
2025-05-30,6.92,8.3,8.48
2025-06-06,6.19,7.61,8.45
2025-06-13,3.27,6.21,7.97
2025-06-20,1.93,4.53,7.57
2025-06-27,3.24,3.7,6.5
2025-07-04,16.29,5.53,6.14
2025-07-11,10.34,7.44,6.17
2025-07-18,13.94,10.53,7.08
2025-07-25,7.36,11.7,7.52
2025-08-01,4.29,8.94,7.5
2025-08-08,1.05,6.49,6.85
2025-08-15,3.23,3.9,6.42
2025-08-22,0.39,2.21,5.75
2025-08-29,-3.0,0.42,4.96
2025-09-05,-4.04,-0.81,4.17
2025-09-12,-0.35,-1.69,3.86
2025-09-19,-4.5,-2.94,3.23
2025-09-26,-7.79,-4.19,2.27
2025-10-03,-6.88,-4.87,0.75
2025-10-10,-0.46,-5.02,-0.03
2025-10-17,3.86,-3.1,-0.72
2025-10-24,4.03,-0.09,-0.95
2025-10-31,12.31,4.72,-0.44
2025-11-07,17.4,9.19,0.66
2025-11-14,10.44,10.9,1.15
2025-11-21,8.98,12.24,1.76
2025-11-28,5.78,11.1,2.33
2025-12-05,2.36,7.01,2.81
2025-12-12,4.34,5.35,3.2
2025-12-19,5.96,4.43,4.14
2025-12-26,2.76,3.95,5.28
2026-01-02,-7.87,1.53,5.66
2026-01-09,5.62,2.15,6.22
2026-01-16,13.33,4.82,7.1
2026-01-23,12.24,6.91,7.81
2026-01-30,-4.19,6.58,6.32
2026-02-06,-2.29,4.47,4.61
2026-02-13,4.8,2.3,4.15
2026-02-20,6.6,1.17,3.98
2026-02-27,6.38,3.84,4.12
2026-03-06,5.02,5.68,4.34
2026-03-13,2.99,5.19,4.21
2026-03-20,-1.42,3.23,3.61
2026-03-27,-5.11,0.39,2.88
2026-04-03,-9.84,-3.38,2.33
2026-04-10,-5.45,-5.49,1.46
2026-04-17,5.04,-4.04,0.87
2026-04-24,4.31,-1.81,0.4
