date,New Single-Family Homes Sold (SAAR) YoY Chg,Median Sales Price - New Homes YoY Chg,Average Sales Price - New Homes YoY Chg,Months Supply of New Houses YoY Chg,New Houses For Sale (SAAR) YoY Chg
1963-12-01,-13.03,8.72,,29.79,12.34
1964-01-01,-7.11,3.49,,23.4,11.06
1964-02-01,31.25,1.69,,-16.67,10.08
1964-03-01,21.91,4.4,,-9.38,8.68
1964-04-01,-7.6,3.3,,13.21,5.69
1964-05-01,-10.75,10.29,,21.57,7.26
1964-06-01,10.27,4.44,,-5.0,4.35
1964-07-01,-13.53,3.8,,19.57,3.54
1964-08-01,2.11,6.18,,-3.57,-2.27
1964-09-01,0.0,5.59,,0.0,-0.39
1964-10-01,2.82,7.39,,-10.17,-7.66
1964-11-01,-5.35,4.89,,1.82,-3.49
1964-12-01,5.06,12.3,,-9.84,-5.3
1965-01-01,-2.91,16.29,,-3.45,-4.98
1965-02-01,-8.21,13.33,,0.0,-4.2
1965-03-01,-1.07,4.21,,-6.9,-7.6
1965-04-01,-0.72,5.85,,-6.67,-6.92
1965-05-01,4.02,1.55,,-14.52,-10.53
1965-06-01,5.86,5.32,,-17.54,-10.98
1965-07-01,-3.65,9.95,,-5.45,-10.65
1965-08-01,5.67,6.88,,-14.81,-10.08
1965-09-01,-0.51,3.7,,-9.26,-9.77
1965-10-01,-4.8,5.29,,-5.66,-10.28
1965-11-01,12.41,6.74,,-17.86,-7.23
1965-12-01,12.78,-3.33,,-20.0,-9.6
1966-01-01,12.38,2.42,,-16.07,-8.06
1966-02-01,-3.22,2.45,,-10.91,-10.76
1966-03-01,0.18,5.05,,-7.41,-7.41
1966-04-01,-1.8,15.58,,-8.93,-8.68
1966-05-01,-8.27,13.78,,0.0,-9.24
1966-06-01,-29.32,7.07,,27.66,-8.94
1966-07-01,-21.48,3.81,,13.46,-10.64
1966-08-01,-38.7,2.48,,47.83,-10.34
1966-09-01,-39.01,13.27,,46.94,-9.96
1966-10-01,-30.27,4.52,,26.0,-12.33
1966-11-01,-37.99,5.34,,34.78,-16.45
1966-12-01,-39.41,6.9,,43.18,-14.16
1967-01-01,-30.55,4.72,,21.28,-15.35
1967-02-01,-24.58,7.18,,16.33,-13.39
1967-03-01,-21.18,7.69,,8.0,-15.11
1967-04-01,-12.11,-3.04,,-3.92,-15.38
1967-05-01,0.8,6.28,,-15.09,-13.43
1967-06-01,14.98,12.74,,-23.33,-11.68
1967-07-01,18.39,6.88,,-25.42,-12.38
1967-08-01,33.69,4.83,,-35.29,-12.98
1967-09-01,48.32,2.7,,-40.28,-11.54
1967-10-01,46.25,7.21,,-34.92,-5.53
1967-11-01,30.89,6.45,,-25.81,-3.63
1967-12-01,36.04,2.3,,-25.4,-3.61
1968-01-01,18.75,5.41,,-17.54,-2.07
1968-02-01,33.09,4.91,,-28.07,-1.55
1968-03-01,11.62,9.82,,-11.11,0.52
1968-04-01,4.59,9.87,,0.0,5.88
1968-05-01,-12.33,6.75,,22.22,6.42
1968-06-01,-11.62,6.28,,19.57,6.35
1968-07-01,-4.27,5.58,,15.91,10.33
1968-08-01,0.6,15.21,,13.64,13.81
1968-09-01,-5.65,9.65,,18.6,13.04
1968-10-01,-11.31,14.8,,26.83,12.23
1968-11-01,-6.2,6.49,,21.74,15.05
1968-12-01,1.79,19.37,,10.64,13.9
1969-01-01,-2.83,5.13,,17.02,13.76
1969-02-01,-3.5,10.64,,19.51,12.57
1969-03-01,-3.27,6.5,,18.75,12.5
1969-04-01,-10.18,5.71,,22.45,10.1
1969-05-01,1.36,6.32,,10.91,11.06
1969-06-01,4.54,-0.79,,5.45,10.95
1969-07-01,-11.56,8.94,,23.53,10.34
1969-08-01,-16.77,-0.4,,30.0,8.25
1969-09-01,-20.96,4.0,,35.29,7.69
1969-10-01,-20.12,-4.69,,34.62,7.58
1969-11-01,-5.97,1.22,,10.71,3.74
1969-12-01,-11.55,-5.28,,17.31,4.23
1970-01-01,-3.96,-4.07,,0.0,-0.93
1970-02-01,-28.82,-7.31,,46.94,0.0
1970-03-01,-17.93,-8.02,,19.3,0.46
1970-04-01,-1.11,-6.56,,0.0,-0.46
1970-05-01,4.25,-4.46,,-6.56,-1.81
1970-06-01,5.21,-5.56,,-5.17,-2.69
1970-07-01,10.32,-14.55,,-14.29,-1.79
1970-08-01,22.04,-5.62,,-21.54,-2.24
1970-09-01,42.42,-13.08,,-31.88,-2.68
1970-10-01,35.91,-9.43,,-31.43,-4.85
1970-11-01,29.25,-5.62,,-25.81,-4.5
1970-12-01,28.76,-11.16,,-22.95,-0.9
1971-01-01,34.06,1.27,,-21.82,3.29
1971-02-01,65.68,1.66,,-38.89,1.4
1971-03-01,75.06,0.83,,-41.18,3.23
1971-04-01,48.76,6.61,,-30.0,5.53
1971-05-01,32.62,-0.78,,-19.3,8.76
1971-06-01,33.2,9.66,,-14.55,12.9
1971-07-01,46.78,10.04,,-24.07,12.73
1971-08-01,27.96,7.66,,-7.84,16.51
1971-09-01,10.82,12.39,,10.64,20.64
1971-10-01,18.72,15.84,,4.17,25.0
1971-11-01,24.56,9.36,,6.52,31.13
1971-12-01,18.38,13.45,,8.51,30.45
1972-01-01,12.94,3.35,,20.93,34.55
1972-02-01,15.05,8.16,,22.73,40.37
1972-03-01,-6.02,12.76,,52.5,41.96
1972-04-01,3.32,3.49,,38.1,41.92
1972-05-01,9.55,5.88,,32.61,43.22
1972-06-01,6.35,2.68,,34.04,44.49
1972-07-01,-3.54,9.92,,53.66,45.16
1972-08-01,17.3,11.07,,27.66,47.64
1972-09-01,22.72,10.24,,19.23,45.25
1972-10-01,30.29,12.89,,14.0,45.19
1972-11-01,3.52,13.23,,38.78,43.88
1972-12-01,12.05,17.39,,27.45,42.51
1973-01-01,11.89,21.05,,25.0,39.86
1973-02-01,3.66,12.08,,25.93,36.27
1973-03-01,13.28,14.6,,14.75,30.5
1973-04-01,-3.36,22.85,,32.76,28.31
1973-05-01,-2.51,18.52,,22.95,23.37
1973-06-01,-5.39,23.51,,23.81,18.93
1973-07-01,-11.75,23.47,,38.1,19.17
1973-08-01,-26.78,18.15,,56.67,15.2
1973-09-01,-26.86,18.57,,53.23,12.04
1973-10-01,-32.98,15.22,,64.91,7.91
1973-11-01,-25.58,16.84,,41.18,4.25
1973-12-01,-32.77,20.2,,55.38,2.2
1974-01-01,-33.03,14.38,,49.23,0.0
1974-02-01,-26.87,17.51,,41.18,0.72
1974-03-01,-21.1,14.65,,25.71,-1.2
1974-04-01,-17.7,8.84,,18.18,-2.4
1974-05-01,-10.61,11.56,,6.67,-4.32
1974-06-01,-17.85,6.04,,14.1,-6.89
1974-07-01,-11.15,7.6,,1.15,-11.42
1974-08-01,-13.07,7.53,,-1.06,-13.66
1974-09-01,-8.91,9.04,,-4.21,-15.42
1974-10-01,-20.71,11.71,,4.26,-15.84
1974-11-01,-17.73,9.71,,1.04,-16.07
1974-12-01,-19.65,4.76,,1.98,-17.22
1975-01-01,-20.46,8.77,,2.06,-16.18
1975-02-01,-21.71,8.6,,8.33,-16.43
1975-03-01,-16.61,7.78,,1.14,-17.8
1975-04-01,-0.18,9.8,,-20.88,-19.16
1975-05-01,-1.86,10.64,,-15.0,-19.05
1975-06-01,4.31,7.98,,-19.1,-18.37
1975-07-01,6.55,4.89,,-20.45,-16.05
1975-08-01,15.04,7.0,,-26.88,-14.48
1975-09-01,8.81,9.67,,-19.78,-11.88
1975-10-01,35.94,9.41,,-32.65,-8.99
1975-11-01,51.11,10.19,,-40.21,-9.71
1975-12-01,60.43,12.57,16.2,-43.69,-9.54
1976-01-01,44.95,11.83,14.68,-35.35,-10.09
1976-02-01,52.61,12.66,13.05,-43.27,-12.25
1976-03-01,23.9,12.37,11.16,-23.6,-5.04
1976-04-01,12.52,10.46,11.43,-11.11,-2.13
1976-05-01,-1.55,10.38,9.95,2.94,2.48
1976-06-01,6.1,21.64,15.76,-4.17,4.69
1976-07-01,16.7,15.54,13.48,-8.57,5.96
1976-08-01,14.49,15.71,17.72,-8.82,5.33
1976-09-01,25.18,12.59,11.06,-15.07,6.58
1976-10-01,16.26,11.3,14.81,-12.12,6.17
1976-11-01,8.09,11.44,14.42,3.45,10.44
1976-12-01,14.65,9.03,10.24,-3.45,12.78
1977-01-01,36.82,9.38,11.92,-17.19,13.46
1977-02-01,30.28,11.01,14.6,-13.56,15.91
1977-03-01,47.55,5.96,10.26,-26.47,12.19
1977-04-01,30.77,12.47,16.67,-14.06,12.42
1977-05-01,41.58,13.07,14.53,-22.86,9.97
1977-06-01,36.21,5.64,9.55,-20.29,9.85
1977-07-01,13.7,8.97,11.67,-4.69,10.95
1977-08-01,24.69,10.86,11.96,-6.45,15.18
1977-09-01,20.98,8.5,11.83,-4.84,14.12
1977-10-01,15.68,13.47,13.49,5.17,15.12
1977-11-01,12.79,13.1,15.6,0.0,14.61
1977-12-01,8.87,14.81,13.83,7.14,13.88
1978-01-01,-3.64,14.95,15.38,11.32,14.12
1978-02-01,-5.72,12.24,12.36,23.53,13.17
1978-03-01,-6.65,15.15,16.09,22.0,12.53
1978-04-01,8.14,9.45,8.61,5.45,12.98
1978-05-01,6.2,12.98,14.52,9.26,13.46
1978-06-01,3.6,16.43,17.25,12.73,13.86
1978-07-01,4.5,12.76,17.35,8.2,11.73
1978-08-01,-6.44,14.49,16.02,13.79,8.01
1978-09-01,-3.56,18.14,19.48,0.0,7.22
1978-10-01,6.47,13.42,14.86,-6.56,2.78
1978-11-01,-3.74,13.32,14.71,8.33,3.5
1978-12-01,-3.59,13.66,17.01,1.67,2.99
1979-01-01,-5.16,15.3,15.73,11.86,1.73
1979-02-01,-8.6,15.04,16.24,7.94,0.99
1979-03-01,-2.58,13.53,14.36,8.2,4.21
1979-04-01,-13.43,17.45,19.73,17.24,2.93
1979-05-01,-15.17,12.75,15.25,20.34,3.63
1979-06-01,-16.07,13.23,17.56,19.35,0.24
1979-07-01,-9.38,16.42,14.31,7.58,0.24
1979-08-01,-3.57,14.08,17.46,4.55,0.24
1979-09-01,-10.47,15.18,19.25,25.42,-0.72
1979-10-01,-23.17,6.86,8.83,29.82,0.25
