date,PCE Price Index YoY Chg,Core PCE (Less Food & Energy) YoY Chg,"Trimmed-Mean PCE (12-mo % chg, Dallas Fed) YoY Chg"
1959-12-01,1.75,2.05,
1960-01-01,1.69,2.07,
1960-02-01,1.7,2.19,
1960-03-01,1.69,2.07,
1960-04-01,1.86,2.0,
1960-05-01,1.91,2.05,
1960-06-01,1.66,1.8,
1960-07-01,1.63,1.74,
1960-08-01,1.66,1.73,
1960-09-01,1.45,1.54,
1960-10-01,1.32,1.43,
1960-11-01,1.6,1.51,
1960-12-01,1.5,1.33,
1961-01-01,1.58,1.33,
1961-02-01,1.57,1.24,
1961-03-01,1.45,1.26,
1961-04-01,1.03,1.22,
1961-05-01,0.98,1.18,
1961-06-01,0.98,1.28,
1961-07-01,1.02,1.25,
1961-08-01,0.93,1.21,
1961-09-01,0.99,1.33,
1961-10-01,0.87,1.31,
1961-11-01,0.53,1.05,
1961-12-01,0.54,1.17,
1962-01-01,0.71,1.27,
1962-02-01,0.89,1.33,
1962-03-01,1.08,1.54,
1962-04-01,1.25,1.42,
1962-05-01,1.26,1.43,
1962-06-01,1.28,1.46,
1962-07-01,1.0,1.39,
1962-08-01,1.06,1.3,
1962-09-01,1.44,1.3,
1962-10-01,1.35,1.26,
1962-11-01,1.41,1.31,
1962-12-01,1.35,1.26,
1963-01-01,1.4,1.33,
1963-02-01,1.24,1.28,
1963-03-01,1.02,1.1,
1963-04-01,0.9,1.21,
1963-05-01,1.0,1.25,
1963-06-01,1.16,1.24,
1963-07-01,1.42,1.24,
1963-08-01,1.41,1.32,
1963-09-01,0.9,1.3,
1963-10-01,1.19,1.54,
1963-11-01,1.27,1.55,
1963-12-01,1.45,1.67,
1964-01-01,1.42,1.62,
1964-02-01,1.45,1.69,
1964-03-01,1.6,1.73,
1964-04-01,1.68,1.7,
1964-05-01,1.53,1.6,
1964-06-01,1.45,1.5,
1964-07-01,1.38,1.51,
1964-08-01,1.32,1.55,
1964-09-01,1.49,1.41,
1964-10-01,1.36,1.22,
1964-11-01,1.35,1.28,
1964-12-01,1.35,1.28,
1965-01-01,1.25,1.27,
1965-02-01,1.15,1.2,
1965-03-01,1.22,1.16,
1965-04-01,1.3,1.19,
1965-05-01,1.52,1.29,
1965-06-01,1.67,1.2,
1965-07-01,1.61,1.19,
1965-08-01,1.56,1.25,
1965-09-01,1.46,1.33,
1965-10-01,1.42,1.25,
1965-11-01,1.45,1.3,
1965-12-01,1.67,1.46,
1966-01-01,1.68,1.35,
1966-02-01,2.06,1.48,
1966-03-01,2.18,1.55,
1966-04-01,2.37,1.8,
1966-05-01,2.26,1.88,
1966-06-01,2.22,2.23,
1966-07-01,2.35,2.43,
1966-08-01,2.71,2.43,
1966-09-01,2.99,2.62,
1966-10-01,3.23,2.99,
1966-11-01,3.21,3.06,
1966-12-01,3.05,3.06,
1967-01-01,2.93,3.12,
1967-02-01,2.63,3.06,
1967-03-01,2.43,3.08,
1967-04-01,2.25,3.0,
1967-05-01,2.32,2.95,
1967-06-01,2.39,2.88,
1967-07-01,2.54,2.92,
1967-08-01,2.47,3.05,
1967-09-01,2.45,3.1,
1967-10-01,2.47,3.15,
1967-11-01,2.66,3.22,
1967-12-01,2.61,3.16,
1968-01-01,3.08,3.52,
1968-02-01,3.38,3.78,
1968-03-01,3.66,4.03,
1968-04-01,3.81,4.13,
1968-05-01,3.99,4.29,
1968-06-01,4.0,4.44,
1968-07-01,3.96,4.43,
1968-08-01,4.06,4.52,
1968-09-01,4.11,4.57,
1968-10-01,4.27,4.6,
1968-11-01,4.28,4.67,
1968-12-01,4.33,4.72,
1969-01-01,4.25,4.65,
1969-02-01,4.1,4.56,
1969-03-01,4.25,4.63,
1969-04-01,4.38,4.65,
1969-05-01,4.41,4.68,
1969-06-01,4.58,4.63,
1969-07-01,4.72,4.76,
1969-08-01,4.58,4.65,
1969-09-01,4.65,4.65,
1969-10-01,4.55,4.67,
1969-11-01,4.65,4.67,
1969-12-01,4.91,4.75,
1970-01-01,4.88,4.7,
1970-02-01,5.03,4.74,
1970-03-01,4.79,4.64,
1970-04-01,4.86,4.65,
1970-05-01,4.77,4.61,
1970-06-01,4.54,4.62,
1970-07-01,4.46,4.53,
1970-08-01,4.45,4.6,
1970-09-01,4.48,4.62,
1970-10-01,4.65,4.68,
1970-11-01,4.6,4.82,
1970-12-01,4.59,4.96,
1971-01-01,4.44,5.03,
1971-02-01,4.33,5.02,
1971-03-01,4.41,4.97,
1971-04-01,4.3,4.95,
1971-05-01,4.4,5.03,
1971-06-01,4.59,5.07,
1971-07-01,4.52,5.07,
1971-08-01,4.55,4.86,
1971-09-01,4.24,4.59,
1971-10-01,3.88,4.24,
1971-11-01,3.69,3.94,
1971-12-01,3.64,3.75,
1972-01-01,3.84,3.78,
1972-02-01,3.95,3.67,
1972-03-01,3.76,3.54,
1972-04-01,3.51,3.39,
1972-05-01,3.31,3.18,
1972-06-01,3.01,2.98,
1972-07-01,3.07,2.88,
1972-08-01,3.07,2.96,
1972-09-01,3.37,3.13,
1972-10-01,3.33,3.03,
1972-11-01,3.42,3.07,
1972-12-01,3.35,3.05,
1973-01-01,3.24,2.68,
1973-02-01,3.37,2.73,
1973-03-01,3.96,2.94,
1973-04-01,4.57,3.3,
1973-05-01,4.85,3.46,
1973-06-01,5.29,3.69,
1973-07-01,5.3,3.84,
1973-08-01,6.2,4.1,
1973-09-01,6.15,4.28,
1973-10-01,6.63,4.62,
1973-11-01,7.18,4.85,
1973-12-01,7.72,5.12,
1974-01-01,8.43,5.57,
1974-02-01,9.12,5.91,
1974-03-01,9.6,6.3,
1974-04-01,9.56,6.48,
1974-05-01,10.1,7.09,
1974-06-01,10.41,7.72,
1974-07-01,10.82,8.22,
1974-08-01,10.7,8.75,
1974-09-01,11.41,9.18,
1974-10-01,11.57,9.61,
1974-11-01,11.5,9.88,
1974-12-01,11.46,10.04,
1975-01-01,11.09,10.14,
1975-02-01,10.41,10.22,
1975-03-01,9.51,9.94,
1975-04-01,9.11,9.65,
1975-05-01,8.48,9.07,
1975-06-01,8.24,8.49,
1975-07-01,8.37,8.2,
1975-08-01,7.71,7.54,
1975-09-01,7.13,7.16,
1975-10-01,6.99,6.86,
1975-11-01,6.87,6.78,
1975-12-01,6.62,6.68,
1976-01-01,6.36,6.6,
1976-02-01,5.93,6.28,
1976-03-01,5.73,6.07,
1976-04-01,5.61,5.97,
1976-05-01,5.69,6.02,
1976-06-01,5.49,5.94,
1976-07-01,5.13,5.87,
1976-08-01,5.25,6.11,
1976-09-01,5.32,6.16,
1976-10-01,5.26,6.15,
1976-11-01,5.06,5.93,
1976-12-01,5.07,5.86,
1977-01-01,5.28,5.97,
1977-02-01,5.97,6.19,
1977-03-01,6.34,6.29,
1977-04-01,6.72,6.4,
1977-05-01,6.75,6.44,
