date,Output Per Hour - Nonfarm Business YoY Chg,Unit Labor Costs - Nonfarm Business YoY Chg
1947-10-01,3.31,
1948-01-01,3.78,-80.85
1948-04-01,1.2,-111.7
1948-07-01,4.51,-103.42
1948-10-01,0.74,-89.94
1949-01-01,1.3,127.78
1949-04-01,2.62,-481.82
1949-07-01,4.96,2375.0
1949-10-01,3.93,-216.67
1950-01-01,6.42,251.22
1950-04-01,6.62,19.05
1950-07-01,6.4,-9.09
1950-10-01,7.17,-133.33
1951-01-01,3.73,-97.22
1951-04-01,2.15,-124.0
1951-07-01,2.2,2.22
1951-10-01,2.32,71.43
1952-01-01,2.73,425.0
1952-04-01,2.85,-33.33
1952-07-01,0.12,-120.65
1952-10-01,1.93,625.0
1953-01-01,2.3,66.67
1953-04-01,2.75,-212.5
1953-07-01,3.69,-189.47
1953-10-01,1.18,-116.09
1954-01-01,0.52,-77.14
1954-04-01,0.98,211.11
1954-07-01,2.36,335.29
1954-10-01,3.88,-428.57
1955-01-01,5.71,912.5
1955-04-01,5.34,-50.0
1955-07-01,3.85,-79.73
1955-10-01,2.33,-130.43
1956-01-01,-0.86,-158.02
1956-04-01,-0.72,42.86
1956-07-01,-1.09,-106.67
1956-10-01,0.33,-414.29
1957-01-01,2.72,-200.0
1957-04-01,1.81,-180.0
1957-07-01,3.25,-5800.0
1957-10-01,2.5,-70.45
1958-01-01,-0.05,-214.89
1958-04-01,2.26,-593.75
1958-07-01,2.74,35.09
1958-10-01,4.15,438.46
1959-01-01,5.73,-109.26
1959-04-01,4.75,-50.63
1959-07-01,2.96,-92.21
1959-10-01,0.91,-118.57
1960-01-01,3.14,1840.0
1960-04-01,0.55,-256.41
1960-07-01,1.01,300.0
1960-10-01,0.0,300.0
1961-01-01,-1.02,-45.36
1961-04-01,3.19,-278.69
1961-07-01,4.33,191.67
1961-10-01,6.63,-167.31
1962-01-01,6.99,26.42
1962-04-01,3.84,-114.68
1962-07-01,3.8,-2.86
1962-10-01,3.67,-14.29
1963-01-01,2.31,-82.09
1963-04-01,3.5,-293.75
1963-07-01,4.3,50.0
1963-10-01,3.47,-110.0
1964-01-01,3.81,108.33
1964-04-01,3.59,-29.03
1964-07-01,2.15,-58.82
1964-10-01,1.23,1166.67
1965-01-01,2.04,136.0
1965-04-01,1.96,-13.64
1965-07-01,2.97,100.0
1965-10-01,5.78,-286.84
1966-01-01,5.7,-5.08
1966-04-01,4.49,-242.11
1966-07-01,2.74,-84.52
1966-10-01,1.62,-64.79
1967-01-01,1.05,-42.86
1967-04-01,2.12,-155.56
1967-07-01,2.31,61.54
1967-10-01,1.97,-52.0
1968-01-01,3.43,187.5
1968-04-01,4.01,153.33
1968-07-01,3.53,-90.48
1968-10-01,2.98,-183.33
1969-01-01,1.54,-65.22
1969-04-01,-0.23,-184.21
1969-07-01,-0.17,100.0
1969-10-01,-0.43,100.0
1970-01-01,-0.91,-62.5
1970-04-01,1.37,-287.5
1970-07-01,2.85,1500.0
1970-10-01,2.42,80.0
1971-01-01,5.13,933.33
1971-04-01,3.91,-81.67
1971-07-01,3.28,-40.63
1971-10-01,3.33,-5.56
1972-01-01,1.92,-48.39
1972-04-01,3.64,636.36
1972-07-01,3.26,-39.47
1972-10-01,5.04,-200.0
1973-01-01,5.76,46.88
1973-04-01,3.76,-98.77
1973-07-01,2.2,-260.87
1973-10-01,0.71,-173.53
1974-01-01,-1.75,-110.64
1974-04-01,-2.08,-1300.0
