date,Pending Ratio (Realtor.com) YoY Chg,Price Reduced Share (Realtor.com) YoY Chg,Total Listing Count (Realtor.com) YoY Chg
2017-06-01,18.95,0.0,-7.86
2017-07-01,10.53,0.02,-7.57
2017-08-01,9.93,0.01,-7.47
2017-09-01,10.23,0.0,-7.48
2017-10-01,8.93,0.02,-6.84
2017-11-01,6.5,0.01,-7.13
2017-12-01,7.21,0.01,-7.5
2018-01-01,6.24,0.0,-8.41
2018-02-01,7.1,0.0,-7.63
2018-03-01,6.84,0.0,-7.28
2018-04-01,7.69,-0.0,-6.18
2018-05-01,7.15,0.01,-5.97
2018-06-01,4.68,0.01,-4.62
2018-07-01,1.72,0.01,-4.09
2018-08-01,2.33,0.02,-2.28
2018-09-01,0.81,0.03,-0.73
2018-10-01,-3.07,0.03,0.59
2018-11-01,-2.46,0.02,3.21
2018-12-01,-3.15,0.02,4.45
2019-01-01,-2.55,0.02,5.65
2019-02-01,-0.98,0.02,5.36
2019-03-01,1.03,0.0,4.53
2019-04-01,0.55,-0.01,3.17
2019-05-01,0.18,-0.02,2.08
2019-06-01,5.66,-0.02,1.6
2019-07-01,11.43,-0.03,0.86
2019-08-01,14.87,-0.04,-0.7
2019-09-01,19.33,-0.04,-1.46
2019-10-01,26.61,-0.04,-2.31
2019-11-01,33.93,-0.04,-3.76
2019-12-01,35.28,-0.04,-6.76
2020-01-01,39.98,-0.03,-7.56
2020-02-01,49.07,-0.04,-6.58
2020-03-01,42.6,-0.04,-6.88
2020-04-01,13.13,-0.05,-14.17
2020-05-01,29.26,-0.04,-15.02
2020-06-01,77.43,-0.06,-13.67
2020-07-01,108.94,-0.07,-14.71
2020-08-01,131.79,-0.07,-15.67
2020-09-01,146.82,-0.07,-16.24
2020-10-01,161.33,-0.07,-14.68
2020-11-01,157.37,-0.05,-16.4
2020-12-01,160.89,-0.03,-17.0
2021-01-01,163.3,-0.05,-21.0
2021-02-01,163.73,-0.06,-24.99
2021-03-01,167.67,-0.06,-27.12
2021-04-01,230.1,-0.04,-21.46
2021-05-01,194.65,-0.05,-20.61
2021-06-01,102.13,-0.04,-20.29
2021-07-01,56.39,-0.01,-17.47
2021-08-01,35.97,0.0,-14.22
2021-09-01,26.26,0.01,-13.46
2021-10-01,19.28,0.0,-15.79
2021-11-01,26.03,-0.01,-15.81
2021-12-01,31.04,-0.01,-16.85
2022-01-01,32.96,-0.01,-18.77
2022-02-01,22.51,-0.0,-16.42
2022-03-01,12.94,0.0,-13.81
2022-04-01,2.83,0.01,-11.56
2022-05-01,-19.92,0.04,-5.35
2022-06-01,-29.15,0.07,-3.08
2022-07-01,-37.38,0.09,1.05
2022-08-01,-38.65,0.08,0.92
2022-09-01,-39.81,0.09,0.58
2022-10-01,-47.43,0.11,0.39
2022-11-01,-56.11,0.11,2.95
2022-12-01,-58.74,0.07,5.17
2023-01-01,-58.52,0.1,12.25
2023-02-01,-54.95,0.08,13.25
2023-03-01,-52.27,0.07,9.33
2023-04-01,-47.85,0.06,6.08
2023-05-01,-32.64,0.03,-0.25
2023-06-01,-22.22,-0.01,-4.63
2023-07-01,-6.61,-0.04,-9.09
2023-08-01,-3.97,-0.03,-9.22
2023-09-01,-8.57,-0.02,-7.12
2023-10-01,-5.71,-0.03,-3.69
2023-11-01,-4.24,-0.02,-0.68
2023-12-01,-4.02,-0.01,3.59
2024-01-01,-4.95,-0.01,6.48
2024-02-01,-13.5,0.01,8.84
2024-03-01,-14.02,0.02,16.51
2024-04-01,-18.48,0.03,20.0
2024-05-01,-24.08,0.04,20.92
2024-06-01,-25.01,0.04,22.43
2024-07-01,-25.48,0.04,22.61
2024-08-01,-26.31,0.03,20.83
2024-09-01,-22.94,0.01,22.22
2024-10-01,-15.48,-0.0,22.41
2024-11-01,-9.41,-0.01,22.22
2024-12-01,-11.97,0.0,17.51
2025-01-01,-18.32,0.01,17.1
2025-02-01,-20.64,0.02,18.19
2025-03-01,-23.06,0.02,17.3
2025-04-01,-21.74,0.02,19.83
2025-05-01,-21.89,0.02,20.85
2025-06-01,-19.49,0.02,19.97
2025-07-01,-17.51,0.01,16.92
2025-08-01,-13.35,0.01,16.43
2025-09-01,-11.16,0.01,13.39
2025-10-01,-11.87,0.02,11.2
2025-11-01,-9.92,0.01,9.38
2025-12-01,-11.08,0.0,8.58
2026-01-01,-9.7,-0.01,7.26
2026-02-01,-4.54,-0.01,6.44
2026-03-01,-3.8,-0.01,6.78
