date,Active Listing Count (Realtor.com) YoY Chg,New Listing Count (Realtor.com) YoY Chg,Pending Listing Count (Realtor.com) YoY Chg,Price Reduced Count (Realtor.com) YoY Chg,Median Listing Price (Realtor.com) YoY Chg,Average Listing Price (Realtor.com) YoY Chg,Median Listing Price per Sq Ft (Realtor.com) YoY Chg,Median Days on Market (Realtor.com) YoY Chg,Median Home Size Sq Ft (Realtor.com) YoY Chg
2017-06-01,-11.66,2.19,5.09,-3.06,7.72,9.02,5.51,-12.5,2.59
2017-07-01,-9.59,1.13,-0.05,4.18,7.72,7.83,5.51,-7.81,2.54
2017-08-01,-9.23,6.22,-0.23,2.89,7.73,7.35,5.56,-8.96,2.45
2017-09-01,-9.32,-3.04,-0.03,-4.91,7.84,7.58,5.56,-9.86,2.08
2017-10-01,-8.55,3.57,-0.38,3.98,7.84,6.87,5.51,-5.56,1.93
2017-11-01,-8.33,1.99,-2.37,2.72,8.48,6.39,5.56,-4.05,2.0
2017-12-01,-8.75,2.3,-2.17,-0.43,8.0,6.49,6.4,-6.02,1.37
2018-01-01,-9.55,-1.44,-3.87,-4.32,7.94,6.45,6.35,-5.68,1.27
2018-02-01,-9.21,-0.94,-2.76,-6.17,7.85,6.26,6.25,-7.32,1.11
2018-03-01,-8.99,-1.23,-2.75,-5.2,7.77,6.1,6.92,-6.45,1.15
2018-04-01,-8.04,-0.51,-0.96,-1.61,9.24,6.2,7.58,-6.9,0.82
2018-05-01,-7.73,2.29,-1.15,1.15,7.92,5.67,8.27,-7.27,0.66
2018-06-01,-5.87,1.38,-1.46,2.8,7.49,5.77,7.46,-8.93,0.71
2018-07-01,-4.59,-1.82,-2.95,4.29,7.33,5.52,7.46,-6.78,0.46
2018-08-01,-2.99,-1.49,-0.73,8.94,8.55,4.88,7.52,-4.92,0.1
2018-09-01,-0.51,6.29,0.31,18.51,8.18,4.58,8.27,-6.25,-0.31
2018-10-01,1.35,2.18,-1.75,18.86,7.36,4.42,7.46,-5.88,-0.36
2018-11-01,3.66,1.74,1.13,15.9,7.49,4.86,8.27,-7.04,-0.57
2018-12-01,5.15,4.25,1.82,17.5,7.41,4.26,8.27,-3.85,-0.36
2019-01-01,6.39,4.56,3.64,20.35,7.31,3.73,7.46,-2.41,-0.47
2019-02-01,5.5,-5.46,4.45,13.33,7.46,4.04,8.09,-1.32,-0.47
2019-03-01,4.56,-4.97,5.62,3.69,7.3,4.33,7.19,12.07,-0.15
2019-04-01,3.19,-0.03,3.76,-6.13,6.78,4.78,6.34,0.0,0.31
2019-05-01,2.08,0.83,2.26,-10.83,6.85,4.92,6.25,1.96,0.3
2019-06-01,0.27,1.85,5.92,-8.81,6.7,4.87,5.56,3.92,0.3
2019-07-01,-1.77,-2.02,9.44,-14.83,6.68,5.49,5.56,3.64,0.3
2019-08-01,-3.92,-2.66,10.38,-17.93,5.79,6.39,5.59,1.72,0.51
2019-09-01,-5.92,-2.96,12.24,-20.42,5.03,5.93,4.17,3.33,0.67
2019-10-01,-7.39,-2.45,17.23,-21.1,4.98,5.65,4.17,0.0,0.72
2019-11-01,-10.19,-5.6,20.29,-23.61,3.39,5.44,4.17,1.52,0.57
2019-12-01,-12.81,-11.04,17.95,-34.55,3.45,6.07,3.47,2.67,0.52
2020-01-01,-14.31,-4.92,19.97,-26.18,3.39,6.13,3.47,1.23,0.58
2020-02-01,-15.81,0.89,25.52,-27.84,3.21,6.99,2.72,-2.67,0.58
2020-03-01,-16.01,0.36,19.78,-27.53,4.31,6.08,4.03,-12.31,0.15
2020-04-01,-17.19,-36.84,-6.31,-47.56,1.37,1.52,2.65,11.11,-1.68
2020-05-01,-21.39,-22.9,1.62,-40.73,2.83,3.54,3.92,30.77,-1.56
2020-06-01,-28.55,-10.84,26.78,-41.81,6.08,9.01,7.24,16.98,-1.35
2020-07-01,-33.62,-1.44,38.71,-44.31,8.0,13.23,9.21,-7.02,-1.36
2020-08-01,-36.89,2.99,46.27,-45.75,10.52,18.09,11.26,-13.56,-1.87
2020-09-01,-38.82,6.93,51.02,-45.98,11.69,21.07,14.0,-19.35,-2.95
2020-10-01,-39.25,6.91,58.77,-45.36,12.6,22.6,15.33,-20.31,-3.78
2020-11-01,-40.19,5.64,53.91,-42.08,12.13,22.39,16.0,-19.4,-4.53
2020-12-01,-40.78,15.95,54.51,-33.96,12.12,22.78,16.11,-19.48,-4.84
2021-01-01,-44.12,-4.41,47.11,-52.44,11.95,25.2,17.45,-19.51,-5.6
2021-02-01,-49.92,-8.05,32.07,-61.74,12.44,26.16,19.87,-23.29,-6.41
2021-03-01,-53.0,-5.26,25.82,-61.41,10.49,27.07,20.0,-21.05,-7.26
2021-04-01,-53.74,40.99,52.71,-48.11,15.72,33.37,23.87,-38.33,-6.61
2021-05-01,-51.78,13.1,42.08,-52.02,14.41,30.06,23.27,-48.53,-6.8
2021-06-01,-43.5,9.98,14.2,-43.84,11.92,22.14,20.86,-46.77,-7.26
2021-07-01,-33.56,2.92,3.9,-22.04,9.86,14.02,18.07,-33.96,-6.98
