date,Pending Sales (Redfin) YoY Chg,Homes Sold (Redfin) YoY Chg,New Listings (Redfin) YoY Chg,Active Inventory (Redfin) YoY Chg,Months of Supply (Redfin) YoY Chg,Median Days on Market (Redfin) YoY Chg,Sale-to-List Ratio (Redfin) YoY Chg,Price Drop Share (Redfin) YoY Chg,Median Sale Price (Redfin) YoY Chg,Off Market in Two Weeks (Redfin) YoY Chg,Pending Sales SA (Redfin) YoY Chg,Homes Sold SA (Redfin) YoY Chg,New Listings SA (Redfin) YoY Chg,Active Inventory SA (Redfin) YoY Chg
2012-12-31,6.85,41.53,-38.38,-18.67,-42.53,-19.44,1.33,-0.02,21.43,0.01,10.89,8.16,-4.0,-16.7
2013-01-31,9.48,12.81,1.43,-17.48,-26.85,-16.67,1.24,-0.01,12.92,0.05,8.73,10.97,-2.05,-16.33
2013-02-28,5.94,5.58,-2.46,-17.02,-21.41,-16.82,1.25,-0.01,13.85,0.07,10.14,10.55,1.37,-15.73
2013-03-31,4.5,6.41,-3.16,-16.57,-21.6,-23.08,1.22,-0.01,13.23,0.07,6.6,10.9,3.1,-15.62
2013-04-30,13.33,13.65,12.86,-13.97,-24.3,-23.08,1.22,-0.0,12.13,0.07,9.09,8.85,7.47,-13.94
2013-05-31,12.99,14.94,15.11,-11.14,-22.69,-23.17,1.12,-0.0,12.42,0.06,11.89,11.51,13.57,-11.62
2013-06-30,8.51,7.65,12.36,-8.49,-14.99,-21.79,1.05,-0.0,12.85,0.06,10.77,13.63,15.53,-8.98
2013-07-31,16.88,21.26,19.99,-5.84,-22.35,-21.52,0.97,0.0,14.67,0.04,14.36,15.24,16.87,-6.24
2013-08-31,8.02,10.64,14.03,-3.34,-12.64,-22.22,0.86,0.0,13.74,0.03,9.42,13.62,16.06,-3.61
2013-09-30,11.22,14.16,14.99,-1.8,-13.98,-19.28,0.61,0.01,12.12,0.02,8.72,8.63,12.38,-1.76
2013-10-31,4.86,5.77,11.32,0.12,-5.34,-17.86,0.45,0.02,13.29,0.01,5.63,6.23,9.72,-0.33
2013-11-30,-0.02,-3.82,5.63,0.97,4.98,-13.1,0.28,0.02,9.7,0.02,2.37,1.02,9.87,1.09
2013-12-31,3.11,4.37,3.53,0.61,-3.6,-12.64,0.17,0.05,9.57,-0.01,1.98,0.95,1.97,0.7
2014-01-31,-2.69,-2.88,-2.72,0.5,3.48,-6.67,0.01,0.0,11.56,0.0,-2.36,-3.57,-2.9,0.28
2014-02-28,-5.97,-3.39,-2.38,0.74,4.28,-3.37,-0.04,0.02,10.93,-0.0,-5.43,-2.51,-2.02,0.75
2014-03-31,-5.49,-6.42,6.09,2.41,9.43,-2.5,-0.16,0.02,8.25,0.02,-4.81,-4.57,4.04,2.31
2014-04-30,4.86,-3.52,4.39,0.81,4.49,-2.86,-0.18,0.03,7.59,-0.0,3.95,-2.48,7.25,0.96
2014-05-31,3.64,-4.9,5.83,0.68,5.86,-4.76,-0.27,0.04,5.97,0.01,3.99,-1.88,7.47,0.76
2014-06-30,6.6,3.3,8.08,3.15,-0.15,-8.2,-0.31,0.04,4.84,0.01,3.93,-2.25,5.26,3.56
