date,"Payrolls - San Francisco Bay Area, 9-county (000s) YoY Chg"
1990-12-01,0.85
1991-01-01,1.45
1991-02-01,1.27
1991-03-01,0.87
1991-04-01,0.51
1991-05-01,0.23
1991-06-01,-0.23
1991-07-01,-0.66
1991-08-01,-0.4
1991-09-01,-0.67
1991-10-01,-0.86
1991-11-01,-0.98
1991-12-01,-1.23
1992-01-01,-2.12
1992-02-01,-2.27
1992-03-01,-1.7
1992-04-01,-1.72
1992-05-01,-1.61
1992-06-01,-1.44
1992-07-01,-1.32
1992-08-01,-1.4
1992-09-01,-1.34
1992-10-01,-1.48
1992-11-01,-1.22
1992-12-01,-1.32
1993-01-01,-0.16
1993-02-01,0.23
1993-03-01,-0.18
1993-04-01,-0.25
1993-05-01,-0.03
1993-06-01,0.11
1993-07-01,-0.04
1993-08-01,-0.01
1993-09-01,0.05
1993-10-01,0.15
1993-11-01,0.15
1993-12-01,0.69
1994-01-01,-0.46
1994-02-01,-0.43
1994-03-01,-0.08
1994-04-01,0.08
1994-05-01,0.01
1994-06-01,-0.1
1994-07-01,-0.08
1994-08-01,0.13
1994-09-01,0.27
1994-10-01,0.49
1994-11-01,0.66
1994-12-01,0.76
1995-01-01,1.15
1995-02-01,1.69
1995-03-01,1.66
1995-04-01,1.77
1995-05-01,1.94
1995-06-01,2.41
1995-07-01,2.76
1995-08-01,3.23
1995-09-01,3.43
1995-10-01,3.07
1995-11-01,3.32
1995-12-01,3.28
1996-01-01,3.91
1996-02-01,3.68
1996-03-01,3.74
1996-04-01,3.69
1996-05-01,3.9
1996-06-01,3.75
1996-07-01,3.85
1996-08-01,3.42
1996-09-01,3.3
1996-10-01,3.75
1996-11-01,3.86
1996-12-01,3.81
1997-01-01,3.42
1997-02-01,3.75
1997-03-01,4.04
1997-04-01,4.48
1997-05-01,4.37
1997-06-01,4.39
1997-07-01,4.18
1997-08-01,4.14
1997-09-01,4.5
1997-10-01,4.42
1997-11-01,4.11
1997-12-01,4.48
1998-01-01,4.27
1998-02-01,3.73
1998-03-01,3.44
1998-04-01,3.25
1998-05-01,3.27
1998-06-01,3.26
1998-07-01,3.29
1998-08-01,3.35
1998-09-01,3.06
1998-10-01,2.89
1998-11-01,2.95
1998-12-01,2.44
1999-01-01,2.53
1999-02-01,2.74
1999-03-01,2.66
1999-04-01,2.38
1999-05-01,2.41
1999-06-01,2.21
1999-07-01,2.43
1999-08-01,2.51
1999-09-01,2.41
1999-10-01,2.7
1999-11-01,2.61
1999-12-01,2.93
2000-01-01,3.18
2000-02-01,3.29
2000-03-01,3.6
2000-04-01,4.02
2000-05-01,4.11
2000-06-01,4.7
2000-07-01,4.79
2000-08-01,4.87
2000-09-01,4.85
2000-10-01,4.41
2000-11-01,4.66
2000-12-01,4.53
2001-01-01,3.97
2001-02-01,3.52
2001-03-01,3.08
2001-04-01,1.66
2001-05-01,0.62
2001-06-01,-0.51
2001-07-01,-1.73
2001-08-01,-2.61
2001-09-01,-3.53
2001-10-01,-4.33
2001-11-01,-5.49
2001-12-01,-6.07
2002-01-01,-6.5
2002-02-01,-6.64
2002-03-01,-6.63
2002-04-01,-6.05
2002-05-01,-5.68
2002-06-01,-5.52
2002-07-01,-5.1
2002-08-01,-4.77
2002-09-01,-4.23
2002-10-01,-3.47
2002-11-01,-2.92
2002-12-01,-3.03
2003-01-01,-2.85
2003-02-01,-2.74
2003-03-01,-3.08
2003-04-01,-2.77
2003-05-01,-2.93
2003-06-01,-2.76
2003-07-01,-2.84
2003-08-01,-2.77
2003-09-01,-2.58
2003-10-01,-2.61
2003-11-01,-2.38
2003-12-01,-1.98
2004-01-01,-1.7
2004-02-01,-1.48
2004-03-01,-1.04
2004-04-01,-0.97
2004-05-01,-0.44
2004-06-01,-0.23
2004-07-01,0.1
2004-08-01,0.26
2004-09-01,0.15
2004-10-01,0.61
2004-11-01,0.66
2004-12-01,0.85
2005-01-01,0.95
2005-02-01,0.83
2005-03-01,0.8
2005-04-01,0.9
2005-05-01,0.72
2005-06-01,0.76
2005-07-01,1.05
2005-08-01,1.22
2005-09-01,1.46
2005-10-01,1.25
2005-11-01,1.35
2005-12-01,1.42
2006-01-01,1.64
2006-02-01,1.97
2006-03-01,1.96
2006-04-01,1.8
2006-05-01,2.22
2006-06-01,2.33
2006-07-01,2.07
2006-08-01,2.16
2006-09-01,2.04
2006-10-01,1.87
2006-11-01,1.78
2006-12-01,1.57
2007-01-01,1.58
2007-02-01,1.59
2007-03-01,1.88
2007-04-01,1.42
2007-05-01,1.34
2007-06-01,1.35
2007-07-01,1.67
2007-08-01,1.33
2007-09-01,1.42
2007-10-01,1.32
2007-11-01,1.53
2007-12-01,1.61
2008-01-01,1.41
2008-02-01,1.25
2008-03-01,0.88
2008-04-01,1.03
2008-05-01,0.59
2008-06-01,0.29
2008-07-01,-0.14
2008-08-01,-0.08
2008-09-01,-0.33
2008-10-01,-0.87
2008-11-01,-1.77
2008-12-01,-2.3
2009-01-01,-3.18
2009-02-01,-4.19
2009-03-01,-4.79
2009-04-01,-5.27
2009-05-01,-5.69
2009-06-01,-6.0
2009-07-01,-6.71
2009-08-01,-7.13
2009-09-01,-6.94
2009-10-01,-6.09
2009-11-01,-5.54
2009-12-01,-5.29
2010-01-01,-4.62
2010-02-01,-3.88
2010-03-01,-3.09
2010-04-01,-2.05
2010-05-01,-1.19
2010-06-01,-0.91
2010-07-01,-0.29
2010-08-01,-0.14
2010-09-01,0.28
2010-10-01,0.26
2010-11-01,0.35
2010-12-01,0.69
2011-01-01,1.19
2011-02-01,1.49
2011-03-01,1.48
2011-04-01,1.4
2011-05-01,1.13
2011-06-01,1.27
2011-07-01,1.9
2011-08-01,2.4
2011-09-01,2.39
2011-10-01,2.24
2011-11-01,2.38
2011-12-01,2.44
2012-01-01,2.43
2012-02-01,2.59
2012-03-01,2.86
2012-04-01,3.27
2012-05-01,3.62
2012-06-01,4.07
2012-07-01,3.89
2012-08-01,4.0
2012-09-01,3.76
2012-10-01,3.98
2012-11-01,4.13
2012-12-01,4.28
2013-01-01,3.92
2013-02-01,4.16
2013-03-01,4.07
2013-04-01,3.57
2013-05-01,3.44
2013-06-01,3.14
2013-07-01,3.04
2013-08-01,3.32
2013-09-01,3.32
2013-10-01,3.38
2013-11-01,3.63
2013-12-01,3.52
2014-01-01,3.71
2014-02-01,3.54
2014-03-01,3.48
2014-04-01,3.71
2014-05-01,3.71
2014-06-01,3.77
2014-07-01,3.77
2014-08-01,3.65
2014-09-01,3.76
2014-10-01,3.64
2014-11-01,3.37
2014-12-01,3.45
2015-01-01,3.73
2015-02-01,3.54
2015-03-01,3.64
2015-04-01,3.56
2015-05-01,3.57
2015-06-01,3.63
2015-07-01,4.16
2015-08-01,4.07
2015-09-01,3.96
2015-10-01,4.19
2015-11-01,3.95
2015-12-01,3.85
2016-01-01,3.83
2016-02-01,3.98
2016-03-01,3.51
2016-04-01,4.0
2016-05-01,3.7
2016-06-01,3.47
2016-07-01,3.34
2016-08-01,3.12
2016-09-01,3.15
2016-10-01,2.84
2016-11-01,2.92
2016-12-01,2.81
2017-01-01,2.48
2017-02-01,2.37
2017-03-01,2.84
2017-04-01,2.07
2017-05-01,2.32
2017-06-01,2.56
2017-07-01,2.1
2017-08-01,2.02
2017-09-01,2.0
2017-10-01,1.78
2017-11-01,1.89
2017-12-01,2.08
2018-01-01,2.01
2018-02-01,2.2
2018-03-01,1.9
2018-04-01,2.09
2018-05-01,2.01
2018-06-01,2.06
2018-07-01,1.97
2018-08-01,2.21
2018-09-01,2.02
2018-10-01,2.29
2018-11-01,2.2
2018-12-01,2.13
2019-01-01,2.06
2019-02-01,1.8
2019-03-01,1.93
2019-04-01,1.77
2019-05-01,1.78
2019-06-01,1.59
2019-07-01,1.89
2019-08-01,1.99
2019-09-01,1.83
2019-10-01,1.68
2019-11-01,1.81
2019-12-01,1.74
2020-01-01,2.15
2020-02-01,2.11
2020-03-01,0.73
2020-04-01,-14.05
2020-05-01,-12.73
2020-06-01,-11.09
2020-07-01,-10.84
2020-08-01,-10.79
2020-09-01,-10.16
2020-10-01,-9.42
2020-11-01,-9.53
2020-12-01,-9.9
2021-01-01,-10.53
