date,"S&P 500 Reported Earnings (TTM, $/share) YoY Chg"
1871-12-31,-1.51
1872-01-31,-0.85
1872-02-29,2.72
1872-03-31,3.35
1872-04-30,-2.0
1872-05-31,-3.62
1872-06-30,-3.75
1872-07-31,-1.74
1872-08-31,-3.51
1872-09-30,-1.2
1872-10-31,3.09
1872-11-30,0.66
1872-12-31,5.08
1873-01-31,5.04
1873-02-28,2.74
1873-03-31,4.2
1873-04-30,6.5
1873-05-31,8.87
1873-06-30,11.22
1873-07-31,9.59
1873-08-31,10.35
1873-09-30,11.11
1873-10-31,11.26
1873-11-30,18.23
1873-12-31,13.67
1874-01-31,11.23
1874-02-28,13.08
1874-03-31,12.45
1874-04-30,13.57
1874-05-31,11.34
1874-06-30,10.0
1874-07-31,8.58
1874-08-31,8.79
1874-09-30,8.15
1874-10-31,6.78
1874-11-30,3.86
1874-12-31,5.85
1875-01-31,5.54
1875-02-28,3.58
1875-03-31,1.63
1875-04-30,-2.65
1875-05-31,-2.94
1875-06-30,-5.52
1875-07-31,-6.73
1875-08-31,-10.18
1875-09-30,-11.27
1875-10-31,-14.53
1875-11-30,-16.52
1875-12-31,-17.65
1876-01-31,-17.05
1876-02-29,-17.06
1876-03-31,-17.07
1876-04-30,-15.65
1876-05-31,-14.75
1876-06-30,-13.9
1876-07-31,-14.01
1876-08-31,-13.93
1876-09-30,-15.59
1876-10-31,-17.26
1876-11-30,-18.6
1876-12-31,-20.88
1877-01-31,-20.93
1877-02-28,-16.78
1877-03-31,-10.72
1877-04-30,-11.72
1877-05-31,-14.13
1877-06-30,-9.36
1877-07-31,-7.71
1877-08-31,-0.7
1877-09-30,4.15
1877-10-31,9.19
1877-11-30,15.5
1877-12-31,21.16
1878-01-31,26.59
1878-02-28,24.26
1878-03-31,20.89
1878-04-30,25.22
1878-05-31,31.35
1878-06-30,26.77
1878-07-31,26.0
1878-08-31,19.74
1878-09-30,18.13
1878-10-31,19.01
1878-11-30,17.76
1878-12-31,20.06
1879-01-31,17.01
1879-02-28,16.32
1879-03-31,16.92
1879-04-30,18.82
1879-05-31,16.71
1879-06-30,17.04
1879-07-31,18.79
1879-08-31,21.72
1879-09-30,19.14
1879-10-31,13.14
1879-11-30,7.54
1879-12-31,3.44
1880-01-31,2.14
1880-02-29,3.78
1880-03-31,2.14
1880-04-30,5.5
1880-05-31,9.06
1880-06-30,10.51
1880-07-31,12.22
1880-08-31,12.64
1880-09-30,15.99
1880-10-31,22.87
1880-11-30,28.43
1880-12-31,31.45
1881-01-31,32.43
1881-02-28,27.03
1881-03-31,24.29
1881-04-30,14.59
1881-05-31,9.11
1881-06-30,3.79
1881-07-31,-0.38
1881-08-31,-5.12
1881-09-30,-10.43
1881-10-31,-13.82
1881-11-30,-14.48
1881-12-31,-16.11
1882-01-31,-16.32
1882-02-28,-15.84
1882-03-31,-15.26
1882-04-30,-14.45
1882-05-31,-15.65
1882-06-30,-15.79
1882-07-31,-13.52
1882-08-31,-11.96
1882-09-30,-5.38
1882-10-31,-2.78
1882-11-30,-2.15
1882-12-31,-0.42
1883-01-31,-0.84
1883-02-28,-1.21
1883-03-31,-0.57
1883-04-30,0.72
1883-05-31,2.4
1883-06-30,5.96
1883-07-31,6.79
1883-08-31,7.23
1883-09-30,4.97
1883-10-31,3.5
1883-11-30,3.26
1883-12-31,0.7
1884-01-31,-0.64
1884-02-29,-1.01
1884-03-31,-3.29
1884-04-30,-3.5
1884-05-31,-3.84
1884-06-30,-8.05
1884-07-31,-10.33
1884-08-31,-11.7
1884-09-30,-13.03
1884-10-31,-13.46
1884-11-30,-13.94
1884-12-31,-13.63
1885-01-31,-12.89
1885-02-28,-13.07
1885-03-31,-10.36
1885-04-30,-12.5
1885-05-31,-11.53
1885-06-30,-8.53
1885-07-31,-9.61
1885-08-31,-8.73
1885-09-30,-7.73
1885-10-31,-7.74
1885-11-30,-9.82
1885-12-31,-11.81
1886-01-31,-7.03
1886-02-28,-3.34
1886-03-31,-1.65
1886-04-30,3.8
1886-05-31,6.93
1886-06-30,8.66
1886-07-31,11.65
1886-08-31,13.41
1886-09-30,15.3
1886-10-31,18.5
1886-11-30,23.19
1886-12-31,28.17
1887-01-31,20.84
1887-02-28,18.15
1887-03-31,15.7
1887-04-30,13.03
1887-05-31,9.22
1887-06-30,8.28
1887-07-31,9.83
1887-08-31,8.89
1887-09-30,9.19
1887-10-31,7.0
1887-11-30,4.81
1887-12-31,2.79
1888-01-31,1.02
1888-02-29,0.15
1888-03-31,-3.05
1888-04-30,-4.97
1888-05-31,-7.08
1888-06-30,-10.17
1888-07-31,-15.28
1888-08-31,-17.22
1888-09-30,-21.05
1888-10-31,-23.86
