date,"Typical Home Value (Zillow ZHVI, SA) YoY Chg","Typical Rent (Zillow ZORI, All Homes + Multifamily) YoY Chg","For-Sale Inventory (Zillow, smoothed) YoY Chg",Sales Count Nowcast (Zillow) YoY Chg
2000-12-31,6.0,,,
2001-01-31,6.63,,,
2001-02-28,7.0,,,
2001-03-31,7.3,,,
2001-04-30,7.38,,,
2001-05-31,7.43,,,
2001-06-30,7.46,,,
2001-07-31,7.46,,,
2001-08-31,7.45,,,
2001-09-30,7.41,,,
2001-10-31,7.37,,,
2001-11-30,7.28,,,
2001-12-31,7.16,,,
2002-01-31,7.03,,,
2002-02-28,6.96,,,
2002-03-31,6.91,,,
2002-04-30,6.86,,,
2002-05-31,6.82,,,
2002-06-30,6.82,,,
2002-07-31,6.85,,,
2002-08-31,6.91,,,
2002-09-30,6.96,,,
2002-10-31,7.02,,,
2002-11-30,7.09,,,
2002-12-31,7.17,,,
2003-01-31,7.26,,,
2003-02-28,7.35,,,
2003-03-31,7.42,,,
2003-04-30,7.5,,,
2003-05-31,7.59,,,
2003-06-30,7.65,,,
2003-07-31,7.69,,,
2003-08-31,7.72,,,
2003-09-30,7.79,,,
2003-10-31,7.86,,,
2003-11-30,7.92,,,
2003-12-31,7.94,,,
2004-01-31,8.0,,,
2004-02-29,8.13,,,
2004-03-31,8.33,,,
2004-04-30,8.56,,,
2004-05-31,8.84,,,
2004-06-30,9.18,,,
2004-07-31,9.55,,,
2004-08-31,9.89,,,
2004-09-30,10.16,,,
2004-10-31,10.38,,,
2004-11-30,10.59,,,
2004-12-31,10.82,,,
2005-01-31,11.06,,,
2005-02-28,11.26,,,
2005-03-31,11.42,,,
2005-04-30,11.6,,,
2005-05-31,11.74,,,
2005-06-30,11.83,,,
2005-07-31,11.86,,,
2005-08-31,11.88,,,
2005-09-30,11.89,,,
2005-10-31,11.89,,,
2005-11-30,11.87,,,
2005-12-31,11.76,,,
2006-01-31,11.57,,,
2006-02-28,11.32,,,
2006-03-31,11.04,,,
2006-04-30,10.7,,,
2006-05-31,10.29,,,
2006-06-30,9.76,,,
2006-07-31,9.1,,,
2006-08-31,8.34,,,
2006-09-30,7.48,,,
2006-10-31,6.63,,,
2006-11-30,5.81,,,
2006-12-31,5.06,,,
2007-01-31,4.39,,,
2007-02-28,3.79,,,
2007-03-31,3.18,,,
2007-04-30,2.53,,,
2007-05-31,1.84,,,
2007-06-30,1.15,,,
2007-07-31,0.48,,,
2007-08-31,-0.13,,,
2007-09-30,-0.68,,,
2007-10-31,-1.18,,,
2007-11-30,-1.69,,,
2007-12-31,-2.19,,,
2008-01-31,-2.73,,,
2008-02-29,-3.32,,,
2008-03-31,-3.97,,,
2008-04-30,-4.68,,,
2008-05-31,-5.36,,,
2008-06-30,-6.0,,,
2008-07-31,-6.59,,,
2008-08-31,-7.23,,,
2008-09-30,-7.83,,,
2008-10-31,-8.39,,,
2008-11-30,-8.87,,,
2008-12-31,-9.33,,,
2009-01-31,-9.71,,,-19.06
2009-02-28,-9.91,,,-11.88
2009-03-31,-9.99,,,-3.09
2009-04-30,-9.98,,,-7.12
2009-05-31,-9.95,,,-8.38
2009-06-30,-9.85,,,3.85
2009-07-31,-9.64,,,5.25
2009-08-31,-9.3,,,1.53
2009-09-30,-8.89,,,6.23
2009-10-31,-8.41,,,15.85
2009-11-30,-7.76,,,46.19
2009-12-31,-6.97,,,19.56
2010-01-31,-6.12,,,10.52
2010-02-28,-5.39,,,7.64
2010-03-31,-4.67,,,25.65
2010-04-30,-3.93,,,26.63
2010-05-31,-3.19,,,20.02
2010-06-30,-2.6,,,11.67
2010-07-31,-2.29,,,-21.17
2010-08-31,-2.17,,,-12.05
2010-09-30,-2.21,,,-7.14
2010-10-31,-2.36,,,-23.01
2010-11-30,-2.71,,,-20.82
2010-12-31,-3.16,,,-4.37
2011-01-31,-3.64,,,5.07
2011-02-28,-4.08,,,0.66
2011-03-31,-4.54,,,-7.5
2011-04-30,-5.07,,,-13.11
2011-05-31,-5.61,,,-10.57
2011-06-30,-6.02,,,-9.19
2011-07-31,-6.15,,,12.22
2011-08-31,-6.06,,,19.68
2011-09-30,-5.82,,,2.7
2011-10-31,-5.55,,,8.68
2011-11-30,-5.23,,,9.18
2011-12-31,-4.91,,,4.88
2012-01-31,-4.53,,,9.16
2012-02-29,-4.07,,,16.02
2012-03-31,-3.48,,,7.92
2012-04-30,-2.78,,,9.55
2012-05-31,-1.99,,,18.77
2012-06-30,-1.15,,,10.89
2012-07-31,-0.35,,,16.08
2012-08-31,0.33,,,15.63
2012-09-30,1.0,,,5.4
2012-10-31,1.71,,,26.03
2012-11-30,2.44,,,21.87
2012-12-31,3.16,,,12.71
2013-01-31,3.86,,,16.93
2013-02-28,4.46,,,8.54
2013-03-31,4.94,,,9.05
2013-04-30,5.38,,,19.08
2013-05-31,5.86,,,18.9
2013-06-30,6.38,,,11.43
2013-07-31,6.78,,,25.95
2013-08-31,7.21,,,15.64
2013-09-30,7.53,,,20.59
2013-10-31,7.89,,,9.22
2013-11-30,8.03,,,1.02
2013-12-31,8.09,,,4.8
2014-01-31,8.01,,,-0.62
2014-02-28,7.92,,,-2.24
2014-03-31,7.81,,,-4.84
2014-04-30,7.64,,,-3.17
2014-05-31,7.44,,,-5.03
2014-06-30,7.09,,,3.05
2014-07-31,6.81,,,-1.67
2014-08-31,6.44,,,-5.34
2014-09-30,6.12,,,3.03
