date,Total Building Permits YoY %,Single-Family Permits YoY %,2-4 Unit Permits YoY %,5+ Unit Permits YoY %,Permits - Northeast YoY %,Permits - Midwest YoY %,Permits - South YoY %,Permits - West YoY %
1961-01-01,-11.2637,-16.9031,-11.9403,15.6425,-30.0813,-6.7194,-16.9184,9.1603
1961-02-01,-11.6728,-22.4654,-11.2676,51.0067,-24.1379,-1.9531,-15.4098,-6.4407
1961-03-01,4.712,-4.1152,-1.6667,45.7831,21.0843,21.164,3.2967,-11.9266
1961-04-01,-1.378,-11.6967,21.0526,35.9116,8.4656,-12.7049,2.0979,-1.6835
1961-05-01,-2.3764,-6.8602,4.7619,10.3896,-2.2321,-7.5,-3.9735,3.4965
1961-06-01,11.691,-4.4059,1.4706,102.1277,25.5682,3.2864,7.0175,14.0845
1961-07-01,8.4084,1.2295,-16.8831,46.3158,8.2192,1.7857,14.9254,7.6389
1961-08-01,16.5996,2.0492,9.2308,73.0964,44.7115,-2.1739,18.1481,9.7902
1961-09-01,11.5854,4.8295,14.2857,32.7189,10.2439,6.8182,19.3182,9.1525
1961-10-01,15.535,7.7356,31.0345,38.4236,19.898,-1.7241,23.5741,19.2171
1961-11-01,17.6711,8.628,4.2254,54.2289,22.9268,3.5874,14.5985,28.1588
1961-12-01,22.082,12.5,10.7692,59.0909,62.7219,-4.6218,14.6429,28.0303
1962-01-01,15.7895,1.9915,38.9831,56.0386,56.3953,-15.678,17.4545,15.7343
1962-02-01,24.2456,10.104,28.5714,65.3333,56.25,0.7968,31.3953,18.4783
1962-03-01,13.4,1.0014,40.678,42.562,20.8955,-2.6201,17.0213,17.3611
1962-04-01,23.2535,8.5881,20.2899,65.0407,41.4634,10.7981,11.9863,30.8219
1962-05-01,11.1977,0.5666,45.4545,31.7647,0.4566,7.2072,17.5862,15.8784
1962-06-01,7.8505,-1.676,14.4928,30.1754,5.4299,9.5455,7.8689,8.3333
1962-07-01,9.7876,-3.2389,43.75,36.6906,-4.6414,10.0877,12.3377,18.0645
1962-08-01,3.5375,-2.9451,18.3099,14.6628,-24.2525,3.5556,12.5392,21.0191
1962-09-01,11.3843,-2.71,22.2222,44.7917,-1.7699,9.7872,12.6984,20.4969
1962-10-01,5.1647,-9.9217,13.1579,44.1281,2.5532,2.6316,6.7692,7.1642
1962-11-01,7.2917,-8.8542,28.3784,42.2581,-3.9683,0.8658,15.9236,11.831
1962-12-01,6.4599,-9.3023,47.2222,35.873,-16.0,9.6916,7.7882,21.3018
1963-01-01,11.2299,-3.0683,26.8293,39.0093,-8.9219,1.005,14.5511,30.5136
1963-02-01,1.5075,-5.668,27.1605,10.2151,-15.2727,-23.7154,10.6195,25.6881
1963-03-01,10.9347,4.5326,39.759,17.1014,-5.3498,12.5561,9.3939,23.0769
1963-04-01,4.2915,4.1555,25.3012,0.2463,-20.6897,20.7627,16.8196,2.356
1963-05-01,18.2137,4.2254,21.875,46.7262,12.2727,13.4454,19.0616,24.4898
1963-06-01,16.5511,9.517,81.0127,16.1725,-8.5837,18.2573,21.2766,27.6353
1963-07-01,11.1018,4.8815,36.9565,16.5789,0.0,6.7729,18.2081,14.2077
