date,National Home Price Index YoY %,Atlanta YoY %,Boston YoY %,Charlotte YoY %,Chicago YoY %,Cleveland YoY %,Dallas YoY %,Denver YoY %,Detroit YoY %,Las Vegas YoY %,Los Angeles YoY %,Miami YoY %,Minneapolis YoY %,New York YoY %,Phoenix YoY %,Portland YoY %,San Diego YoY %,San Francisco YoY %,Seattle YoY %,Tampa YoY %,Washington DC YoY %
1988-01-01,7.6545,,6.2537,6.648,14.3266,5.4271,,-1.5835,,0.4182,15.735,4.5677,,12.9131,,1.2923,9.5344,12.2393,,2.6608,15.5126
1988-02-01,7.5179,,5.5898,5.4741,14.8825,5.5216,,-1.3272,,-1.6971,16.3889,4.2207,,11.1087,,0.5142,9.5538,12.4669,,1.7045,15.5923
1988-03-01,7.5805,,4.8293,6.0097,17.6927,6.5071,,-2.6242,,-1.6045,17.0495,4.2623,,9.3733,,2.0006,10.4468,12.5961,,2.0046,15.7534
1988-04-01,7.439,,4.3623,4.6817,18.8853,7.2247,,-3.9508,,-1.1018,16.5676,4.6864,,8.1869,,2.7901,9.6245,13.6503,,2.3689,16.0014
1988-05-01,7.4175,,4.0757,4.2376,18.1957,6.4617,,-4.7545,,-0.506,16.8403,4.8121,,6.3848,,3.2579,9.534,16.0694,,2.5484,16.2135
1988-06-01,7.2908,,3.7452,3.914,18.5592,7.4387,,-4.4799,,1.0902,18.4932,6.1005,,4.6499,,3.0797,8.1986,19.0842,,1.8977,15.7974
1988-07-01,7.2881,,3.3199,4.3271,16.5338,7.1034,,-3.9423,,2.8721,21.2194,6.413,,3.4377,,3.0915,13.1617,18.5188,,1.9226,16.4122
1988-08-01,7.2635,,2.2938,5.3778,17.5992,7.5437,,-3.7372,,4.4824,22.6685,6.9875,,2.8868,,3.8444,13.7854,18.0739,,2.2293,16.6172
1988-09-01,7.291,,1.3039,5.1891,16.74,7.2485,,-3.6859,,4.8799,24.2148,6.6337,,2.661,,4.5464,14.2385,17.3078,,2.0064,16.4743
1988-10-01,7.2263,,0.8023,4.9562,16.9958,7.4951,,-4.2138,,4.5019,25.253,6.443,,1.5907,,5.0808,15.2328,17.5665,,2.3601,15.703
1988-11-01,7.2856,,0.2964,3.7499,14.9611,7.5513,,-3.9907,,2.4169,26.5321,6.3483,,0.9723,,5.7161,16.1734,18.3274,,2.0183,15.6837
1988-12-01,7.2343,,0.1551,3.6707,12.1753,8.3047,,-4.8528,,2.009,26.6171,6.662,,-0.1495,,5.7642,17.5525,19.5996,,1.9411,16.7736
1989-01-01,7.3862,,-0.1894,3.1434,10.2585,8.7855,,-4.2001,,3.1278,27.184,6.8417,,0.1906,,6.3159,18.5848,20.0855,,1.3358,16.7563
1989-02-01,7.3892,,0.7749,4.1408,8.7669,8.4718,,-4.1265,,4.8418,27.3444,7.1922,,-0.2665,,7.5359,20.2886,20.4097,,1.9605,16.6219
1989-03-01,7.378,,1.4461,3.9148,8.6281,7.3731,,-3.1223,,5.5693,28.923,6.6763,,-0.3339,,6.5357,21.5363,21.7121,,2.9867,16.0014
1989-04-01,7.2997,,1.1639,4.3458,8.4461,6.7259,,-2.6147,,3.7999,30.1157,6.6419,,-0.9558,,6.8937,23.3724,22.3025,,2.8949,15.5538
1989-05-01,6.9295,,0.3082,4.7513,7.5237,7.5126,,-1.5578,,3.2622,30.4817,6.1075,,-1.4962,,6.7124,24.5858,20.7534,,3.0001,14.5411
1989-06-01,6.4751,,-0.6501,4.9263,6.1052,6.557,,-1.1783,,5.9628,28.4025,5.5572,,-1.953,,7.75,27.1686,18.8359,,2.2219,13.6908
1989-07-01,6.0292,,-1.1337,4.514,5.6749,6.8438,,-1.4963,,6.0901,25.1308,5.3093,,-2.7599,,7.9688,22.3603,19.6252,,1.6845,12.2966
1989-08-01,5.6171,,-1.8786,3.1639,3.8706,7.1313,,-1.5873,,6.539,22.8738,4.7904,,-3.1414,,7.8431,22.6754,20.888,,0.6551,11.5178
1989-09-01,5.2797,,-2.2754,2.8188,3.1674,7.3754,,-1.2704,,6.3206,20.584,3.9885,,-3.5933,,8.0576,22.7346,21.4716,,1.2936,10.5458
1989-10-01,5.0211,,-2.5248,2.7573,1.4868,7.2648,,-0.2839,,7.3044,18.8135,3.6803,,-3.1855,,8.2459,22.1571,20.8093,,1.499,10.1776
1989-11-01,4.7175,,-2.2073,3.8081,1.783,6.3355,,0.7557,,8.9898,17.2766,3.1132,,-3.4803,,8.6601,20.8709,19.4903,,2.0896,9.157
1989-12-01,4.4117,,-2.2684,3.9068,1.7043,6.3508,,1.6397,,10.3701,16.2577,3.285,,-3.5925,,10.1821,19.678,17.4961,,1.543,8.0442
1990-01-01,3.9922,,-1.9096,4.1771,1.5015,5.4381,,1.6223,,9.851,14.8593,3.373,1.153,-4.0806,-1.4625,11.6098,18.1327,16.36,,2.3174,7.4755
1990-02-01,3.591,,-3.0519,3.8098,-0.4467,6.3014,,1.9211,,8.6053,13.5047,3.4745,1.3511,-3.8961,-1.355,12.8911,16.4568,15.2438,,2.1677,6.6767
1990-03-01,3.2403,,-4.4501,3.5929,-1.6702,6.6374,,2.0336,,8.6817,10.8016,3.0568,2.4437,-4.0228,-1.8903,12.8055,14.2905,13.7783,,1.8518,5.6265
1990-04-01,2.9234,,-4.9705,3.6322,-1.6679,7.9853,,2.2234,,10.3835,8.5775,2.4438,2.2001,-4.3726,-1.7433,13.4762,12.8489,12.5477,,0.95,4.7694
1990-05-01,2.6466,,-5.7962,3.3472,-0.7234,7.0576,,1.8335,,11.5557,6.1597,2.7257,2.2403,-4.7197,-2.167,14.1595,11.2752,10.8072,,0.4535,3.7148
1990-06-01,2.3597,,-6.0738,3.5743,-0.3842,7.6093,,2.0473,,10.0281,4.8135,2.6332,1.3153,-4.8385,-1.617,16.006,9.7422,8.438,,0.5925,2.6945
1990-07-01,1.9629,,-6.506,3.1472,0.4746,7.3592,,2.4249,,10.9703,3.3802,2.5511,1.2375,-4.7165,-1.4036,17.6782,8.3056,6.4048,,0.9361,1.6752
1990-08-01,1.5508,,-6.1691,3.3254,0.2927,6.8337,,2.5087,,11.3076,2.4661,2.0554,0.4342,-5.3529,-1.0306,19.2677,6.5422,4.2943,,1.4707,0.5216
