date,All Employees - Construction YoY %,All Employees - Residential Building YoY %,All Employees - Nonresidential Building YoY %
1940-01-01,-1.5803,,
1940-02-01,1.3769,,
1940-03-01,-0.898,,
1940-04-01,2.1617,,
1940-05-01,2.8526,,
1940-06-01,2.057,,
1940-07-01,4.1769,,
1940-08-01,4.0453,,
1940-09-01,14.6301,,
1940-10-01,26.9815,,
1940-11-01,38.8225,,
1940-12-01,55.6042,,
1941-01-01,63.5147,,
1941-02-01,54.4992,,
1941-03-01,43.2455,,
1941-04-01,38.8715,,
1941-05-01,37.4422,,
1941-06-01,38.8372,,
1941-07-01,47.8774,,
1941-08-01,49.1446,,
1941-09-01,40.6091,,
1941-10-01,28.4861,,
1941-11-01,17.7013,,
1941-12-01,7.0906,,
1942-01-01,4.419,,
1942-02-01,4.3956,,
1942-03-01,17.4238,,
1942-04-01,22.4605,,
1942-05-01,27.2982,,
1942-06-01,32.8867,,
1942-07-01,32.589,,
1942-08-01,29.1971,,
1942-09-01,25.4771,,
1942-10-01,21.5504,,
1942-11-01,18.0157,,
1942-12-01,12.2438,,
1943-01-01,7.837,,
1943-02-01,6.4211,,
1943-03-01,-4.3095,,
1943-04-01,-14.5622,,
1943-05-01,-23.5139,,
1943-06-01,-31.1345,,
1943-07-01,-39.2141,,
1943-08-01,-42.1711,,
1943-09-01,-44.2252,,
1943-10-01,-43.2823,,
1943-11-01,-41.5929,,
1943-12-01,-38.3895,,
1944-01-01,-35.9012,,
1944-02-01,-35.7072,,
1944-03-01,-36.694,,
1944-04-01,-36.7853,,
1944-05-01,-33.8515,,
1944-06-01,-31.4826,,
1944-07-01,-27.2427,,
1944-08-01,-24.5639,,
1944-09-01,-23.6551,,
1944-10-01,-18.6657,,
1944-11-01,-17.0455,,
1944-12-01,-15.4255,,
1945-01-01,-13.6054,,
1945-02-01,-8.3846,,
1945-03-01,-4.6888,,
1945-04-01,-2.0478,,
1945-05-01,-0.9574,,
1945-06-01,0.8905,,
1945-07-01,3.7171,,
1945-08-01,7.2155,,
1945-09-01,10.3282,,
1945-10-01,13.4562,,
1945-11-01,17.8995,,
1945-12-01,20.0359,,
1946-01-01,24.322,,
1946-02-01,26.0285,,
1946-03-01,34.0967,,
1946-04-01,42.77,,
1946-05-01,47.5395,,
1946-06-01,49.7793,,
1946-07-01,53.9336,,
1946-08-01,55.9965,,
1946-09-01,60.6299,,
1946-10-01,52.3152,,
1946-11-01,47.2502,,
1946-12-01,44.5359,,
1947-01-01,35.6087,,
1947-02-01,30.5796,,
1947-03-01,24.7312,,
1947-04-01,21.5375,,
1947-05-01,20.0119,,
1947-06-01,22.3335,,
1947-07-01,17.9443,,
1947-08-01,15.8739,,
1947-09-01,14.0523,,
1947-10-01,12.48,,
1947-11-01,10.5208,,
1947-12-01,10.3055,,
1948-01-01,13.0773,,
1948-02-01,7.398,,
1948-03-01,9.6856,,
1948-04-01,10.5422,,
1948-05-01,11.4144,,
1948-06-01,9.8266,,
1948-07-01,9.9663,,
1948-08-01,8.3055,,
1948-09-01,8.1184,,
1948-10-01,7.302,,
1948-11-01,8.5198,,
1948-12-01,8.2629,,
1949-01-01,5.1859,,
1949-02-01,8.076,,
1949-03-01,4.6694,,
1949-04-01,1.8619,,
1949-05-01,-0.5791,,
1949-06-01,-3.6404,,
1949-07-01,-3.5902,,
1949-08-01,-2.6884,,
1949-09-01,-1.811,,
1949-10-01,-1.9885,,
1949-11-01,-2.2368,,
1949-12-01,-4.2931,,
1950-01-01,-3.3159,,
1950-02-01,-2.0659,,
1950-03-01,-1.0159,,
1950-04-01,2.2292,,
1950-05-01,5.0627,,
1950-06-01,9.604,,
1950-07-01,11.4441,,
1950-08-01,12.817,,
1950-09-01,13.0004,,
1950-10-01,14.7881,,
1950-11-01,15.0292,,
1950-12-01,15.179,,
1951-01-01,17.7347,,
1951-02-01,17.9533,,
1951-03-01,19.1432,,
1951-04-01,17.5752,,
1951-05-01,15.6077,,
1951-06-01,11.794,,
1951-07-01,9.6985,,
1951-08-01,7.9486,,
1951-09-01,6.449,,
1951-10-01,6.0094,,
1951-11-01,3.7441,,
1951-12-01,6.0582,,
1952-01-01,3.258,,
1952-02-01,4.7945,,
1952-03-01,0.7865,,
1952-04-01,-0.2967,,
1952-05-01,-0.8853,,
1952-06-01,0.9287,,
1952-07-01,0.7801,,
1952-08-01,1.0785,,
1952-09-01,1.8325,,
1952-10-01,-0.1482,,
1952-11-01,1.7669,,
1952-12-01,0.6677,,
1953-01-01,1.2621,,
1953-02-01,0.3631,,
1953-03-01,1.375,,
1953-04-01,0.7068,,
1953-05-01,-0.1116,,
1953-06-01,-1.9875,,
1953-07-01,-2.0641,,
1953-08-01,-2.2443,,
1953-09-01,-1.5791,,
1953-10-01,0.4453,,
1953-11-01,-0.2216,,
1953-12-01,-0.0368,,
1954-01-01,-2.8226,,
1954-02-01,-1.9899,,
1954-03-01,-0.9164,,
1954-04-01,-0.2216,,
1954-05-01,-0.149,,
1954-06-01,0.2253,,
1954-07-01,0.2635,,
1954-08-01,0.3387,,
1954-09-01,-0.709,,
1954-10-01,-1.1082,,
1954-11-01,0.7034,,
1954-12-01,0.8478,,
1955-01-01,4.4512,,
1955-02-01,2.584,,
1955-03-01,4.8835,,
1955-04-01,6.294,,
1955-05-01,8.3209,,
1955-06-01,9.2544,,
1955-07-01,10.0601,,
1955-08-01,9.6024,,
1955-09-01,9.7708,,
1955-10-01,8.3676,,
1955-11-01,6.5441,,
1955-12-01,6.1038,,
1956-01-01,5.9227,,
1956-02-01,7.4487,,
1956-03-01,5.7848,,
1956-04-01,5.6426,,
1956-05-01,5.856,,
1956-06-01,9.808,,
1956-07-01,6.3097,,
1956-08-01,8.1451,,
1956-09-01,7.1208,,
1956-10-01,7.3078,,
1956-11-01,7.1429,,
1956-12-01,6.9928,,
1957-01-01,2.148,,
1957-02-01,2.6457,,
1957-03-01,2.4675,,
1957-04-01,0.4946,,
1957-05-01,-1.2366,,
1957-06-01,-5.2155,,
1957-07-01,-3.4007,,
1957-08-01,-5.5063,,
1957-09-01,-5.0495,,
1957-10-01,-4.7543,,
1957-11-01,-5.153,,
1957-12-01,-5.5055,,
1958-01-01,-2.3698,,
1958-02-01,-8.907,,
1958-03-01,-7.1591,,
1958-04-01,-7.3819,,
1958-05-01,-7.2488,,
1958-06-01,-7.8748,,
1958-07-01,-6.7752,,
1958-08-01,-5.1239,,
1958-09-01,-3.2649,,
1958-10-01,-1.6189,,
1958-11-01,1.2564,,
1958-12-01,-0.8518,,
1959-01-01,2.3248,,
1959-02-01,6.7335,,
1959-03-01,5.6081,,
1959-04-01,9.2809,,
1959-05-01,9.6625,,
1959-06-01,10.8727,,
1959-07-01,9.9751,,
1959-08-01,8.8952,,
1959-09-01,6.1587,,
1959-10-01,3.3939,,
1959-11-01,1.442,,
1959-12-01,5.0859,,
1960-01-01,0.9355,,
1960-02-01,2.4497,,
1960-03-01,-4.381,,
1960-04-01,-2.6256,,
1960-05-01,-2.138,,
1960-06-01,-3.2581,,
1960-07-01,-2.7535,,
1960-08-01,-3.6305,,
1960-09-01,-3.0154,,
1960-10-01,-1.9894,,
1960-11-01,-2.9421,,
1960-12-01,-6.4094,,
1961-01-01,-3.7074,,
1961-02-01,-5.4045,,
1961-03-01,1.0066,,
1961-04-01,-4.028,,
1961-05-01,-5.1308,,
1961-06-01,-3.0677,,
1961-07-01,-3.964,,
1961-08-01,-2.3882,,
1961-09-01,-1.3856,,
1961-10-01,-0.7104,,
1961-11-01,0.1703,,
1961-12-01,3.1097,,
1962-01-01,-0.5844,,
1962-02-01,3.0125,,
1962-03-01,1.0653,,
1962-04-01,4.6826,,
1962-05-01,5.5478,,
1962-06-01,1.8232,,
1962-07-01,4.9254,,
1962-08-01,4.3074,,
1962-09-01,3.9411,,
1962-10-01,3.2709,,
1962-11-01,3.1962,,
1962-12-01,1.9315,,
1963-01-01,4.4606,,
1963-02-01,0.7395,,
1963-03-01,1.2921,,
1963-04-01,0.9278,,
1963-05-01,1.1901,,
1963-06-01,3.3784,,
1963-07-01,2.0826,,
1963-08-01,2.3786,,
1963-09-01,2.5387,,
1963-10-01,2.4084,,
1963-11-01,1.5815,,
1963-12-01,2.4601,,
1964-01-01,-0.8275,,
1964-02-01,4.5045,,
1964-03-01,4.901,,
1964-04-01,2.1996,,
1964-05-01,2.0908,,
1964-06-01,2.8431,,
1964-07-01,2.2345,,
1964-08-01,2.162,,
1964-09-01,1.9614,,
1964-10-01,3.0928,,
1964-11-01,4.6383,,
1964-12-01,4.8994,,
1965-01-01,7.8438,,
1965-02-01,2.9693,,
1965-03-01,3.712,,
1965-04-01,2.7947,,
1965-05-01,4.608,,
1965-06-01,4.1945,,
1965-07-01,2.9142,,
1965-08-01,4.3272,,
1965-09-01,4.6988,,
1965-10-01,4.375,,
1965-11-01,4.3087,,
1965-12-01,5.3511,,
1966-01-01,4.5806,,
1966-02-01,3.4419,,
1966-03-01,5.5538,,
1966-04-01,6.0625,,
1966-05-01,2.7837,,
1966-06-01,4.3611,,
1966-07-01,5.2632,,
1966-08-01,2.7551,,
1966-09-01,1.4157,,
1966-10-01,0.0,,
1966-11-01,-1.5156,,
1966-12-01,-2.5837,,
1967-01-01,-1.4797,,
1967-02-01,-0.5695,,
1967-03-01,-3.8293,,
1967-04-01,-3.4473,,
1967-05-01,-2.9167,,
1967-06-01,-4.6172,,
1967-07-01,-3.4211,,
1967-08-01,-2.416,,
1967-09-01,-1.5741,,
1967-10-01,-0.8084,,
1967-11-01,0.9053,,
1967-12-01,0.8137,,
1968-01-01,-3.5446,,
1968-02-01,2.4118,,
1968-03-01,2.9787,,
1968-04-01,3.7839,,
1968-05-01,3.924,,
1968-06-01,3.0331,,
1968-07-01,2.5129,,
1968-08-01,3.1703,,
1968-09-01,4.315,,
1968-10-01,5.3426,,
1968-11-01,4.2464,,
1968-12-01,5.4111,,
1969-01-01,10.0592,,
1969-02-01,5.2399,,
1969-03-01,5.6375,,
1969-04-01,5.5572,,
1969-05-01,7.2271,,
1969-06-01,8.9503,,
1969-07-01,8.2103,,
1969-08-01,6.9359,,
1969-09-01,6.335,,
1969-10-01,5.2149,,
1969-11-01,5.6512,,
1969-12-01,5.1333,,
1970-01-01,2.292,,
1970-02-01,3.5804,,
1970-03-01,3.297,,
1970-04-01,2.2006,,
1970-05-01,-0.0275,,
1970-06-01,-0.7642,,
1970-07-01,-0.5186,,
1970-08-01,-0.1368,,
1970-09-01,-1.5778,,
1970-10-01,-1.2527,,
1970-11-01,-1.0861,,
1970-12-01,-0.5125,,
1971-01-01,0.7746,,
1971-02-01,-1.8904,,
1971-03-01,-0.6221,,
1971-04-01,1.7989,,
1971-05-01,3.1921,,
1971-06-01,3.3828,,
1971-07-01,3.8683,,
1971-08-01,3.7545,,
1971-09-01,5.5832,,
1971-10-01,6.6464,,
1971-11-01,7.137,,
1971-12-01,4.8536,,
1972-01-01,7.384,,
1972-02-01,7.019,,
1972-03-01,6.7229,,
1972-04-01,5.2477,,
1972-05-01,5.52,,
1972-06-01,5.5866,,
1972-07-01,4.0412,,
1972-08-01,5.2034,,
1972-09-01,4.712,,
1972-10-01,4.422,,
1972-11-01,2.5365,,
1972-12-01,1.8102,,
1973-01-01,2.3517,,
1973-02-01,4.7068,,
1973-03-01,4.2846,,
1973-04-01,4.4518,,
1973-05-01,4.5489,,
1973-06-01,5.6437,,
1973-07-01,7.4384,,
1973-08-01,6.2767,,
1973-09-01,5.925,,
1973-10-01,4.8044,,
1973-11-01,5.7471,,
1973-12-01,7.6708,,
1974-01-01,4.7952,,
1974-02-01,4.618,,
1974-03-01,4.0597,,
1974-04-01,2.8982,,
1974-05-01,1.4745,,
1974-06-01,-1.1209,,
1974-07-01,-4.4187,,
1974-08-01,-4.1106,,
1974-09-01,-5.3812,,
1974-10-01,-6.1437,,
1974-11-01,-7.5851,,
1974-12-01,-8.9408,,
1975-01-01,-8.4604,,
1975-02-01,-12.7025,,
1975-03-01,-14.7356,,
1975-04-01,-15.6213,,
1975-05-01,-15.3883,,
1975-06-01,-14.9542,,
1975-07-01,-13.4487,,
1975-08-01,-12.6139,,
1975-09-01,-10.8755,,
1975-10-01,-9.6928,,
1975-11-01,-7.8497,,
1975-12-01,-5.6736,,
1976-01-01,-3.9833,,
1976-02-01,-0.8338,,
1976-03-01,1.5711,,
1976-04-01,3.338,,
1976-05-01,2.7309,,
1976-06-01,3.0062,,
1976-07-01,3.599,,
1976-08-01,2.3964,,
1976-09-01,1.7072,,
1976-10-01,1.617,,
1976-11-01,2.0533,,
1976-12-01,1.2909,,
1977-01-01,-0.7592,,
1977-02-01,2.3868,,
1977-03-01,4.7218,,
1977-04-01,5.9718,,
1977-05-01,7.7007,,
1977-06-01,9.0859,,
1977-07-01,9.7601,,
1977-08-01,9.9945,,
1977-09-01,10.7045,,
1977-10-01,10.6722,,
1977-11-01,10.3317,,
1977-12-01,10.8189,,
1978-01-01,10.082,,
1978-02-01,7.4967,,
1978-03-01,8.2664,,
1978-04-01,10.3484,,
1978-05-01,9.4656,,
1978-06-01,10.525,,
1978-07-01,10.6004,,
1978-08-01,10.6383,,
1978-09-01,9.9677,,
1978-10-01,10.238,,
1978-11-01,9.7339,,
1978-12-01,8.8818,,
1979-01-01,8.5381,,
1979-02-01,8.1567,,
1979-03-01,8.9517,,
1979-04-01,4.8282,,
1979-05-01,6.1134,,
1979-06-01,5.1382,,
1979-07-01,4.9512,,
1979-08-01,4.8416,,
1979-09-01,4.5434,,
1979-10-01,3.8903,,
1979-11-01,3.6829,,
1979-12-01,4.0449,,
1980-01-01,5.7626,,
1980-02-01,4.9214,,
1980-03-01,-0.0879,,
1980-04-01,-0.9522,,
1980-05-01,-2.8697,,
1980-06-01,-4.5395,,
1980-07-01,-5.8429,,
1980-08-01,-5.546,,
1980-09-01,-4.8432,,
1980-10-01,-4.5238,,
1980-11-01,-4.5051,,
1980-12-01,-4.6436,,
1981-01-01,-5.427,,
1981-02-01,-5.3855,,
1981-03-01,-3.3421,,
1981-04-01,-1.319,,
1981-05-01,-2.0523,,
1981-06-01,-1.9113,,
1981-07-01,-1.1951,,
1981-08-01,-2.2618,,
1981-09-01,-3.3401,,
1981-10-01,-3.922,,
1981-11-01,-4.5362,,
1981-12-01,-5.3907,,
1982-01-01,-6.973,,
1982-02-01,-5.1871,,
1982-03-01,-6.5514,,
1982-04-01,-7.4989,,
1982-05-01,-5.7794,,
1982-06-01,-6.5182,,
1982-07-01,-6.9318,,
1982-08-01,-7.036,,
1982-09-01,-6.8641,,
1982-10-01,-7.0316,,
1982-11-01,-6.2248,,
1982-12-01,-5.4824,,
1983-01-01,-1.1797,,
1983-02-01,-4.0426,,
1983-03-01,-4.0409,,
1983-04-01,-3.3064,,
1983-05-01,-3.2258,,
1983-06-01,-0.5955,,
1983-07-01,1.3497,,
1983-08-01,3.0928,,
1983-09-01,4.4422,,
1983-10-01,6.0406,,
1983-11-01,6.8406,,
1983-12-01,7.5988,,
1984-01-01,7.0629,,
1984-02-01,11.2513,,
1984-03-01,11.4409,,
1984-04-01,12.0314,,
1984-05-01,12.5253,,
1984-06-01,12.5062,,
1984-07-01,11.8126,,
1984-08-01,10.9024,,
1984-09-01,10.5848,,
1984-10-01,9.8612,,
1984-11-01,9.4854,,
1984-12-01,9.5104,,
1985-01-01,8.4321,,
1985-02-01,5.7143,,
1985-03-01,7.6713,,
1985-04-01,7.7097,,
