date,Total Residential Construction Spending YoY %,Private Residential Construction Spending YoY %
1994-01-01,,22.9008
1994-02-01,,21.5153
1994-03-01,,23.6428
1994-04-01,,23.4246
1994-05-01,,22.743
1994-06-01,,20.1093
1994-07-01,,17.5814
1994-08-01,,14.5572
1994-09-01,,13.1376
1994-10-01,,9.3711
1994-11-01,,5.5546
1994-12-01,,2.4388
1995-01-01,,1.0779
1995-02-01,,-0.9807
1995-03-01,,-3.0351
1995-04-01,,-7.8686
1995-05-01,,-9.0119
1995-06-01,,-10.2691
1995-07-01,,-8.6978
1995-08-01,,-7.0286
1995-09-01,,-5.7419
1995-10-01,,-3.1145
1995-11-01,,-3.312
1995-12-01,,-2.4122
1996-01-01,,-0.0937
1996-02-01,,4.0289
1996-03-01,,9.6218
1996-04-01,,12.1284
1996-05-01,,16.7674
1996-06-01,,20.1455
1996-07-01,,17.5965
1996-08-01,,16.6219
1996-09-01,,16.1744
1996-10-01,,14.8755
1996-11-01,,11.9679
1996-12-01,,7.4975
1997-01-01,,5.9791
1997-02-01,,6.1142
1997-03-01,,5.8467
1997-04-01,,1.8407
1997-05-01,,2.0382
1997-06-01,,-0.2988
1997-07-01,,-0.7422
1997-08-01,,0.1263
1997-09-01,,1.8195
1997-10-01,,4.4124
1997-11-01,,5.0518
1997-12-01,,6.3017
1998-01-01,,8.2705
1998-02-01,,7.987
1998-03-01,,10.1823
1998-04-01,,12.0078
1998-05-01,,10.6954
1998-06-01,,13.0893
1998-07-01,,13.427
1998-08-01,,13.4661
1998-09-01,,12.8771
1998-10-01,,12.8753
1998-11-01,,12.872
1998-12-01,,12.429
1999-01-01,,10.6635
1999-02-01,,10.265
1999-03-01,,8.6849
1999-04-01,,9.6051
1999-05-01,,9.3714
1999-06-01,,8.8571
1999-07-01,,8.1347
1999-08-01,,9.11
1999-09-01,,9.6946
1999-10-01,,11.1305
1999-11-01,,13.0354
1999-12-01,,14.6503
2000-01-01,,15.3928
2000-02-01,,14.2959
2000-03-01,,11.5617
2000-04-01,,12.6781
2000-05-01,,9.2347
2000-06-01,,7.8128
2000-07-01,,5.1488
2000-08-01,,3.3062
2000-09-01,,1.2244
2000-10-01,,0.4883
2000-11-01,,-0.2109
2000-12-01,,-0.8214
2001-01-01,,-1.3556
2001-02-01,,0.4819
2001-03-01,,-0.9684
2001-04-01,,1.6292
2001-05-01,,3.0371
2001-06-01,,5.1049
2001-07-01,,8.6331
2001-08-01,,9.3065
2001-09-01,,8.7778
2001-10-01,,7.8066
2001-11-01,,8.2067
2001-12-01,,9.3392
2002-01-01,,8.4277
2002-02-01,,9.0818
2002-03-01,,10.1069
2002-04-01,,10.221
2002-05-01,,9.3442
2002-06-01,,9.8427
2002-07-01,,10.4044
2002-08-01,,8.0962
2002-09-01,,7.0527
2002-10-01,,7.0412
2002-11-01,,6.8177
2002-12-01,,9.4289
2003-01-01,10.4627,10.6339
2003-02-01,7.9888,8.2321
2003-03-01,6.9806,7.2383
2003-04-01,5.2536,5.3936
2003-05-01,6.7907,6.8286
2003-06-01,7.0851,7.2176
2003-07-01,10.6953,10.9445
2003-08-01,13.5182,13.5772
2003-09-01,15.9714,16.1734
2003-10-01,18.1907,18.3284
2003-11-01,20.6173,20.8809
2003-12-01,22.0209,22.2456
2004-01-01,19.0545,19.3524
2004-02-01,19.4878,19.8656
2004-03-01,22.3792,22.641
2004-04-01,21.7205,21.852
2004-05-01,23.9074,24.0752
2004-06-01,22.2841,22.4782
2004-07-01,20.9213,21.0157
2004-08-01,21.5261,21.7239
2004-09-01,19.0581,19.105
