date,CPI - New York YoY %,CPI - Philadelphia YoY %,CPI - Boston YoY %,CPI - Chicago YoY %,CPI - Detroit YoY %,CPI - Dallas YoY %,CPI - Houston YoY %,CPI - Atlanta YoY %,CPI - Miami YoY %,CPI - San Francisco YoY %,CPI - Seattle YoY %,CPI - West Region (Size Class A) YoY %
1915-12-01,2.0202,0.9804,1.9048,2.0,4.1237,,0.0,,,0.0,-1.087,
1916-12-01,11.8812,12.6214,13.0841,13.7255,15.8416,,14.7368,,,8.6957,6.5934,
1917-12-01,22.1239,21.5517,17.3554,16.3793,22.2222,,21.1009,,,16.0,21.6495,
1918-12-01,21.7391,20.5674,21.831,20.7407,18.8811,,20.4545,19.7368,,21.5517,30.5085,
1919-12-01,14.881,12.9412,12.7168,15.9509,17.0588,,16.3522,14.2857,,15.6028,18.1818,
1920-06-01,22.2222,21.7143,23.5632,25.3012,28.6517,,20.122,21.6931,,19.0476,22.5,
1920-12-01,1.0363,3.6458,3.5897,0.0,6.5327,,2.1622,0.0,,1.227,-1.6484,
1921-12-01,-8.2051,-11.0553,-11.8812,-7.4074,-15.566,,-13.2275,-13.4615,,-9.0909,-10.6145,
1922-05-01,,,,-5.5866,,,,,,,,
1922-09-01,-3.9326,-5.5866,-6.1111,-4.4944,-6.4865,,-5.4217,-5.9459,,-3.3333,-4.908,
1922-12-01,-2.7933,-2.2599,-2.809,-2.2857,-2.2346,,-3.0488,-3.8889,,-2.6667,-3.125,
1923-03-01,1.1696,0.0,1.1834,,2.3121,,-1.2579,0.0,,-2.0408,-3.8217,
1923-06-01,1.1628,1.7341,1.7857,1.7647,3.4483,,0.6329,0.5714,,0.0,-0.641,
1923-09-01,2.924,5.3254,4.142,4.1176,6.3584,,1.9108,2.2989,,2.069,0.6452,
1923-12-01,2.2989,2.8902,2.8902,3.5088,4.0,,1.2579,1.1561,,2.7397,0.6452,
1924-03-01,0.578,1.7341,1.1696,2.3256,2.2599,,1.2739,-0.5747,,1.3889,2.649,
1924-06-01,0.0,0.5682,0.5848,2.3121,0.5556,,-1.8868,-1.7045,,0.0,0.6452,
1924-09-01,-1.1364,-1.1236,-0.5682,0.565,-2.7174,,-1.25,-2.809,,-0.6757,-0.641,
1924-12-01,-0.5618,1.1236,-1.1236,1.1299,-1.6484,,-0.6211,-1.1429,,-1.3333,0.0,
1925-06-01,1.7241,3.9548,1.7442,2.8249,1.105,,3.2051,3.4682,,3.4247,2.5641,
1925-12-01,4.5198,5.0,5.1136,3.9106,3.9106,,2.5,5.7803,,3.3784,2.5641,
1926-06-01,2.2599,2.1739,3.4286,0.5495,0.5464,,-0.6211,0.5587,,-0.6623,-1.25,
1926-12-01,-2.1622,-1.0582,-1.6216,-1.6129,-2.1505,,-2.439,-2.7322,,-1.9608,-1.875,
1927-06-01,-0.5525,-1.5957,-0.5525,0.0,-1.087,,-1.875,0.5556,,0.0,0.0,
1927-12-01,0.0,-2.139,-1.0989,-2.7322,-2.7473,,-1.25,-3.3708,,-0.6667,-1.9108,
1928-06-01,-1.6667,-2.1622,-2.7778,-3.8251,-4.3956,,-1.2739,-3.8674,,-1.3333,-3.1646,
1928-12-01,-1.6575,-2.7322,-1.1111,-0.5618,-1.6949,,-1.2658,0.5814,,0.6711,0.0,
1929-06-01,0.565,-1.6575,0.0,0.0,1.1494,,0.6452,-1.7241,,0.0,1.3072,
1929-12-01,0.5618,0.5618,0.0,0.0,0.5747,,1.2821,-1.1561,,-0.6667,0.6494,
1930-06-01,-2.2472,-1.6854,-0.5714,-1.1364,-2.2727,,-1.2821,-3.5088,,-1.3514,0.0,
1930-12-01,-5.0279,-6.1453,-5.0562,-6.2147,-9.1429,,-6.962,-7.6023,,-5.3691,-7.0968,
1931-06-01,-8.046,-9.1429,-9.7701,-10.3448,-13.9535,,-10.3896,-10.303,,-8.9041,-10.3226,
1931-12-01,-9.4118,-8.9286,-9.4675,-10.241,-12.5786,,-8.8435,-11.3924,,-8.5106,-6.9444,
1932-06-01,-8.125,-10.6918,-10.1911,-12.8205,-12.8378,,-10.8696,-9.4595,,-8.2707,-9.3525,
1932-12-01,-7.7922,-11.7647,-9.8039,-13.4228,-12.9496,,-12.6866,-10.0,,-6.9767,-9.7015,
1933-06-01,-6.8027,-7.0423,-4.9645,-8.8235,-9.3023,,-5.6911,-6.7164,,-4.0984,-4.7619,
1933-12-01,-1.4085,2.2222,0.7246,-1.5504,1.6529,,3.4188,2.381,,0.8333,0.0,
1934-06-01,4.3796,7.5758,5.2239,2.4194,9.4017,,5.1724,4.8,,4.2735,1.6667,
1936-07-01,1.3986,2.1127,2.1127,1.4925,4.4776,,2.381,2.2388,,0.813,1.6,
1937-09-01,3.4014,3.4247,4.1379,4.3478,5.6738,,3.8462,2.8777,,4.0323,4.6512,
1937-12-01,3.4483,0.6849,2.7972,3.6496,7.1429,,3.8462,1.4388,,4.8387,3.876,
1938-03-01,-2.027,-2.027,-2.0548,0.0,1.3889,,0.0,-1.4286,,0.0,0.0,
1938-06-01,-2.027,-2.0134,-3.3784,-1.4085,-2.027,,-0.7519,-3.5461,,0.0,-0.7519,
1938-09-01,-3.9474,-3.9735,-5.298,-2.7778,-4.0268,,-1.4815,-3.4965,,-0.7752,-2.2222,
1938-12-01,-2.6667,-2.0408,-3.4014,-2.8169,-5.3333,,-1.4815,-2.1277,,-1.5385,-1.4925,
1939-03-01,0.0,-2.069,-1.3986,-1.4388,-4.1096,,-1.5038,-1.4493,,-0.7813,-1.5038,
1939-06-01,-1.3793,-2.7397,-2.0979,-2.8571,-4.1379,,-0.7576,-0.7353,,-2.3438,-0.7576,
1939-09-01,1.3699,0.0,0.0,-1.4286,-1.3986,,0.0,0.0,,0.0,0.7576,
1939-12-01,0.0,-0.6944,-0.7042,-0.7246,-1.4085,,-0.7519,-1.4493,,-1.5625,-0.7576,
1940-03-01,1.3793,0.7042,1.4184,0.0,0.7143,,0.7634,0.7353,,-0.7874,0.7634,
1940-06-01,3.4965,1.4085,2.8571,2.2059,2.1583,,0.7634,0.0,,0.8,0.7634,
1940-09-01,-0.6757,-1.3793,0.0,0.0,0.0,,-0.7519,-1.4493,,-0.7813,-0.7519,
1940-12-01,0.6849,0.6993,1.4184,1.4599,1.4286,,0.7576,1.4706,,1.5873,1.5267,
1941-03-01,0.6803,1.3986,0.0,1.4599,2.1277,,0.7576,0.7299,,2.381,1.5152,
1941-06-01,2.7027,4.1667,2.7778,3.5971,5.6338,,3.0303,5.1852,,5.5556,5.303,
1941-09-01,6.1224,8.3916,6.993,8.6957,9.2199,,6.8182,8.8235,,7.0866,9.8485,
1941-10-01,7.5342,9.7902,8.4507,9.4203,11.3475,,8.2707,,,7.8125,11.3636,
1941-11-01,7.483,9.7902,10.5634,10.1449,12.0567,,9.0226,,,9.375,11.3636,
1941-12-01,7.483,9.7222,9.0909,9.3525,11.9718,,9.7744,10.1449,,9.375,12.0301,
1942-01-01,9.5238,11.8056,10.4895,10.7914,13.3803,,10.5263,,,11.7188,14.2857,
1942-02-01,9.4595,11.8056,11.8881,10.7914,13.2867,,12.0301,,,11.6279,15.0376,
1942-03-01,10.1351,12.4138,12.5874,12.2302,14.5833,,13.5338,13.7681,,13.1783,15.6716,
1942-04-01,10.0671,13.0137,11.0345,12.0567,14.3836,,11.8519,,,12.9771,15.5556,
1942-05-01,10.0,12.9252,11.6438,12.6761,14.3836,,12.5926,,,12.9771,14.4928,
1942-06-01,9.8684,11.3333,10.8108,11.1111,11.3333,,11.0294,11.9718,,12.0301,11.5108,
1942-07-01,9.8039,12.6667,11.3333,9.589,11.3333,,11.6788,,,12.0301,11.4286,
1942-08-01,9.7403,11.1842,9.9338,9.5238,9.9338,,11.5942,,,12.6866,12.0567,
