date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1948-01-01,10.2421,,,,,6.0606,9.4972,7.5521,
1948-02-01,9.482,,,,,5.2632,8.9385,7.732,
1948-03-01,6.8182,,,,,6.015,8.2873,6.599,
1948-04-01,8.2727,,,,,6.7164,8.7432,6.0453,
1948-05-01,9.385,,,,,5.9259,8.7432,6.7839,
1948-06-01,9.375,,,,,6.6667,8.6957,6.0,
1948-07-01,9.7616,,,,,7.4074,13.5135,6.75,
1948-08-01,9.0625,,,,,7.3529,15.1351,7.4813,
1948-09-01,6.655,,,,,5.8394,14.4385,7.2139,
1948-10-01,6.1109,,,,,5.7971,14.3617,6.6832,
1948-11-01,4.7702,,,,,6.5217,13.6842,5.9113,
1948-12-01,2.7339,,,,,5.7554,13.089,4.878,
1949-01-01,1.3936,,,,,5.0,10.2041,2.1792,
1949-02-01,1.0139,,,,,5.7143,11.7949,0.0,
1949-03-01,1.7447,,,,,4.9645,11.7347,-0.9524,
1949-04-01,0.4198,,,,,3.4965,10.5528,-1.9002,
1949-05-01,-0.4165,,,,,3.4965,11.5578,-3.2941,
1949-06-01,-0.9524,,,,,2.7778,10.5,-3.3019,
1949-07-01,-2.8689,,,,,2.069,5.7143,-4.4496,
1949-08-01,-2.9881,,,,,2.0548,4.6948,-6.0325,
1949-09-01,-2.5041,,,,,2.7586,3.7383,-6.7285,
1949-10-01,-2.6327,,,,,2.0548,3.7209,-7.4246,
1949-11-01,-1.904,,,,,1.3605,3.2407,-7.4419,
1949-12-01,-1.8295,,,,,1.3605,4.1667,-7.4419,
1950-01-01,-2.0825,,,,,1.3605,3.7037,-5.9242,
1950-02-01,-1.2547,,,,,1.3514,2.7523,-5.0239,
1950-03-01,-1.1292,,,,,0.6757,2.2831,-4.5673,
1950-04-01,-1.1288,,,,,1.3514,1.8182,-3.8741,
1950-05-01,-0.5855,,,,,1.3514,1.3514,-3.4063,
1950-06-01,-0.1672,,,,,1.3514,1.81,-3.1707,
1950-07-01,1.5612,,,,,2.027,2.2523,-2.2059,
1950-08-01,2.1097,,,,,1.3423,2.6906,-0.9877,
1950-09-01,2.4842,,,,,2.0134,3.1532,0.995,
1950-10-01,3.5065,,,,,2.6846,2.6906,3.2581,
1950-11-01,3.7975,,,,,2.6846,3.139,4.2714,
1950-12-01,5.8026,,,,,3.3557,3.1111,5.2764,
1951-01-01,7.9541,,,,,3.3557,4.0179,7.3048,
1951-02-01,9.4028,,,,,3.3333,5.3571,9.068,
1951-03-01,9.4755,,,,,5.3691,6.25,9.5718,
1951-04-01,9.5983,,,,,4.6667,6.6964,10.3275,
1951-05-01,9.3395,,,,,5.3333,6.6667,10.5793,
1951-06-01,8.5846,,,,,5.3333,7.1111,10.5793,
1951-07-01,7.6444,,,,,4.6358,6.1674,10.2757,
1951-08-01,6.8595,,,,,5.298,5.6769,9.7257,
1951-09-01,6.9433,,,,,4.6053,6.5502,10.3448,
1951-10-01,6.7755,,,,,4.5752,6.9869,8.4951,
1951-11-01,6.9919,,,,,5.2288,7.8261,6.988,
1951-12-01,5.9648,,,,,5.8442,7.3276,5.7279,
1952-01-01,4.2159,,,,,5.8442,7.2961,3.0516,
1952-02-01,2.2455,,,,,5.8065,6.7797,1.3857,
1952-03-01,1.9706,,,,,5.0955,6.3025,0.4598,
1952-04-01,2.0833,,,,,5.0955,6.6946,-0.4566,
1952-05-01,1.8469,,,,,4.4304,6.6667,-0.6834,
1952-06-01,2.3139,,,,,6.3291,7.0539,-0.9112,
1952-07-01,2.9718,,,,,6.962,7.8838,-1.1364,
1952-08-01,3.2096,,,,,6.2893,7.0248,-1.3636,
1952-09-01,2.305,,,,,6.2893,6.5574,-3.3482,
1952-10-01,2.026,,,,,5.625,6.5306,-3.5794,
1952-11-01,1.4058,,,,,4.9689,5.6452,-3.1532,
1952-12-01,0.9067,,,,,4.2945,5.2209,-2.9345,
1953-01-01,0.7183,,,,,4.2945,5.2,-2.0501,
1953-02-01,0.6816,,,,,3.6585,3.9683,-2.0501,
1953-03-01,0.9094,,,,,3.0303,3.9526,-1.6018,
1953-04-01,0.8692,,,,,3.6364,3.5294,-1.1468,
1953-05-01,0.8689,,,,,4.2424,3.125,-0.9174,
1953-06-01,0.9046,,,,,2.9762,2.7132,-0.4598,
1953-07-01,0.4123,,,,,2.3669,2.3077,-0.4598,
1953-08-01,0.5995,,,,,2.9586,3.0888,-0.4608,
1953-09-01,0.9763,,,,,3.5503,2.6923,-0.2309,
1953-10-01,0.9741,,,,,3.5503,1.9157,0.232,
1953-11-01,0.5995,,,,,4.142,0.3817,0.6977,
1953-12-01,0.599,,,,,3.5294,0.0,0.4651,
1954-01-01,1.1261,,,,2.765,3.5294,0.7605,0.6977,
1954-02-01,1.5043,,,,2.2936,4.1176,0.3817,0.4651,
