date,Total Housing Completions YoY %,Single-Family Completions YoY %,5+ Unit Completions YoY %
1969-01-01,0.0,-4.1143,15.2104
1969-02-01,20.4429,13.0999,40.3614
1969-03-01,17.7627,-0.2288,62.8726
1969-04-01,-0.753,-16.2584,35.6742
1969-05-01,4.6086,-8.7778,32.9923
1969-06-01,22.8885,7.3232,56.6667
1969-07-01,4.5255,-9.0807,44.1489
1969-08-01,8.9132,-4.3062,30.5913
1969-09-01,-2.1475,-12.2007,22.1698
1969-10-01,4.3027,-2.657,20.6019
1969-11-01,2.7067,-11.5607,30.8411
1969-12-01,0.8633,-12.4571,28.4404
1970-01-01,14.0811,-1.0727,48.3146
1970-02-01,1.1315,-12.7294,24.8927
1970-03-01,-15.4685,-18.0046,-14.1431
1970-04-01,2.7314,-1.1968,8.6957
1970-05-01,-6.7133,-6.6991,-6.5385
1970-06-01,-1.6495,-9.1765,6.9632
1970-07-01,-3.352,-2.3428,-2.952
1970-08-01,15.5061,5.375,34.4488
1970-09-01,1.1704,14.6753,-18.1467
1970-10-01,2.2048,0.0,3.8388
1970-11-01,3.7749,10.4575,-6.6071
1970-12-01,2.4964,9.0078,-6.7857
1971-01-01,2.5802,2.0482,0.0
1971-02-01,1.2587,14.0604,-16.1512
1971-03-01,13.06,26.2937,-3.4884
1971-04-01,26.2186,38.358,9.1429
1971-05-01,22.7136,27.0235,17.284
1971-06-01,14.3955,25.0,3.255
1971-07-01,22.7601,30.5556,7.2243
1971-08-01,17.8372,23.4875,9.3704
1971-09-01,30.4411,22.0838,44.3396
1971-10-01,26.3048,35.4839,13.4935
1971-11-01,26.5614,31.8343,17.3996
1971-12-01,31.872,37.006,17.8161
1972-01-01,32.019,33.7662,29.3561
1972-02-01,42.3343,29.2627,66.3934
1972-03-01,33.0423,27.7962,40.5622
1972-04-01,15.2721,15.5642,19.7208
1972-05-01,15.8216,16.2384,16.1404
1972-06-01,18.2651,18.6528,17.338
1972-07-01,13.5962,8.4139,22.3404
1972-08-01,10.865,19.8847,-2.1419
1972-09-01,13.8027,3.154,33.0065
1972-10-01,9.9174,8.2418,14.8208
1972-11-01,7.6464,3.2316,15.6352
1972-12-01,11.9261,5.507,28.9431
1973-01-01,11.3285,14.2101,9.8097
1973-02-01,3.0568,14.9733,-11.0837
1973-03-01,10.8531,13.0849,9.7143
1973-04-01,11.4213,7.9125,15.5977
1973-05-01,21.2553,14.8541,29.4562
1973-06-01,16.6322,10.8297,26.8657
1973-07-01,7.0466,-3.5682,23.3333
1973-08-01,-2.1884,-7.9327,8.7551
1973-09-01,0.3897,5.3058,-7.0025
1973-10-01,2.8571,-4.4839,10.2128
1973-11-01,-3.0227,-3.913,0.5634
1973-12-01,-11.8812,-12.0133,-9.9622
1974-01-01,-10.6383,-20.7883,4.9333
1974-02-01,-8.7571,-20.3876,10.8033
1974-03-01,-17.7596,-25.4406,-6.1198
1974-04-01,-16.6287,-26.9891,-1.5132
1974-05-01,-25.4023,-28.4065,-20.07
1974-06-01,-15.9876,-12.5296,-18.0
1974-07-01,-17.9574,-15.0786,-20.564
1974-08-01,-20.5253,-20.8877,-19.8742
1974-09-01,-19.8933,-22.7156,-12.2853
1974-10-01,-20.5653,-19.132,-17.5032
1974-11-01,-17.4026,-22.2624,-8.9636
1974-12-01,-17.603,-20.8098,-12.1849
1975-01-01,-17.8054,-5.3659,-28.9708
1975-02-01,-30.547,-23.0769,-39.25
1975-03-01,-28.4053,-21.8911,-33.8419
1975-04-01,-30.1639,-15.2778,-46.6069
1975-05-01,-21.3411,-4.8387,-41.3139
1975-06-01,-34.9499,-26.4865,-48.0631
1975-07-01,-24.7198,-4.0305,-50.0
1975-08-01,-21.0526,-3.5204,-43.7991
1975-09-01,-19.2611,6.8508,-53.1627
1975-10-01,-30.4294,-17.1961,-50.39
1975-11-01,-13.0189,15.2503,-50.1538
1975-12-01,-15.1948,15.8145,-57.2568
1976-01-01,-20.7809,-1.6495,-56.3506
1976-02-01,-2.6003,24.6835,-46.5021
1976-03-01,4.1763,31.3158,-40.0419
1976-04-01,4.2254,26.3556,-36.211
1976-05-01,6.7457,14.0113,-16.9154
1976-06-01,12.6418,29.6569,-30.3867
1976-07-01,3.605,18.0477,-37.8698
1976-08-01,6.5116,20.8666,-34.0782
1976-09-01,2.8507,1.241,1.6077
1976-10-01,22.3986,37.963,-19.8113
1976-11-01,3.2538,10.6061,-22.8395
1976-12-01,11.562,12.423,2.9851
1977-01-01,15.8188,18.6583,-5.7377
1977-02-01,26.2395,29.4416,15.7692
1977-03-01,20.193,18.8377,19.9301
1977-04-01,16.2162,18.5629,5.6391
1977-05-01,7.9861,17.2448,-12.5749
1977-06-01,17.6978,14.7448,20.6349
1977-07-01,27.6097,22.7885,49.5238
1977-08-01,21.7613,20.1887,25.4237
1977-09-01,36.0321,48.1103,-5.6962
1977-10-01,20.6772,19.2713,28.2353
1977-11-01,23.9496,18.7215,50.4
1977-12-01,12.1482,17.5342,-2.1739
1978-01-01,21.9629,14.6643,62.1739
1978-02-01,3.8671,-1.3333,11.2957
1978-03-01,10.2532,13.575,-9.9125
1978-04-01,19.0568,18.9394,9.9644
1978-05-01,18.9711,17.9205,13.0137
1978-06-01,16.4425,13.4267,37.1711
1978-07-01,16.0047,5.1684,56.6879
