date,Total Housing Starts YoY %,Single-Family Starts YoY %,2-4 Unit Starts YoY %,5+ Unit Starts YoY %,Starts - Northeast YoY %,Starts - Midwest YoY %,Starts - South YoY %,Starts - West YoY %
1960-01-01,-11.89,-9.36,,-22.43,-21.71,-20.8,0.2,-8.0
1960-02-01,-9.84,-8.28,,-15.71,-22.25,-18.34,-4.13,5.81
1960-03-01,-31.54,-27.91,,-43.99,-55.76,-50.12,-14.91,-12.03
1960-04-01,-18.93,-18.17,,-22.08,-20.73,-26.34,-13.06,-18.3
1960-05-01,-15.15,-16.82,,-8.07,-17.31,-16.06,-5.95,-24.24
1960-06-01,-17.03,-16.63,,-18.67,-18.11,-5.83,-21.24,-20.62
1960-07-01,-22.62,-24.6,,-14.09,-26.94,-17.52,-26.08,-19.62
1960-08-01,-6.01,-8.55,,6.75,-0.43,-19.14,1.05,-6.12
1960-09-01,-28.77,-32.16,,-12.45,-19.83,-19.34,-31.43,-39.63
1960-10-01,-8.04,-11.6,,3.85,12.6,-10.82,-12.87,-14.45
1960-11-01,-12.01,-18.4,,17.39,22.76,-15.03,-21.8,-19.77
1960-12-01,-33.6,-40.35,,16.23,-43.36,-37.47,-40.54,-10.89
1961-01-01,-18.97,-25.85,,14.46,-45.99,-13.13,-15.02,-8.7
1961-02-01,-18.43,-21.52,,-5.76,-15.99,-30.03,-8.83,-20.88
1961-03-01,18.3,5.86,,73.17,55.48,52.43,0.0,4.26
1961-04-01,-9.54,-16.21,,19.58,4.59,-14.93,-10.94,-12.3
1961-05-01,-3.38,-7.04,,10.69,6.98,-9.73,0.66,-10.67
1961-06-01,10.83,0.8,,52.05,26.44,-12.38,21.08,11.04
1961-07-01,11.53,6.02,,32.4,30.81,-12.09,22.34,8.7
1961-08-01,-2.38,-10.82,,33.99,2.18,-8.48,5.01,-10.48
1961-09-01,30.26,21.62,,62.5,57.22,-2.05,32.81,44.49
1961-10-01,13.56,7.7,,30.25,-8.04,7.35,32.38,15.56
1961-11-01,11.16,7.27,,23.57,-16.23,6.86,25.83,24.64
1961-12-01,28.41,19.5,,62.16,76.55,12.55,42.9,2.82
1962-01-01,15.05,8.46,,35.79,86.49,-24.44,12.79,24.15
1962-02-01,4.24,-0.21,,19.42,-4.87,2.61,12.16,0.69
1962-03-01,9.98,2.3,,30.7,11.01,-9.55,25.23,8.16
1962-04-01,30.7,16.84,,73.17,22.81,33.06,24.1,44.96
1962-05-01,20.77,10.02,,55.52,23.48,7.43,12.36,46.27
1962-06-01,1.59,-5.93,,22.1,3.42,-8.13,4.66,3.8
1962-07-01,8.61,-2.09,,41.09,1.16,5.58,7.88,18.15
1962-08-01,15.62,8.22,,36.87,16.24,18.92,7.16,25.95
1962-09-01,-7.35,-17.68,,21.49,-26.89,-13.29,-8.04,17.07
1962-10-01,8.34,-0.3,,28.67,-12.93,4.45,23.09,6.02
1962-11-01,17.11,6.09,,47.68,1.19,16.22,17.89,28.49
1962-12-01,14.58,-0.7,,57.22,29.3,1.8,13.32,15.85
1963-01-01,-8.6,-16.84,,12.14,-42.75,-33.62,3.51,17.26
1963-02-01,13.93,3.28,,44.28,5.58,-2.18,5.02,50.69
1963-03-01,6.31,-1.74,,23.28,-3.17,-4.58,13.81,10.24
1963-04-01,10.83,6.72,,19.32,17.14,4.91,13.79,7.44
1963-05-01,10.65,3.78,,26.39,-7.75,23.18,10.23,15.31
1963-06-01,13.11,5.89,,28.26,-13.6,30.77,11.03,23.66
1963-07-01,11.31,4.88,,24.84,-8.02,11.27,19.04,14.06
1963-08-01,8.04,0.28,,2.59,1.1,13.31,10.39,5.53
1963-09-01,33.16,27.71,,14.41,20.63,45.97,47.76,14.32
1963-10-01,16.05,9.9,,2.21,27.07,26.23,5.25,19.19
1963-11-01,0.0,-4.44,,-15.5,-0.78,1.16,2.93,-4.52
1963-12-01,-4.67,-14.63,,-9.89,-33.23,4.95,-9.82,20.79
1964-01-01,28.86,26.3,,1.61,47.47,129.49,16.33,0.0
1964-02-01,25.0,18.94,,0.42,9.69,82.53,24.28,-1.37
1964-03-01,-1.11,-3.22,,-18.53,0.41,21.4,-4.92,-11.25
1964-04-01,-14.27,-17.79,,-25.46,-33.84,-13.16,-3.41,-15.01
1964-05-01,-10.6,-11.58,,-22.98,1.91,-6.18,-1.75,-32.52
1964-06-01,-2.39,-2.58,,-21.34,11.49,0.88,1.57,-17.77
1964-07-01,-3.22,-6.01,,-17.32,4.98,7.59,-8.24,-8.68
1964-08-01,-4.27,-6.25,0.93,-1.05,-4.0,1.15,0.17,-15.24
1964-09-01,-17.47,-13.47,-32.33,-22.14,-14.5,-9.39,-20.06,-21.87
1964-10-01,-14.33,-8.46,-16.18,-25.41,-8.59,-3.12,-9.97,-34.24
1964-11-01,-8.38,-9.88,-31.82,1.75,-1.97,-0.57,-8.54,-18.25
1964-12-01,-0.47,13.03,-31.78,-15.1,44.34,-9.76,12.84,-30.94
1965-01-01,-15.1,-11.83,-38.85,-15.19,-22.75,-16.76,8.9,-42.29
1965-02-01,-21.26,-26.59,-51.41,2.7,-1.2,-42.16,-8.31,-28.77
1965-03-01,-6.2,-0.21,-27.5,-12.66,19.59,-6.69,-10.69,-15.7
1965-04-01,-0.69,5.44,-13.33,-10.18,24.42,16.84,-0.53,-29.89
1965-05-01,0.75,0.21,27.16,-2.96,5.24,5.09,0.53,-7.87
1965-06-01,-4.0,-3.47,-25.89,0.22,8.78,9.62,-4.29,-25.21
1965-07-01,-2.11,6.6,-27.93,-13.69,-4.35,24.71,6.69,-35.5
1965-08-01,-8.73,-3.23,-17.59,-18.26,-1.52,-3.97,0.84,-34.83
1965-09-01,1.86,0.52,-1.11,5.64,20.87,10.06,3.43,-21.57
