date,Total Units Under Construction (SA) YoY %,Single-Family Under Construction YoY %
1971-01-01,9.2238,15.7746
1971-02-01,11.9369,18.7675
1971-03-01,15.1685,18.8366
1971-04-01,19.1919,23.0137
1971-05-01,23.7826,27.1233
1971-06-01,27.7778,29.6196
1971-07-01,30.1908,31.0811
1971-08-01,35.5835,35.4223
1971-09-01,35.3933,36.8564
1971-10-01,36.0,36.0743
1971-11-01,38.0744,37.7953
1971-12-01,36.2672,32.5815
1972-01-01,35.5304,32.3601
1972-02-01,30.1811,25.9434
1972-03-01,32.5854,31.0023
1972-04-01,30.3202,26.2806
1972-05-01,28.3623,23.4914
1972-06-01,26.7968,22.2222
1972-07-01,24.9138,21.8557
1972-08-01,24.557,21.1268
1972-09-01,24.3983,22.7723
1972-10-01,25.9804,22.807
1972-11-01,24.6434,21.7143
1972-12-01,23.5798,22.1172
1973-01-01,22.1125,19.8529
1973-02-01,25.8114,22.0974
1973-03-01,19.6468,14.4128
1973-04-01,16.9798,11.4638
1973-05-01,15.752,9.9476
1973-06-01,11.8964,4.8027
1973-07-01,10.8351,4.0609
1973-08-01,7.9946,0.8306
1973-09-01,5.2702,-4.3548
1973-10-01,-0.1297,-8.4127
1973-11-01,-3.2422,-11.8936
1973-12-01,-5.8564,-14.7059
1974-01-01,-8.8363,-16.7178
1974-02-01,-10.3808,-17.1779
1974-03-01,-12.9151,-17.1073
1974-04-01,-14.1445,-15.0316
1974-05-01,-16.6872,-16.5079
1974-06-01,-17.3859,-15.5483
1974-07-01,-20.5479,-17.2358
1974-08-01,-22.8356,-17.6277
1974-09-01,-25.2852,-17.7066
1974-10-01,-26.6883,-17.331
1974-11-01,-29.3693,-16.6963
1974-12-01,-31.1037,-15.7895
1975-01-01,-32.4232,-16.3904
1975-02-01,-34.0644,-17.2222
1975-03-01,-34.7458,-17.0732
1975-04-01,-35.6115,-18.4358
1975-05-01,-35.4767,-16.5399
1975-06-01,-35.352,-14.7287
1975-07-01,-33.3856,-12.1807
1975-08-01,-31.4634,-9.6
1975-09-01,-29.1773,-7.7869
1975-10-01,-25.3322,-1.0482
1975-11-01,-22.9767,0.8529
1975-12-01,-20.3883,1.5086
1976-01-01,-16.4646,6.1674
1976-02-01,-15.5925,7.3826
1976-03-01,-9.0909,14.0271
1976-04-01,-5.8101,16.6667
1976-05-01,-3.3219,17.9954
1976-06-01,0.2342,19.7727
1976-07-01,0.9412,19.2394
1976-08-01,3.0842,19.469
1976-09-01,7.1856,24.0
1976-10-01,8.4223,21.1864
1976-11-01,12.3188,21.9873
1976-12-01,15.4878,24.6285
1977-01-01,16.445,24.0664
1977-02-01,20.936,27.7083
1977-03-01,20.119,25.3968
1977-04-01,23.4875,27.9843
1977-05-01,27.7251,30.888
1977-06-01,28.5047,31.6888
1977-07-01,31.352,32.0826
1977-08-01,31.8757,31.8519
1977-09-01,28.9385,27.2401
1977-10-01,29.6499,27.6224
1977-11-01,29.1398,28.7695
1977-12-01,30.3062,29.3015
1978-01-01,28.5566,28.0936
1978-02-01,26.9857,26.2643
1978-03-01,24.777,22.7848
1978-04-01,23.3429,19.5719
1978-05-01,20.1299,15.3392
1978-06-01,18.9091,13.2565
1978-07-01,16.0603,11.7898
1978-08-01,13.9616,10.6742
1978-09-01,13.5182,10.0
1978-10-01,11.1392,6.5753
1978-11-01,10.741,5.7873
1978-12-01,8.9141,5.1383
1979-01-01,7.189,2.4804
1979-02-01,5.4531,0.1292
1979-03-01,2.3034,-1.933
1979-04-01,-1.8692,-4.9872
1979-05-01,-3.2432,-5.4987
1979-06-01,-3.2875,-5.9796
1979-07-01,-3.8226,-6.9886
1979-08-01,-4.2113,-7.7411
1979-09-01,-5.8779,-8.0666
1979-10-01,-7.3652,-9.126
1979-11-01,-10.7519,-13.2316
1979-12-01,-13.9137,-17.5439
1980-01-01,-14.5441,-17.8344
1980-02-01,-18.327,-21.6774
1980-03-01,-18.9441,-23.7845
1980-04-01,-22.5397,-27.9946
1980-05-01,-27.2147,-32.341
1980-06-01,-30.3557,-34.7767
1980-07-01,-31.6375,-34.2896
1980-08-01,-31.7346,-33.8377
1980-09-01,-29.1971,-29.9443
1980-10-01,-26.7213,-26.5912
1980-11-01,-23.6731,-22.434
1980-12-01,-21.089,-19.3009
1981-01-01,-17.9894,-17.0543
1981-02-01,-13.7803,-12.3558
1981-03-01,-12.3563,-9.8276
1981-04-01,-7.582,-3.7383
1981-05-01,-2.7412,0.2
1981-06-01,-3.0647,0.2075
1981-07-01,-3.8372,-2.9106
1981-08-01,-6.2061,-6.8607
1981-09-01,-11.7984,-14.3141
1981-10-01,-17.5615,-20.0385
1981-11-01,-21.5232,-24.0076
1981-12-01,-23.9869,-25.8004
1982-01-01,-26.2366,-26.3551
1982-02-01,-25.8099,-25.0
1982-03-01,-26.1202,-25.0478
1982-04-01,-25.8315,-24.6602
1982-05-01,-25.4791,-24.5509
1982-06-01,-23.4192,-21.7391
1982-07-01,-19.2261,-19.4861
1982-08-01,-16.3546,-16.2946
1982-09-01,-10.9091,-11.3689
1982-10-01,-5.4274,-6.506
1982-11-01,0.8439,-0.4975
1982-12-01,5.9078,5.3299
1983-01-01,10.7872,9.1371
1983-02-01,16.1572,14.0351
1983-03-01,21.8935,19.1327
1983-04-01,27.6532,24.7423
1983-05-01,34.7958,34.9206
1983-06-01,41.4373,38.8889
1983-07-01,43.4132,42.5532
1983-08-01,45.6716,45.0667
1983-09-01,44.3149,42.6702
1983-10-01,42.8981,40.2062
1983-11-01,41.7015,37.0
1983-12-01,39.5918,31.8072
1984-01-01,36.8421,29.7674
1984-02-01,30.2005,22.6374
1984-03-01,29.733,22.2698
1984-04-01,27.1663,19.4215
1984-05-01,21.3244,13.9216
1984-06-01,18.1622,11.2381
1984-07-01,14.6138,8.209
1984-08-01,11.373,4.9632
1984-09-01,10.0,4.4037
1984-10-01,8.5341,5.3309
1984-11-01,6.2992,5.292
1984-12-01,5.2632,6.3985
1985-01-01,3.2692,2.8674
1985-02-01,2.6949,3.2258
1985-03-01,-0.3742,1.4011
1985-04-01,-0.0921,0.519
1985-05-01,0.6475,-0.3442
1985-06-01,-2.0128,-1.8836
1985-07-01,-2.5501,-0.8621
1985-08-01,-1.104,1.2259
1985-09-01,-2.3875,-0.1757
1985-10-01,0.37,0.349
1985-11-01,0.7407,-0.6932
1985-12-01,1.2963,-2.4055
1986-01-01,2.4209,0.1742
1986-02-01,4.1237,0.6944
1986-03-01,3.8498,0.1727
1986-04-01,4.6083,1.0327
1986-05-01,4.5037,3.2815
1986-06-01,7.2829,6.4572
1986-07-01,7.5701,7.3043
1986-08-01,7.6279,7.9585
1986-09-01,7.9962,9.8592
1986-10-01,4.7005,7.8261
1986-11-01,2.8493,7.3298
1986-12-01,1.1883,7.9225
1987-01-01,-0.9091,6.087
1987-02-01,-1.3501,6.7241
1987-03-01,-1.9892,7.2414
1987-04-01,-4.9339,6.8143
1987-05-01,-5.8927,4.8495
1987-06-01,-7.7459,1.9672
1987-07-01,-8.6881,0.8104
1987-08-01,-9.6802,-0.4808
1987-09-01,-8.7108,0.641
1987-10-01,-8.3627,0.8065
1987-11-01,-6.8811,1.4634
1987-12-01,-8.0397,0.9788
1988-01-01,-7.5229,0.4918
1988-02-01,-10.9489,-4.3619
1988-03-01,-8.3026,-1.1254
1988-04-01,-7.4143,-0.9569
1988-05-01,-7.757,-2.5518
1988-06-01,-7.5472,-2.09
1988-07-01,-7.6118,-2.7331
1988-08-01,-7.4641,-2.5765
1988-09-01,-8.5878,-4.9363
1988-10-01,-8.4534,-4.32
1988-11-01,-7.8695,-3.2051
1988-12-01,-6.1886,-2.9079
1989-01-01,-5.2579,-1.9576
1989-02-01,-2.9713,0.1689
1989-03-01,-5.4326,-4.878
1989-04-01,-7.7077,-6.9243
1989-05-01,-7.4975,-6.0556
1989-06-01,-6.8367,-6.2397
1989-07-01,-5.4583,-4.7934
1989-08-01,-6.8252,-6.6116
1989-09-01,-6.5762,-5.0251
1989-10-01,-5.8762,-5.3512
1989-11-01,-8.125,-7.4503
1989-12-01,-7.3298,-5.8236
1990-01-01,-6.7016,-5.3245
1990-02-01,-5.1742,-2.8668
1990-03-01,-5.8511,-3.2479
1990-04-01,-5.423,-3.4602
1990-05-01,-6.0241,-4.5296
1990-06-01,-7.3384,-5.9545
1990-07-01,-9.4771,-8.3333
1990-08-01,-9.7669,-9.0265
1990-09-01,-11.3966,-11.1111
1990-10-01,-14.6042,-12.7208
