date,Initial Claims YoY %,Initial Claims - 4 Week Average YoY %,Continuing Claims YoY %,Continuing Claims - 4 Week Average YoY %,Insured Unemployment Rate YoY %
1968-01-06,8.8235,2.9904,4.9864,5.2067,
1968-01-13,8.8235,5.1435,7.6156,5.1844,
1968-01-20,8.3333,5.3828,7.9782,5.095,
1968-01-27,-2.9412,3.2297,4.8957,4.8715,
1968-02-03,0.8264,-3.3843,-2.1685,1.2473,
1968-02-10,-13.2231,-4.6943,-2.0017,0.9892,
1968-02-17,-19.0083,-7.4236,-4.6706,-0.043,
1968-02-24,-20.2479,-7.9694,-2.8357,0.129,
1968-03-02,-23.0769,-24.3528,-9.2271,-6.8168,
1968-03-09,-17.4089,-24.9281,-9.5426,-7.3799,
1968-03-16,-23.0769,-25.5034,-9.858,-7.3799,
1968-03-23,-19.0283,-24.8322,-10.4101,-7.963,
1968-03-30,-22.2672,-24.6405,-11.7508,-8.6065,
1968-04-06,-25.098,-26.7992,-16.0964,-12.456,
1968-04-13,-32.9412,-28.5985,-16.0964,-13.7075,
1968-04-20,-28.2353,-30.2083,-17.6516,-15.2131,
1968-04-27,-1.5686,-24.6212,-15.4743,-15.8389,
1968-05-04,-8.3333,-13.6797,-13.8867,-15.773,
1968-05-11,-14.9123,-11.2407,-12.929,-15.5382,
1968-05-18,-12.7193,-9.544,-14.5251,-15.3033,
1968-05-25,-14.9123,-15.5885,-14.3655,-15.5773,
1968-06-01,-8.7156,-15.3017,-12.8689,-13.764,
1968-06-08,-11.9266,-15.5172,-10.082,-13.6437,
1968-06-15,-11.0092,-16.056,-12.2131,-13.6437,
1968-06-22,-13.3028,-16.5948,-13.1148,-13.9045,
1968-06-29,-11.0092,-17.1336,-14.918,-14.4061,
1968-07-06,2.3923,-14.9462,-14.2969,-15.3235,
1968-07-13,-11.0048,-15.8065,-15.9375,-15.2243,
1968-07-20,-13.8756,-16.7742,-19.2969,-15.7602,
1968-07-27,-1.9139,-15.5914,-19.0625,-15.7999,
1968-08-03,-3.2864,-8.6957,-9.1525,-12.8179,
1968-08-10,2.3474,-4.9354,-7.7966,-12.5698,
1968-08-17,-9.8592,-3.5253,-6.1864,-11.0399,
1968-08-24,-9.3897,-4.9354,-7.2881,-9.8408,
1968-08-31,-11.7371,-7.0505,-9.8305,-10.0062,
1968-09-07,-7.3529,-11.8056,-7.7787,-7.8886,
1968-09-14,-4.4118,-11.4583,-9.7666,-9.2282,
1968-09-21,-6.3725,-11.6898,-9.5073,-10.2275,
1968-09-28,-7.3529,-11.5741,-9.4209,-10.5677,
1968-10-05,-10.628,-12.3414,-8.6994,-10.45,
1968-10-12,-10.1449,-13.3795,-9.9914,-10.4287,
1968-10-19,-7.7295,-13.3795,-10.8527,-10.6846,
1968-10-26,-12.0773,-14.1869,-11.025,-11.0045,
1968-11-02,-5.2356,-10.303,-9.9825,-9.8411,
1968-11-09,-4.1885,-10.6667,-9.9825,-10.2112,
1968-11-16,0.5236,-10.5455,-5.7793,-9.3185,
1968-11-23,4.1885,-8.4848,-10.4203,-9.5363,
1968-11-30,-15.1832,-10.7879,-7.5306,-8.9266,
1968-12-07,-12.963,-13.8372,-8.9117,-10.3126,
1968-12-14,-9.7222,-13.4884,-9.0831,-10.6315,
1968-12-21,-11.1111,-14.3023,-8.9117,-9.781,
1968-12-28,3.2407,-7.2093,-4.3702,-8.5052,
1969-01-04,-4.0404,-7.3001,-3.3708,-7.1383,
1969-01-11,-3.5354,-7.7636,-5.013,-6.3286,
1969-01-18,-3.0303,-7.7636,-7.3466,-6.1368,
1969-01-25,-2.5253,-11.2399,-6.9144,-6.9678,
1969-02-01,5.1813,-7.5919,-5.6652,-6.6366,
1969-02-08,2.0725,-6.8802,-6.6094,-6.8729,
1969-02-15,-0.5181,-6.8802,-4.2918,-5.9493,
1969-02-22,-0.5181,-6.9988,-6.2661,-5.6271,
1969-03-01,4.6875,-0.5089,-1.8767,-3.3443,
1969-03-08,-0.5208,-1.2723,-1.7873,-3.1023,
1969-03-15,-1.5625,-1.6539,-3.4853,-3.8724,
1969-03-22,-5.7292,-3.0534,-4.2895,-4.3344,
1969-03-29,-4.6875,-5.3435,-6.9705,-5.5886,
1969-04-05,-27.49,-7.6633,-1.012,-0.8364,
1969-04-12,-24.3028,-7.5377,-3.4039,-1.5335,
1969-04-19,-25.498,-6.7839,-5.7038,-2.6022,
1969-04-26,-29.4821,-7.5377,-8.7397,-3.7407,
1969-05-03,-8.7629,-8.1658,-6.5238,-5.656,
1969-05-10,-5.6701,-9.0452,-5.1258,-6.3978,
1969-05-17,-7.732,-10.0503,-6.151,-6.815,
1969-05-24,-7.2165,-9.6734,-6.2442,-6.4905,
1969-05-31,-3.6082,-8.4171,-7.9217,-6.8382,
1969-06-07,-1.0309,-4.0312,-4.4316,-6.3994,
1969-06-14,-6.1856,-3.6411,-2.6975,-6.3291,
1969-06-21,-1.5464,-2.2107,-2.5048,-6.1885,
1969-06-28,4.6392,-0.13,-1.6378,-5.4149,
1969-07-05,10.7317,2.293,3.4749,-2.9939,
1969-07-12,2.439,5.8599,5.4054,-1.0608,
1969-07-19,0.4878,7.7707,3.4749,0.3536,
1969-07-26,-6.3415,6.3694,7.1429,2.4517,
1969-08-02,4.2553,1.6435,5.8271,1.0797,
1969-08-09,7.9787,0.7585,2.7256,1.1027,
1969-08-16,5.8511,-0.1264,0.282,0.9878,
1969-08-23,5.8511,0.7585,-0.3759,-0.1608,
1969-08-30,3.7234,0.6321,0.9398,-1.3554,
1969-09-06,-3.7037,1.4398,6.0115,2.5202,
1969-09-13,10.582,2.7487,3.2443,2.8768,
1969-09-20,3.1746,2.2251,3.3397,3.4237,
1969-09-27,2.1164,1.9634,3.626,3.709,
1969-10-04,6.044,6.1828,6.7764,4.3374,
1969-10-11,9.8901,4.9731,6.486,4.7688,
1969-10-18,9.3407,5.5108,8.2285,5.6075,
1969-10-25,12.6374,7.1237,9.971,6.8057,
1969-11-01,22.2222,8.9674,8.2386,7.5066,
1969-11-08,30.2469,10.462,8.5227,8.6063,
1969-11-15,21.6049,10.1902,11.8371,10.1124,
1969-11-22,33.9506,11.8207,9.6591,10.6383,
1969-11-29,24.6914,12.3641,14.678,12.2639,
1969-12-06,-9.417,2.5063,9.8566,10.9923,
1969-12-13,-0.4484,5.6391,10.4839,12.2008,
1969-12-20,4.0359,7.5188,12.1864,14.3853,
1969-12-27,0.0,10.1504,16.8459,16.5466,
1970-01-03,19.171,18.4073,23.6769,17.2927,
1970-01-10,25.3886,21.0183,25.6267,20.0412,
1970-01-17,38.8601,25.718,27.2981,22.7668,
1970-01-24,32.6425,30.0261,28.8765,24.6908,
1970-01-31,23.8342,31.201,28.598,25.9047,
1970-02-07,33.3333,29.9745,27.9304,26.1038,
1970-02-14,38.0208,29.5918,32.326,27.7879,
1970-02-21,41.1458,31.5051,29.304,28.3341,
1970-02-28,26.0417,31.8878,30.9524,29.3582,
1970-03-07,43.1694,39.7849,38.6167,33.5353,
1970-03-14,48.0874,40.5914,39.8655,33.7917,
1970-03-21,44.2623,39.6505,43.9001,35.7959,
1970-03-28,50.8197,44.2204,47.6465,38.2894,
1970-04-04,54.2373,47.2826,58.5685,46.3674,
1970-04-11,72.3164,51.9022,59.879,49.5052,
1970-04-18,111.2994,66.8478,66.6331,53.2464,
1970-04-25,97.1751,76.7663,76.2097,58.3394,
1970-05-02,78.6096,86.8313,83.2996,69.1466,
1970-05-09,70.0535,88.6145,86.9433,75.6407,
1970-05-16,62.0321,78.8752,86.2348,80.2936,
1970-05-23,58.2888,71.6049,84.919,82.2593,
1970-05-30,60.9626,67.0782,82.8947,82.1597,
1970-06-06,48.2759,56.3802,77.9628,80.6939,
1970-06-13,46.798,55.7292,81.3908,80.9913,
1970-06-20,45.8128,55.7292,82.5661,81.9083,
1970-06-27,43.3498,54.4271,82.762,83.3705,
1970-07-04,44.2708,39.1617,66.9369,71.0769,
