date,Job Openings: Total Nonfarm YoY %,Hires: Total Nonfarm YoY %,Total Separations: Total Nonfarm YoY %,Quits: Total Nonfarm YoY %,Layoffs and Discharges: Total Nonfarm YoY %
2001-12-01,-27.7319,-11.0026,-7.4809,-11.2075,-4.7572
2002-01-01,-29.3275,-15.152,-12.4101,-12.3267,-14.0991
2002-02-01,-32.5878,-9.4663,-5.7733,-15.755,6.6307
2002-03-01,-24.1495,-14.8698,-14.5526,-18.3694,-11.7206
2002-04-01,-24.7887,-5.3036,-8.0347,-17.0408,3.8768
2002-05-01,-21.8757,-10.2218,-10.3154,-15.2355,-3.0557
2002-06-01,-21.7611,-4.6976,-6.8966,-12.3697,0.0
2002-07-01,-24.286,-5.6827,-6.0595,-13.0981,3.1403
2002-08-01,-12.5994,-6.7394,-9.5051,-12.5342,-4.3759
2002-09-01,-18.9143,-1.5139,-5.1119,-6.7333,-4.0342
2002-10-01,-6.1505,-5.514,-13.3785,-13.3095,-16.5589
2002-11-01,-6.9139,-2.4827,-7.767,-6.1328,-13.7916
2002-12-01,-13.8156,1.3253,1.6502,-2.2665,4.4225
2003-01-01,-6.9749,4.1813,-3.205,-14.6221,10.5926
2003-02-01,-6.0244,-1.8121,-1.1767,-3.1882,1.8706
2003-03-01,-14.2027,-5.0149,-0.1472,-3.9711,3.505
2003-04-01,-10.4581,-6.6558,-6.5475,-13.1479,2.1472
2003-05-01,-4.8597,-3.6854,-2.441,-9.6965,5.3381
2003-06-01,-0.6448,-3.8406,-3.4582,-8.2078,3.0273
2003-07-01,-11.4642,-6.207,-7.776,-11.3237,-1.9029
2003-08-01,-9.2977,-4.2086,-3.4461,-14.2913,12.4285
2003-09-01,-6.3617,-1.6397,-5.5702,-6.6244,-4.451
2003-10-01,-5.0014,2.1676,0.3381,-0.3302,1.7571
2003-11-01,-5.4069,-0.5217,-1.0526,0.3329,0.3601
2003-12-01,7.7311,1.8598,-2.9018,-2.2791,0.0
2004-01-01,-0.494,-3.1238,-4.6638,-3.0877,-3.4139
2004-02-01,9.3837,1.5698,-2.402,-1.6867,-1.4888
2004-03-01,13.7464,16.9351,5.2011,7.853,5.9518
2004-04-01,12.9665,12.0,4.3198,11.1891,0.6006
2004-05-01,12.8002,6.3702,-0.5937,5.9799,-7.6255
2004-06-01,-1.5634,6.9842,3.7728,14.8596,-9.104
2004-07-01,27.9436,5.4322,3.5829,14.8833,-8.5839
2004-08-01,11.0031,7.4368,4.8087,17.8132,-8.6957
2004-09-01,23.617,5.4803,5.1884,7.5191,4.9172
2004-10-01,19.3041,5.0388,0.7791,5.5901,-3.352
2004-11-01,4.4525,8.6847,9.234,15.6781,4.408
2004-12-01,19.3322,3.3909,3.7409,10.27,-2.7902
2005-01-01,11.0981,6.1429,6.8403,16.0578,-1.4237
2005-02-01,12.2593,10.1921,6.7522,8.2925,4.1814
2005-03-01,14.7234,0.88,4.8439,6.3904,5.9564
2005-04-01,18.4563,4.0761,2.9666,8.1689,-2.6368
2005-05-01,2.345,5.9285,9.0017,13.7974,5.5904
2005-06-01,21.7261,7.3268,4.0645,3.5728,6.7833
2005-07-01,11.5889,8.9348,2.4441,4.8294,0.6897
2005-08-01,16.9726,7.8995,6.2398,14.3465,-3.4954
2005-09-01,13.8969,8.5144,10.6017,20.3477,0.2467
2005-10-01,6.1121,-0.4855,5.4534,12.2745,-1.5765
2005-11-01,22.3502,3.1461,-2.5127,3.8006,-13.1566
2005-12-01,5.1055,2.7363,4.1499,5.7143,-1.4352
2006-01-01,15.5889,1.3459,0.2973,7.7965,-11.1554
2006-02-01,9.0794,3.7528,3.0936,11.8446,-8.9942
2006-03-01,17.0129,4.7601,0.0764,7.6083,-13.7112
2006-04-01,15.1719,-2.7415,1.1405,1.3499,-5.3143
2006-05-01,17.5402,4.3066,6.2231,8.65,-1.4844
2006-06-01,13.5894,1.4695,3.4544,10.4575,-9.8263
2006-07-01,3.2425,4.5983,7.8852,11.4077,-2.0021
2006-08-01,13.7132,-0.6656,-0.2111,3.348,-6.8241
2006-09-01,8.8465,-3.732,-5.6255,-5.1871,-9.8917
2006-10-01,9.7275,4.8985,4.8147,4.1914,1.3348
2006-11-01,9.3456,2.8256,6.8731,5.1123,8.8751
2006-12-01,7.8935,-1.5111,-0.619,5.265,-7.8523
2007-01-01,8.3239,2.9406,4.0119,0.3735,7.7354
2007-02-01,8.6474,-5.7362,-1.5291,-1.0793,-1.7003
2007-03-01,4.8605,-0.8146,-0.1145,1.387,-0.3178
2007-04-01,-2.1086,2.6462,4.4115,4.7876,7.9331
